Name,Action,ID,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,
[N1-6 Dwarf&Gnome],,,,,,,,,,,,
[NX6-9 Dwarf&Gnome],,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,#REF!,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,#REF!,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,,,
Accept: [QA179],Accept,179,Dun Morogh,,,,,,https://classic.wowhead.com/quest=179,,,
Do: [QC179],Do,179,Dun Morogh,,,,,,https://classic.wowhead.com/quest=179,,,
Grind  this area till level [XP2+500 2+500],Grind,,this area,,,2+500,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT179],TurnIn,179,Dun Morogh,,,,,,https://classic.wowhead.com/quest=179,,,
Accept: [QA233],Accept,233,Dun Morogh,,,,,,https://classic.wowhead.com/quest=233,,,
Accept: [QA3112][A Warrior],Accept,3112,Dun Morogh,,,,Warrior,,https://classic.wowhead.com/quest=3112,,,
Accept: [QA3108][A Hunter],Accept,3108,,,,,Hunter,,https://classic.wowhead.com/quest=3108,,,
Accept: [QA3107][A Paladin],Accept,3107,,,,,Paladin,,https://classic.wowhead.com/quest=3107,,,
Accept: [QA170],Accept,170,Dun Morogh,,,,,,https://classic.wowhead.com/quest=170,,,
Kill Troggs from now on "on the side" dont go too far out of your way to kill them,Text,,,,,,,Kill Troggs from now on "on the side" dont go too far out of your way to kill them,https://classic.wowhead.com/quest=,,,
TurnIn: [QT233],TurnIn,233,Dun Morogh,,,,,,https://classic.wowhead.com/quest=233,,,
Accept: [QA234],Accept,234,Dun Morogh,,,,,,https://classic.wowhead.com/quest=234,,,
Accept: [QA183],Accept,183,Dun Morogh,,,,,,https://classic.wowhead.com/quest=183,,,
Kill boars from now on "on the side" dont go too far out of your way to kill them,Text,,,,,,,Kill boars from now on "on the side" dont go too far out of your way to kill them,https://classic.wowhead.com/quest=,,,
TurnIn: [QT234],TurnIn,234,Dun Morogh,,,,,,https://classic.wowhead.com/quest=234,,,
Accept: [QA182],Accept,182,Dun Morogh,,,,,,https://classic.wowhead.com/quest=182,,,
Do: [QC182],Do,182,Dun Morogh,,,,,,https://classic.wowhead.com/quest=182,,,
TurnIn: [QT182],TurnIn,182,Dun Morogh,,,,,,https://classic.wowhead.com/quest=182,,,
Accept: [QA218],Accept,218,Dun Morogh,,,,,,https://classic.wowhead.com/quest=218,,,
Do: [QC218],Do,218,Dun Morogh,,,,,,https://classic.wowhead.com/quest=218,,,
Grind  this cave till level [XP4+1500 4+1500],Grind,,this cave,,,4+1500,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT218],TurnIn,218,Dun Morogh,,,,,,https://classic.wowhead.com/quest=218,,,
Accept: [QA282],Accept,282,Dun Morogh,,,,,,https://classic.wowhead.com/quest=282,,,
Accept: [QA3364],Accept,3364,Dun Morogh,,,,,,https://classic.wowhead.com/quest=3364,,,
Use your [H] Hearthstone.,UseHearthstone,,,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT3107][A Paladin],TurnIn,3107,,,,,Paladin,,https://classic.wowhead.com/quest=3107,,,
Accept: [QA3361],Accept,3361,Dun Morogh,,,,,,https://classic.wowhead.com/quest=3361,,,
TurnIn: [QT3112][A Warrior],TurnIn,3112,Dun Morogh,,,,Warrior,,https://classic.wowhead.com/quest=3112,,,
TurnIn: [QT3108][A Hunter],TurnIn,3108,Dun Morogh,,,,Hunter,,https://classic.wowhead.com/quest=3108,,,
TurnIn: [QT3364],TurnIn,3364,Dun Morogh,,,,,,https://classic.wowhead.com/quest=3364,,,
Accept: [QA3365],Accept,3365,Dun Morogh,,,,,,https://classic.wowhead.com/quest=3365,,,
Do: [QC170],Do,170,,,,,,,https://classic.wowhead.com/quest=170,,,
"Do: [QC3361,3]",Do,"3361,3",,,,,,,"https://classic.wowhead.com/quest=3361,3",,,
TurnIn: [QT3365],TurnIn,3365,Dun Morogh,,,,,,https://classic.wowhead.com/quest=3365,,,
"Do [QC3361,2- ][QC3361,1- ][QC183]",Text,,,,,,,"Do [QC3361,2- ][QC3361,1- ][QC183]",https://classic.wowhead.com/quest=,,,
Do: [QC3361],Do,3361,Dun Morogh,,,,,,https://classic.wowhead.com/quest=3361,,,
TurnIn: [QT183],TurnIn,183,Dun Morogh,,,,,,https://classic.wowhead.com/quest=183,,,
TurnIn: [QT3361],TurnIn,3361,Dun Morogh,,,,,,https://classic.wowhead.com/quest=3361,,,
TurnIn: [QT170],TurnIn,170,,,,,,,https://classic.wowhead.com/quest=170,,,
TurnIn: [QT282],TurnIn,282,Dun Morogh,,,,,,https://classic.wowhead.com/quest=282,,,
Accept: [QA420],Accept,420,Dun Morogh,,,,,,https://classic.wowhead.com/quest=420,,,
Accept: [QA2160],Accept,2160,Dun Morogh,,,,,,https://classic.wowhead.com/quest=2160,,,
