Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N14-17 Loch Modan],,,,,,,,,,,,,
[NX17-19 Darkshore],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,,,,
[T] Get your Level 14 skills at your trainer.,Learn,,,Ironforge,,,14,,,https://classic.wowhead.com/quest=,,,
Accept: [QA2999][A Paladin],Accept,2999,Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=2999,,,
TurnIn: [QT2999],TurnIn,2999,Tome of Divinity,,,,,,,https://classic.wowhead.com/quest=2999,,,
[A Paladin]You just got a QuestItem Tome of Divinity. Accept the Quest.,Text,,,,,,,,[A Paladin]You just got a QuestItem Tome of Divinity. Accept the Quest.,https://classic.wowhead.com/quest=,,,
Accept: [QA1646][A Paladin],Accept,1646,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1646,,,
TurnIn: [QT1646][A Paladin],TurnIn,1646,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1646,,,
Accept: [QA1647][A Paladin],Accept,1647,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1647,,,
TurnIn: [QT1647][A Paladin],TurnIn,1647,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1647,,,
Accept: [QA1648][A Paladin],Accept,1648,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1648,,,
"[A Paladin]If you dont have 10 Linen Cloth, just buy it from the auction house, its always cheap.",Text,,,,,,,Paladin,"[A Paladin]If you dont have 10 Linen Cloth, just buy it from the auction house, its always cheap.",https://classic.wowhead.com/quest=,,,
TurnIn: [QT1648][A Paladin],TurnIn,1648,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1648,,,
Accept: [QA1778][A Paladin],Accept,1778,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1778,,,
TurnIn: [QT1778][A Paladin],TurnIn,1778,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1778,,,
Accept: [QA1779][A Paladin],Accept,1779,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1779,,,
TurnIn: [QT1779][A Paladin],TurnIn,1779,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1779,,,
Accept: [QA1783][A Paladin],Accept,1783,The Tome of Divinity,,,,,Paladin,,https://classic.wowhead.com/quest=1783,,,
Accept: [QA2039],Accept,2039,Find Bingles,Ironforge,,,,,,https://classic.wowhead.com/quest=2039,,,
"Accept: [QA6392][A Dwarf, Gnome]",Accept,6392,Return to Brock,Ironforge,,,,"Dwarf, Gnome",,https://classic.wowhead.com/quest=6392,,,
Fly to [F Loch Modan],Fly,,,Loch Modan,,,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA436],Accept,436,Ironband's Excavation,Loch Modan,,,,,,https://classic.wowhead.com/quest=436,,,
