Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N17-19 Darkshore],,,,,,,,,,,,,
[NX19-21 Deadmines],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,,,,
Accept: [QA729],Accept,729,The Absent Minded Prospector,Darkshore,,,,,,https://classic.wowhead.com/quest=729,,,
Accept: [QA4740],Accept,4740,WANTED: Murkdeep!,Darkshore,,,,,,https://classic.wowhead.com/quest=4740,,,
Accept: [QA1138],Accept,1138,Fruit of the Sea,Darkshore,,,,,,https://classic.wowhead.com/quest=1138,,,
Accept: [QA4728],Accept,4728,Beached Sea Creature,Darkshore,,,,,,https://classic.wowhead.com/quest=4728,,,
Do: [QC1138],Do,1138,Fruit of the Sea,Darkshore,,,,,,https://classic.wowhead.com/quest=1138,,,
Accept: [QA4730],Accept,4730,Beached Sea Creature,Darkshore,,,,,,https://classic.wowhead.com/quest=4730,,,
"The next 3 sea creatures are harder to get,especially as lvl 17warrior, but its doable, pull them ONE BY ONE! (You could also do it later if you die)",Text,,,,,,,,"The next 3 sea creatures are harder to get,especially as lvl 17warrior, but its doable, pull them ONE BY ONE! (You could also do it later if you die)",https://classic.wowhead.com/quest=,,,
Accept: [QA4731],Accept,4731,Beached Sea Turtle,Darkshore,,,,,,https://classic.wowhead.com/quest=4731,,,
Accept: [QA4732],Accept,4732,Beached Sea Turtle,Darkshore,,,,,,https://classic.wowhead.com/quest=4732,,,
Accept: [QA4733],Accept,4733,Beached Sea Creature,Darkshore,,,,,,https://classic.wowhead.com/quest=4733,,,
"Whilst going towards the next quest, kill all Moonstalker Sires you see.",Text,,,,,,,,"Whilst going towards the next quest, kill all Moonstalker Sires you see.",https://classic.wowhead.com/quest=,,,
Accept: [QA5713],Accept,5713,One Shot. One Kill.,Darkshore,,,,,,https://classic.wowhead.com/quest=5713,,,
Do: [QC5713],Do,5713,One Shot. One Kill.,Darkshore,,,,,,https://classic.wowhead.com/quest=5713,,,
Do: [QC986],Do,986,A Lost Master,Darkshore,,,,,,https://classic.wowhead.com/quest=986,,,
Do [QC986- ][QC1003],Text,1003,Buzzbox 525,Darkshore,,,,,Do [QC986- ][QC1003],https://classic.wowhead.com/quest=1003,,,
TurnIn: [QT1003],TurnIn,1003,Buzzbox 525,Darkshore,,,,,,https://classic.wowhead.com/quest=1003,,,
TurnIn: [QT948],TurnIn,948,Onu,Darkshore,,,,,,https://classic.wowhead.com/quest=948,,,
Accept: [QA944],Accept,944,The Master's Glaive,Darkshore,,,,,,https://classic.wowhead.com/quest=944,,,
"You got a phial from Onu, use it once you have entered the Masters Glaive and put it on the ground",Text,,,Darkshore,,,,,"You got a phial from Onu, use it once you have entered the Masters Glaive and put it on the ground",https://classic.wowhead.com/quest=,,,
TurnIn: [QT944],TurnIn,944,The Master's Glaive,Darkshore,,,,,,https://classic.wowhead.com/quest=944,,,
Accept: [QA949],Accept,949,The Twilight Camp,Darkshore,,,,,,https://classic.wowhead.com/quest=949,,,
TurnIn: [QT949],TurnIn,949,The Twilight Camp,Darkshore,,,,,,https://classic.wowhead.com/quest=949,,,
Accept: [QA950],Accept,950,Return to Onu,Darkshore,,,,,,https://classic.wowhead.com/quest=950,,,
