Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N19-21 Deadmines],,,,,,,,,,,,,
[NX19-21 Redridge Mountains],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
"If you do not intent to do deadmines, skip to the next guide!",Text,,,,,,,,"If you do not intent to do deadmines, skip to the next guide!",https://classic.wowhead.com/quest=,,,
Accept: [QA2040],Accept,2040,Underground Assault,Stormwind City,,,,,,https://classic.wowhead.com/quest=2040,,,
TurnIn: [QT1338],TurnIn,1338,Stormpike's Order,Stormwind City,,,,,,https://classic.wowhead.com/quest=1338,,,
Accept: [QA167],Accept,167,Oh Brother. . .,Stormwind City,,,,,,https://classic.wowhead.com/quest=167,,,
Accept: [QA168],Accept,168,Collecting Memories,Stormwind City,,,,,,https://classic.wowhead.com/quest=168,,,
"Set your [S] to Stormwind City at [G52.6,65.7Stormwind City]",Hearthstone,,,Stormwind City,"52.6,65.7",,,,,https://classic.wowhead.com/quest=,,,
"Get the [P] flightpath at: [G56.6, 52.6Westfall]",Flightpath,,,Westfall,"56.6, 52.6",,,,,https://classic.wowhead.com/quest=,,,
"There is a long questchain for the endboss of deadmines wich gives nice blue gear, but it is not worth it time wise, so I will ONLY include the Accept step for the FIRST quest of the chain. If you dont intend to do it, skip the next Accept-step.",Text,,,,,,,,"There is a long questchain for the endboss of deadmines wich gives nice blue gear, but it is not worth it time wise, so I will ONLY include the Accept step for the FIRST quest of the chain. If you dont intend to do it, skip the next Accept-step.",https://classic.wowhead.com/quest=,,,
Accept: [QA65],Accept,65,The Defias Brotherhood,,,,,,,https://classic.wowhead.com/quest=65,,,
The first 2 quests are in the cave but before the dungeon.,Text,,,,,,,,The first 2 quests are in the cave but before the dungeon.,https://classic.wowhead.com/quest=,,,
Do: [QC167],Do,167,Oh Brother. . .,,,,,,,https://classic.wowhead.com/quest=167,,,
Do: [QC168],Do,168,Collecting Memories,,,,,,,https://classic.wowhead.com/quest=168,,,
Do the dungeon now. The endboss drops a QuestItem. Accept it.,Text,,,,,,,,Do the dungeon now. The endboss drops a QuestItem. Accept it.,https://classic.wowhead.com/quest=,,,
Do: [QC2040],Do,2040,Underground Assault,,,,,,,https://classic.wowhead.com/quest=2040,,,
Accept: [QA373],Accept,373,The Unsent Letter,Stormwind City,,,,,,https://classic.wowhead.com/quest=373,,,
Use your [H] Hearthstone.,UseHearthstone,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT167],TurnIn,167,Oh Brother. . .,Stormwind City,,,,,,https://classic.wowhead.com/quest=167,,,
TurnIn: [QT168],TurnIn,168,Collecting Memories,Stormwind City,,,,,,https://classic.wowhead.com/quest=168,,,
TurnIn: [QT2040],TurnIn,2040,Underground Assault,Stormwind City,,,,,,https://classic.wowhead.com/quest=2040,,,
TurnIn: [QT373],TurnIn,373,The Unsent Letter,Stormwind City,,,,,,https://classic.wowhead.com/quest=373,,,
Accept: [QA389],Accept,389,Bazil Thredd,Stormwind City,,,,,,https://classic.wowhead.com/quest=389,,,
TurnIn: [QT389],TurnIn,389,Bazil Thredd,Stormwind City,,,,,,https://classic.wowhead.com/quest=389,,,
Thanks for using my guide. If it helped you and you "want to give back a little": There is a Paypal-Link on curseforge. Thanks <3,,,,,,,,,,https://classic.wowhead.com/quest=,,,
