Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N19-21 Redridge Mountains],,,,,,,,,,,,,
[NX21-22 Ashenvale],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
TurnIn: [QT1338],TurnIn,1338,Stormpike's Order,Stormwind City,,,,,,https://classic.wowhead.com/quest=1338,,,
Accept: [QA3765],Accept,3765,The Corruption Abroad,Stormwind City,,,,,,https://classic.wowhead.com/quest=3765,,,
"Set your [S] to Stormwind City at [G52.6, 65.7Stormwind City]",Hearthstone,,,Stormwind City,"52.6, 65.7",,,,,https://classic.wowhead.com/quest=,,,
"Get the [P] flightpath at: [G66.2, 62.4Stormwind City][A Nightelf,Gnome,Dwarf]",Flightpath,,,Stormwind City,"66.2, 62.4",,,"Nightelf,Gnome,Dwarf",,https://classic.wowhead.com/quest=,,,
Fly to [F Redridge Mountains][A Human],Fly,,,Redridge Mountains,,,,Human,,https://classic.wowhead.com/quest=,,,
Accept: [QA244],Accept,244,Encroaching Gnolls,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=244,,,
TurnIn: [QT244],TurnIn,244,Encroaching Gnolls,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=244,,,
Accept: [QA246],Accept,246,Assessing the Threat,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=246,,,
"Get the [P] flightpath at: [G30.6,59.4Redridge Mountains][A Nightelf,Gnome,Dwarf]",Flightpath,,,Redridge Mountains,"30.6,59.4",,,"Nightelf,Gnome,Dwarf",,https://classic.wowhead.com/quest=,,,
Accept: [QA20],Accept,20,Blackrock Menace,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=20,,,
Accept: [QA125],Accept,125,The Lost Tools,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=125,,,
Accept: [QA118],Accept,118,The Price of Shoes,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=118,,,
Accept: [QA120],Accept,120,Messenger to Stormwind,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=120,,,
Accept: [QA3741],Accept,3741,Hilary's Necklace,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=3741,,,
Accept: [QA129],Accept,129,A Free Lunch,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=129,,,
Do: [QC3741],Do,3741,Hilary's Necklace,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=3741,,,
"Kill as many Mongrels as you can at [G17,65]",Text,,,Redridge Mountains,,,,,"Kill as many Mongrels as you can at [G17,65]",https://classic.wowhead.com/quest=,,,
