Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N22-23 Duskwood],,,,,,,,,,,,,
[NX23-24 Redridge Mountains],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,,,,
"On your way through Duskwood kill spiders for some Gooey Spider legs. It doesnt matter how many you get,even 0 is "ok".",Text,,,,,,,,"On your way through Duskwood kill spiders for some Gooey Spider legs. It doesnt matter how many you get,even 0 is "ok".",https://classic.wowhead.com/quest=,,,
Accept: [QA66],Accept,66,The Legend of Stalvan,Duskwood,,,,,,https://classic.wowhead.com/quest=66,,,
Accept: [QA101],Accept,101,The Totem of Infliction,Duskwood,,,,,,https://classic.wowhead.com/quest=101,,,
TurnIn: [QT66],TurnIn,66,The Legend of Stalvan,Duskwood,,,,,,https://classic.wowhead.com/quest=66,,,
Accept: [QA67],Accept,67,The Legend of Stalvan,Duskwood,,,,,,https://classic.wowhead.com/quest=67,,,
Accept: [QA56],Accept,56,The Night Watch,Duskwood,,,,,,https://classic.wowhead.com/quest=56,,,
Accept: [QA163],Accept,163,Raven Hill,Duskwood,,,,,,https://classic.wowhead.com/quest=163,,,
Accept: [QA164],Accept,164,Deliveries to Sven,Duskwood,,,,,,https://classic.wowhead.com/quest=164,,,
Accept: [QA165],Accept,165,The Hermit,Duskwood,,,,,,https://classic.wowhead.com/quest=165,,,
"Get the [P] flightpath at: [G77.12,44.17Duskwood]",Flightpath,,,Duskwood,"77.12,44.17",,,,,https://classic.wowhead.com/quest=,,,
"If it is in stock - and you dont have one yet-: Buy a Bronzetube at [G78,48.3Duskwood]",Text,,,Duskwood,,,,,"If it is in stock - and you dont have one yet-: Buy a Bronzetube at [G78,48.3Duskwood]",https://classic.wowhead.com/quest=,,,
Do: [QC56],Do,56,The Night Watch,Duskwood,,,,,,https://classic.wowhead.com/quest=56,,,
Accept: [QA245],Accept,245,Eight-Legged Menaces,Duskwood,,,,,,https://classic.wowhead.com/quest=245,,,
TurnIn: [QT163],TurnIn,163,Raven Hill,Duskwood,,,,,,https://classic.wowhead.com/quest=163,,,
Accept: [QA5],Accept,5,Jitters' Growling Gut,Duskwood,,,,,,https://classic.wowhead.com/quest=5,,,
TurnIn: [QT164],TurnIn,164,Deliveries to Sven,Duskwood,,,,,,https://classic.wowhead.com/quest=164,,,
Accept: [QA95],Accept,95,Sven's Revenge,Duskwood,,,,,,https://classic.wowhead.com/quest=95,,,
Accept: [QA226],Accept,226,Wolves at Our Heels,Duskwood,,,,,,https://classic.wowhead.com/quest=226,,,
KEEP YOUR Gooey Spider Legs.Whilst grinding east for the spider and wolf quests do the next 2steps (TurnIn The Hermit and Accept Supplies from Darkshire),Text,,,Duskwood,,,,,KEEP YOUR Gooey Spider Legs.Whilst grinding east for the spider and wolf quests do the next 2steps (TurnIn The Hermit and Accept Supplies from Darkshire),https://classic.wowhead.com/quest=,,,
Do [QC226- ][QC245],Text,,"Eight-Legged Menaces, Wolves at Our Heels",Duskwood,,,,,Do [QC226- ][QC245],https://classic.wowhead.com/quest=,,,
TurnIn: [QT165],TurnIn,165,The Hermit,Duskwood,,,,,,https://classic.wowhead.com/quest=165,,,
Accept: [QA148],Accept,148,Supplies from Darkshire,Duskwood,,,,,,https://classic.wowhead.com/quest=148,,,
TurnIn: [QT226],TurnIn,226,Wolves at Our Heels,,,,,,,https://classic.wowhead.com/quest=226,,,
TurnIn: [QT143],TurnIn,143,Messenger to Westfall,,,,,,,https://classic.wowhead.com/quest=143,,,
Accept: [QA144],Accept,144,Messenger to Westfall,,,,,,,https://classic.wowhead.com/quest=144,,,
Accept: [QA65],Accept,65,The Defias Brotherhood,,,,,,,https://classic.wowhead.com/quest=65,,,
TurnIn: [QT67],TurnIn,67,The Legend of Stalvan,Westfall,,,,,,https://classic.wowhead.com/quest=67,,,
Accept: [QA68],Accept,68,The Legend of Stalvan,Westfall,,,,,,https://classic.wowhead.com/quest=68,,,
Fly to [F Duskwood],Fly,,,Duskwood,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT148],TurnIn,148,Supplies from Darkshire,Duskwood,,,,,,https://classic.wowhead.com/quest=148,,,
Accept: [QA149],Accept,149,Ghost Hair Thread,Duskwood,,,,,,https://classic.wowhead.com/quest=149,,,
TurnIn: [QT5],TurnIn,5,Jitters' Growling Gut,Duskwood,,,,,,https://classic.wowhead.com/quest=5,,,
Accept: [QA93],Accept,93,Dusky Crab Cakes,Duskwood,,,,,,https://classic.wowhead.com/quest=93,,,
TurnIn: [QT56],TurnIn,56,The Night Watch,Duskwood,,,,,,https://classic.wowhead.com/quest=56,,,
TurnIn: [QT68],TurnIn,68,The Legend of Stalvan,Duskwood,,,,,,https://classic.wowhead.com/quest=68,,,
Accept: [QA69],Accept,69,The Legend of Stalvan,Duskwood,,,,,,https://classic.wowhead.com/quest=69,,,
TurnIn: [QT149],TurnIn,149,Ghost Hair Thread,Duskwood,,,,,,https://classic.wowhead.com/quest=149,,,
Accept: [QA154],Accept,154,Return the Comb,Duskwood,,,,,,https://classic.wowhead.com/quest=154,,,
TurnIn: [QT154],TurnIn,154,Return the Comb,Duskwood,,,,,,https://classic.wowhead.com/quest=154,,,
Accept: [QA157],Accept,157,Deliver the Thread,Duskwood,,,,,,https://classic.wowhead.com/quest=157,,,
"If it is in stock - and you dont have one yet-: Buy a Bronzetube at [G78,48.3Duskwood]. If you dont get it here, we will buy it on the auctionhouse now.",Text,,,Duskwood,,,,,"If it is in stock - and you dont have one yet-: Buy a Bronzetube at [G78,48.3Duskwood]. If you dont get it here, we will buy it on the auctionhouse now.",https://classic.wowhead.com/quest=,,,
Fly to [F Stormwind City],Fly,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT69],TurnIn,69,The Legend of Stalvan,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=69,,,
Accept: [QA70],Accept,70,The Legend of Stalvan,Duskwood,,,,,,https://classic.wowhead.com/quest=70,,,
Go upstairs and loot the Box.,Text,,,Duskwood,,,,,Go upstairs and loot the Box.,https://classic.wowhead.com/quest=,,,
"Buy at the auction house now: 1 Bronze tube. Gooey Spider Legs (you need 6 total), 5 Great Goretuks Snout, 5 Tough Condor Meat, 5 Crisp Spider Meat and 8 Murloc Fin.",Text,,,Stormwind City,,,,,"Buy at the auction house now: 1 Bronze tube. Gooey Spider Legs (you need 6 total), 5 Great Goretuks Snout, 5 Tough Condor Meat, 5 Crisp Spider Meat and 8 Murloc Fin.",https://classic.wowhead.com/quest=,,,
"Buy: [CI4371,1 Bronze Tube] ",Buy,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,4371,Bronze Tube,1
"Buy: [CI2251,6 Gooey Spider Leg] ",Buy,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,2251,Gooey Spider Leg,6
"Buy: [CI1468,8 Murloc Fin] ",Buy,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,1468,Murloc Fin,8
"Buy: [CI2296,5 Great Goretusk Snout] ",Buy,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,2296,Great Goretusk Snout,5
"Buy: [CI1080,5 Tough Condor Meat] ",Buy,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,1080,Tough Condor Meat,5
"Buy: [CI1081,5 Crisp Spider Meat] ",Buy,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,1081,Crisp Spider Meat,5
[T] Get your Level 22 skills at your trainer.,Learn,,,Stormwind City,,,22,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT70],TurnIn,70,The Legend of Stalvan,Stormwind City,,,,,,https://classic.wowhead.com/quest=70,,,
Accept: [QA72],Accept,72,The Legend of Stalvan,Stormwind City,,,,,,https://classic.wowhead.com/quest=72,,,
TurnIn: [QT72],TurnIn,72,The Legend of Stalvan,Stormwind City,,,,,,https://classic.wowhead.com/quest=72,,,
Accept: [QA74],Accept,74,The Legend of Stalvan,Stormwind City,,,,,,https://classic.wowhead.com/quest=74,,,
The next guide is 23-24 Redridge Mountains. There is another 23-24 guide if you want to do stockades(what I would suggest doing now).,Text,,,,,,,,The next guide is 23-24 Redridge Mountains. There is another 23-24 guide if you want to do stockades(what I would suggest doing now).,https://classic.wowhead.com/quest=,,,
Thanks for using my guide. If it helped you and you "want to give back a little": There is a Paypal-Link on curseforge. Thanks <3,Text,,,,,,,,,https://classic.wowhead.com/quest=,,,
