Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N25-27 Wetlands],,,,,,,,,,,,,
[NX27-28 Ashenvale&Wetlands],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
"Buy: [CI2594,1 Flagon of Dwarven Honeymead] from Innkeeper Helbrek",Text,,,,,,,,"Buy: [CI2594,1 Flagon of Dwarven Honeymead] from Innkeeper Helbrek",https://classic.wowhead.com/quest=,2594,Flagon of Dwarven Honeymead,1
TurnIn: [QT942],TurnIn,942,The Absent Minded Prospector,Wetlands,,,,,,https://classic.wowhead.com/quest=942,,,
Accept: [QA943],Accept,943,The Absent Minded Prospector,Wetlands,,,,,,https://classic.wowhead.com/quest=943,,,
Accept: [QA288],Accept,288,The Third Fleet,Wetlands,,,,,,https://classic.wowhead.com/quest=288,,,
TurnIn: [QT288],TurnIn,288,The Third Fleet,Wetlands,,,,,,https://classic.wowhead.com/quest=288,,,
Accept: [QA289],Accept,289,The Cursed Crew,Wetlands,,,,,,https://classic.wowhead.com/quest=289,,,
Accept: [QA463],Accept,463,The Greenwarden,Wetlands,,,,,,https://classic.wowhead.com/quest=463,,,
Accept: [QA279],Accept,279,Claws from the Deep,Wetlands,,,,,,https://classic.wowhead.com/quest=279,,,
Accept: [QA484],Accept,484,Young Crocolisk Skins,Wetlands,,,,,,https://classic.wowhead.com/quest=484,,,
Accept: [QA464],Accept,464,War Banners,Wetlands,,,,,,https://classic.wowhead.com/quest=464,,,
Accept: [QA470],Accept,470,Digging Through the Ooze,Wetlands,,,,,,https://classic.wowhead.com/quest=470,,,
Accept: [QA305],Accept,305,In Search of The Excavation Team,Wetlands,,,,,,https://classic.wowhead.com/quest=305,,,
Kill Young Crocolisks from now on for their skin.,Text,,,Wetlands,,,,,Kill Young Crocolisks from now on for their skin.,https://classic.wowhead.com/quest=,,,
Do: [QC279],Do,279,Claws from the Deep,Wetlands,,,,,,https://classic.wowhead.com/quest=279,,,
"Run to [G34.1, 40.8Wetlands]",Run,,,Wetlands,"34.1, 40.8",,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA294],Accept,294,Ormer's Revenge,Wetlands,,,,,,https://classic.wowhead.com/quest=294,,,
TurnIn: [QT305],TurnIn,305,In Search of The Excavation Team,Wetlands,,,,,,https://classic.wowhead.com/quest=305,,,
Accept: [QA306],Accept,306,In Search of The Excavation Team,Wetlands,,,,,,https://classic.wowhead.com/quest=306,,,
"Do: [QC943,2]",Do,"943,2",The Absent Minded Prospector,Wetlands,,,,,,"https://classic.wowhead.com/quest=943,2",,,
Accept: [QA299],Accept,299,Uncovering the Past,Wetlands,,,,,,https://classic.wowhead.com/quest=299,,,
Do [QC294- ][QC484],Text,,"Ormer's Revenge,Young Crocolisk Skins",,,,,,Do [QC294- ][QC484],https://classic.wowhead.com/quest=,,,
Grind  the raptors till level [XP26 26],Grind,,,the raptors,,,26,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT294],TurnIn,294,Ormer's Revenge,Wetlands,,,,,,https://classic.wowhead.com/quest=294,,,
Accept: [QA295],Accept,295,Ormer's Revenge,Wetlands,,,,,,https://classic.wowhead.com/quest=295,,,
Do [QC295- ][QC299],Text,295,"Ormer's Revenge,Uncovering the Past",Wetlands,,,,,Do [QC295- ][QC299],https://classic.wowhead.com/quest=295,,,
TurnIn: [QT295],TurnIn,295,Ormer's Revenge,Wetlands,,,,,,https://classic.wowhead.com/quest=295,,,
Accept: [QA296],Accept,296,Ormer's Revenge,Wetlands,,,,,,https://classic.wowhead.com/quest=296,,,
TurnIn: [QT299],TurnIn,299,Uncovering the Past,Wetlands,,,,,,https://classic.wowhead.com/quest=299,,,
"Run to [G31.99,48.68Wetlands]",Run,,,Wetlands,"31.99,48.68",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G31.15,49.05Wetlands]",Run,,,Wetlands,"31.15,49.05",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G32.41,50.92Wetlands]",Run,,,Wetlands,"32.41,50.92",,,,,https://classic.wowhead.com/quest=,,,
Do: [QC296],Do,296,Ormer's Revenge,Wetlands,,,,,,https://classic.wowhead.com/quest=296,,,
TurnIn: [QT296],TurnIn,296,Ormer's Revenge,Wetlands,,,,,,https://classic.wowhead.com/quest=296,,,
Do: [QC943],Do,943,The Absent Minded Prospector,,,,,,,https://classic.wowhead.com/quest=943,,,
Do: [QC464],Do,464,War Banners,Wetlands,,,,,,https://classic.wowhead.com/quest=464,,,
Accept: [QA469],Accept,469,Daily Delivery,Wetlands,,,,,,https://classic.wowhead.com/quest=469,,,
TurnIn: [QT463],TurnIn,463,The Greenwarden,Wetlands,,,,,,https://classic.wowhead.com/quest=463,,,
Accept: [QA276],Accept,276,Tramping Paws,Wetlands,,,,,,https://classic.wowhead.com/quest=276,,,
