Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N30-31 Hillsbrad Foothills],,,,,,,,,,,,,
[NX31-33 Stranglethorn Vale & Thousand Needles],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
"Get the [P] flightpath at: [G49.4,52.4Hillsbrad Foothills]",Flightpath,,,Hillsbrad Foothills,"49.4,52.4",,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA659],Accept,659,Hints of a New Plague?,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=659,,,
Accept: [QA536],Accept,536,Down the Coast,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=536,,,
Do: [QC536],Do,536,Down the Coast,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=536,,,
Grind on the Murlocs till [XP30+25000],Text,,,Hillsbrad Foothills,,,,,Grind on the Murlocs till [XP30+25000],https://classic.wowhead.com/quest=,,,
TurnIn: [QT536],Turnin,536,Down the Coast,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=536,,,
Accept: [QA559],Accept,559,Farren's Proof,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=559,,,
Do: [QC559],Do,559,Farren's Proof,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=559,,,
Grind on the Murlocs till [XP30+35000],Text,,,Hillsbrad Foothills,,,,,Grind on the Murlocs till [XP30+35000],https://classic.wowhead.com/quest=,,,
TurnIn: [QT559],Turnin,559,Farren's Proof,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=559,,,
Accept: [QA560],Accept,560,Farren's Proof,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=560,,,
TurnIn: [QT560],Turnin,560,Farren's Proof,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=560,,,
Accept: [QA561],Accept,561,Farren's Proof,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=561,,,
TurnIn: [QT561],Turnin,561,Farren's Proof,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=561,,,
Accept: [QA562],Accept,562,Stormwind Ho!,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=562,,,
Do: [QC562],Do,562,Stormwind Ho!,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=562,,,
Grind on the Murlocs till [XP30+45500],Text,,,Hillsbrad Foothills,,,,,Grind on the Murlocs till [XP30+45500],https://classic.wowhead.com/quest=,,,
TurnIn: [QT562],Turnin,562,Stormwind Ho!,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=562,,,
Accept: [QA563],Accept,563,Reassignment,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=563,,,
Use your [H] Hearthstone.,UseHearthstone,,,Hillsbrad Foothills,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT292],Turnin,292,The Eye of Paleth,Wetlands,,,,,,https://classic.wowhead.com/quest=292,,,
Accept: [QA293],Accept,293,Cleansing the Eye,Wetlands,,,,,,https://classic.wowhead.com/quest=293,,,
TurnIn: [QT474][O],TurninOptional,474,Defeat Nek'rosh,Wetlands,,,,,,https://classic.wowhead.com/quest=474,,,
Fly to [F Ironforge],Fly,,,Ironforge,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT637],TurnIn,637,Sully Balloo's Letter,Ironforge,,,,,,https://classic.wowhead.com/quest=637,,,
Accept: [QA683],Accept,683,Sara Balloo's Plea,Ironforge,,,,,,https://classic.wowhead.com/quest=683,,,
TurnIn: [QT683],TurnIn,683,Sara Balloo's Plea,Ironforge,,,,,,https://classic.wowhead.com/quest=683,,,
Accept: [QA686],Accept,686,A King's Tribute,Ironforge,,,,,,https://classic.wowhead.com/quest=686,,,
TurnIn: [QT686],TurnIn,686,A King's Tribute,Ironforge,,,,,,https://classic.wowhead.com/quest=686,,,
Accept: [QA689],Accept,689,A King's Tribute,Ironforge,,,,,,https://classic.wowhead.com/quest=689,,,
Accept: [QA1179],Accept,1179,The Brassbolts Brothers,Ironforge,,,,,,https://classic.wowhead.com/quest=1179,,,
"[T] Get your Level 30 skills at your trainer.[A Warrior,Hunter]",Learn,,,Ironforge,,,30,"Warrior,Hunter",,https://classic.wowhead.com/quest=,,,
