Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
[N31-33 Stranglethorn Vale & Thousand Needles],,,,,,,,,,
"[NX31-36STV,Desolace]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
Fly to [F Duskwood],Fly,,,Duskwood,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT101],TurnIn,101,The Totem of Infliction,Duskwood,,,,,,https://classic.wowhead.com/quest=101
TurnIn: [QT1243],TurnIn,1243,The Missing Diplomat,Duskwood,,,,,,https://classic.wowhead.com/quest=1243
Accept: [QA1244],Accept,1244,The Missing Diplomat,Duskwood,,,,,,https://classic.wowhead.com/quest=1244
"Set your [H] to Duskwood at [G74,44Duskwood]",Hearthstone,,,Duskwood,"74,44",,,,,https://classic.wowhead.com/quest=
TurnIn: [QT58],TurnIn,58,The Night Watch,Duskwood,,,,,,https://classic.wowhead.com/quest=58
Fly to [F Westfall],Fly,,,Westfall,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT325],TurnIn,325,Armed and Ready,Duskwood,,,,,,https://classic.wowhead.com/quest=325
"If you are in a group, do the follow-up elite quest "Morbent Fel", otherwise skip it.",Text,,,Duskwood,,,,,"If you are in a group, do the follow-up elite quest "Morbent Fel", otherwise skip it.",https://classic.wowhead.com/quest=
Do: [QC1244],Do,1244,The Missing Diplomat,Duskwood,,,,,,https://classic.wowhead.com/quest=1244
Do: [QC134],Do,134,Ogre Thieves,Duskwood,,,,,,https://classic.wowhead.com/quest=134
Do: [QC181],Do,181,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=181
Accept: [QA203],Accept,203,The Second Rebellion,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=203
Accept: [QA583],Accept,583,Welcome to the Jungle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=583
TurnIn: [QT583],Turnin,583,Welcome to the Jungle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=583
Accept: [QA194],Accept,194,Raptor Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=194
Accept: [QA185],Accept,185,Tiger Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=185
Accept: [QA190],Accept,190,Panther Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=190
Do: [QC185],Do,185,Tiger Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=185
TurnIn: [QT185],Turnin,185,Tiger Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=185
Accept: [QA186],Accept,186,Tiger Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=186
Do: [QC190],Do,190,Panther Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=190
Do: [QC186],Do,186,Tiger Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=186
Do: [QC203],Do,203,The Second Rebellion,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=203
TurnIn: [QT186],Turnin,186,Tiger Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=186
Accept: [QA187],Accept,187,Tiger Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=187
TurnIn: [QT190],Turnin,190,Panther Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=190
Accept: [QA191],Accept,191,Panther Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=191
Do: [QC191],Do,191,Panther Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=191
Grind on the Tigers/Panthers till [XP31+47600],Text,,,Hillsbrad Foothills,,,,,Grind on the Tigers/Panthers till [XP31+47600],https://classic.wowhead.com/quest=
TurnIn: [QT203],Turnin,203,The Second Rebellion,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=203
Accept: [QA210],Accept,210,Krazek's Cookery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=210
"Run to [G34.78, 51.33Stranglethorn Vale]",Run,,,Stranglethorn Vale,"34.78, 51.33",,,,,https://classic.wowhead.com/quest=
Die and rezz at Ghosthealer.,Text,,,,,,,,Die and rezz at Ghosthealer.,https://classic.wowhead.com/quest=
Accept: [QA],Accept,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT210],Turnin,210,Krazek's Cookery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=210
Accept: [QA616],Accept,616,The Haunted Isle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=616
TurnIn: [QT616],Turnin,616,The Haunted Isle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=616
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
"Get the [P] flightpath at: [G27.4,77.6Stranglethorn Vale]",Flightpath,,,Stranglethorn Vale,"27.4,77.6",,,,,https://classic.wowhead.com/quest=
Take the Boat to Ratchet,Text,,,Stranglethorn Vale,,,,,Take the Boat to Ratchet,https://classic.wowhead.com/quest=
TurnIn: [QT1039],Turnin,1039,The Barrens Port,The Barrens,,,,,,https://classic.wowhead.com/quest=1039
"Get the [P] flightpath at: [G63.0, 37.2The Barrens]",Flightpath,,,The Barrens,"63.0, 37.2",,,,,https://classic.wowhead.com/quest=
"Run to [G31.8,23.5Thousand Needles]",Run,,,Thousand Needles,"31.8,23.5",,,,,https://classic.wowhead.com/quest=
"Get the [P] flightpath at: [G89.5,45.9Feralas]",Flightpath,,,Feralas,"89.5,45.9",,,,,https://classic.wowhead.com/quest=
TurnIn: [QT1179],Turnin,1179,The Brassbolts Brothers,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1179
Accept: [QA1105],Accept,1105,Hardened Shells,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1105
Accept: [QA1104],Accept,1104,Salt Flat Venom,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1104
Accept: [QA1110],Accept,1110,Rocket Car Parts,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1110
Accept: [QA1111],Accept,1111,Wharfmaster Dizzywig,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1111
Accept: [QA5762],Accept,5762,Hemet Nesingwary,Thousand Needles,,,,,,https://classic.wowhead.com/quest=5762
Accept: [QA1176],Accept,1176,Load Lightening,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1176
Accept: [QA1175],Accept,1175,A Bump in the Road,Thousand Needles,,,,,,https://classic.wowhead.com/quest=1175
"Do [QC1176-][QC1105-][QC1110-][QC1104-][QC1175 Load Lightening,Hardened Shells,Rocket Car Parts,Salt Flat Venom,A bumb in the Road]",Text,1176,"Hardened Shells, Salt Flat Venom, Load Lightening, A Bump in the Road",Thousand Needles,,,,,"Do [QC1176-][QC1105-][QC1110-][QC1104-][QC1175 Load Lightening,Hardened Shells,Rocket Car Parts,Salt Flat Venom,A bumb in the Road]",https://classic.wowhead.com/quest=1176
Grind till [XP33],Text,,,Thousand Needles,,,,,Grind till [XP33],https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT336],Turnin,336,A Noble Brew,Stormwind City,,,,,,https://classic.wowhead.com/quest=336
TurnIn: [QT563],TurnIn,563,Reassignment,Stormwind City,,,,,,https://classic.wowhead.com/quest=563
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=
