Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N26-28 Ashenvale&Wetlands],,,,,,,,,,,,,
"[NX29-31 Duskwood,Hillsbrad]",,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA2924][O],AcceptOptional,2924,Essential Artificials,Ironforge,,,,,,https://classic.wowhead.com/quest=2924,,,
Accept: [QA2930][O],AcceptOptional,2930,Data Rescue,Ironforge,,,,,,https://classic.wowhead.com/quest=2930,,,
TurnIn: [QT2923][O],TurninOptional,2923,Tinkmaster Overspark,Ironforge,,,,,,https://classic.wowhead.com/quest=2923,,,
Accept: [QA2922][O],AcceptOptional,2922,Save Techbot's Brain!,Ironforge,,,,,,https://classic.wowhead.com/quest=2922,,,
Accept: [QA2929][O],AcceptOptional,2929,The Grand Betrayal,Ironforge,,,,,,https://classic.wowhead.com/quest=2929,,,
Accept: [QA2927][O],AcceptOptional,2927,The Day After,Ironforge,,,,,,https://classic.wowhead.com/quest=2927,,,
TurnIn: [QT2927][O],TurninOptional,2927,The Day After,Dun Morogh,,,,,,https://classic.wowhead.com/quest=2927,,,
Accept: [QA2926][O],AcceptOptional,2926,Gnogaine,Dun Morogh,,,,,,https://classic.wowhead.com/quest=2926,,,
"Set your [S] to Dun Morogh at [G47.4,52.6Dun Morogh]",Hearthstone,,,Dun Morogh,"47.4,52.6",,,,,https://classic.wowhead.com/quest=,,,
Grind  Gnomeregan till level [XP33][O],GrindOptional,,,Gnomeregan,,,33,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT2926][O],TurninOptional,2926,Gnogaine,Dun Morogh,,,,,,https://classic.wowhead.com/quest=2926,,,
TurnIn: [QT2924][O],TurninOptional,2924,Essential Artificials,Ironforge,,,,,,https://classic.wowhead.com/quest=2924,,,
TurnIn: [QT2930][O],TurninOptional,2930,Data Rescue,Ironforge,,,,,,https://classic.wowhead.com/quest=2930,,,
TurnIn: [QT2922][O],TurninOptional,2922,Save Techbot's Brain!,Ironforge,,,,,,https://classic.wowhead.com/quest=2922,,,
TurnIn: [QT2929][O],TurninOptional,2929,The Grand Betrayal,Ironforge,,,,,,https://classic.wowhead.com/quest=2929,,,
Accept: [QA1179],Accept,1179,The Brassbolts Brothers,Ironforge,,,,,,https://classic.wowhead.com/quest=1179,,,
TurnIn: [QT689],Turnin,689,A King's Tribute,Ironforge,,,,,,https://classic.wowhead.com/quest=689,,,
Accept: [QA700],Accept,700,A King's Tribute,Ironforge,,,,,,https://classic.wowhead.com/quest=700,,,
TurnIn: [QT700],Turnin,700,A King's Tribute,Ironforge,,,,,,https://classic.wowhead.com/quest=700,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
Fly to [F Ironforge],Fly,,,Ironforge,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT1072],TurnIn,1072,,Ironforge,,,,,,https://classic.wowhead.com/quest=1072,,,
TurnIn: [QT2925],TurnIn,2925,Klockmort's Essentials,Ironforge,,,,,,https://classic.wowhead.com/quest=2925,,,
TurnIn: [QT637],TurnIn,637,,Ironforge,,,,,,https://classic.wowhead.com/quest=637,,,
Accept: [QA683],Accept,683,,Ironforge,,,,,,https://classic.wowhead.com/quest=683,,,
TurnIn: [QT683],TurnIn,683,,Ironforge,,,,,,https://classic.wowhead.com/quest=683,,,
Accept: [QA686],Accept,686,,Ironforge,,,,,,https://classic.wowhead.com/quest=686,,,
TurnIn: [QT686],TurnIn,686,,Ironforge,,,,,,https://classic.wowhead.com/quest=686,,,
Accept: [QA689],Accept,689,,Ironforge,,,,,,https://classic.wowhead.com/quest=689,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
"Next part is optional,as its Gnomeregan, continue with Accept The Brassbolt Brother",Text,,,,,,,,"Next part is optional,as its Gnomeregan, continue with Accept The Brassbolt Brother",https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,https://classic.wowhead.com/quest=,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
#N/A,,,,,,,,,,,,,
