Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N31-36STV,Desolace]",,,,,,,,,,
[NX36-37Arathi],,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Accept: [QA1437],Accept,1437,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1437
Accept: [QA1382],Accept,1382,Strange Alliance,Desolace,,,,,,https://classic.wowhead.com/quest=1382
Accept: [QA1387],Accept,1387,Centaur Bounty,Desolace,,,,,,https://classic.wowhead.com/quest=1387
TurnIn: [QT1453],Turnin,1453,Reclaimers' Business in Desolace,Desolace,,,,,,https://classic.wowhead.com/quest=1453
Accept: [QA1454],Accept,1454,The Karnitol Shipwreck,Desolace,,,,,,https://classic.wowhead.com/quest=1454
Accept: [QA1458],Accept,1458,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1458
"Get the [P] flightpath at: [G65,10Desolace]",Flightpath,,,Desolace,"65,10",,,,,https://classic.wowhead.com/quest=
"Set your [H] to Desolace at [G66,6Desolace]",Hearthstone,,,Desolace,"66,6",,,,,https://classic.wowhead.com/quest=
TurnIn: [QT1437],Turnin,1437,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1437
Accept: [QA1465],Accept,1465,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1465
Do: [QC1458],Do,1458,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1458
TurnIn: [QT1465],Turnin,1465,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1465
Accept: [QA1438],Accept,1438,Vahlarriel's Search,Desolace,,,,,,https://classic.wowhead.com/quest=1438
TurnIn: [QT1458],Turnin,1458,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1458
Accept: [QA1459],Accept,1459,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1459
Kill all Scorpions/Aged Kodos you find from now on,Text,,,Desolace,,,,,Kill all Scorpions/Aged Kodos you find from now on,https://classic.wowhead.com/quest=
Do: [QC1459],Do,1459,Reagents for Reclaimers Inc.,Desolace,,,,,,https://classic.wowhead.com/quest=1459
Accept: [QA5501],Accept,5501,Bone Collector,Desolace,,,,,,https://classic.wowhead.com/quest=5501
"Run to [G67.2, 74.4Desolace]",Run,,,Desolace,"67.2, 74.4",,,,,https://classic.wowhead.com/quest=
Kill Magram Centaurs for Strange Alliances (Farm untill youre friendly with Gelkis) and Centaur Bounty,Text,,,Desolace,,,,,Kill Magram Centaurs for Strange Alliances (Farm untill youre friendly with Gelkis) and Centaur Bounty,https://classic.wowhead.com/quest=
