Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
[N36-37Arathi],,,,,,,,,,
"[NX38-39Dustwallow Marsh,STV]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Fly to [F Arathi Highlands],Fly,,,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=
Accept: [QA681],Accept,681,Northfold Manor,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=681
Accept: [QA684][O],AcceptOptional,684,Wanted! Marez Cowl,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=684
Accept: [QA685][O],AcceptOptional,685,Wanted! Otto and Falconcrest,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=685
TurnIn: [QT690],Turnin,690,Malin's Request,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=690
Accept: [QA691],Accept,691,Worth Its Weight in Gold,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=691
Accept: [QA642],Accept,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642
Do: [QC642],Do,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642
TurnIn: [QT642],Turnin,642,The Princess Trapped,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=642
Grind till youre 36 and 3/4,Text,,,Arathi Highlands,,,,,Grind till youre 36 and 3/4,https://classic.wowhead.com/quest=
Accept: [QA651],Accept,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651
Do: [QC651],Do,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651
TurnIn: [QT659],Turnin,659,Hints of a New Plague?,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=659
Accept: [QA658],Accept,658,Hints of a New Plague?,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=658
Keep an eye out for the Forsaken Courier,Text,,,Arathi Highlands,,,,,Keep an eye out for the Forsaken Courier,https://classic.wowhead.com/quest=
Do: [QC691],Do,691,Worth Its Weight in Gold,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=691
Do: [QC651],Do,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651
TurnIn: [QT691],Turnin,691,Worth Its Weight in Gold,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=691
Accept: [QA693],Accept,693,Wand over Fist,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=693
Do: [QC693],Do,693,Wand over Fist,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=693
Grind till [XP37],Text,,,Arathi Highlands,,,,,Grind till [XP37],https://classic.wowhead.com/quest=
TurnIn: [QT693],Turnin,693,Wand over Fist,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=693
Accept: [QA694][O],AcceptOptional,694,Trelane's Defenses,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=694
Do: [QC651],Do,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651
Do: [QC681],Do,681,Northfold Manor,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=681
TurnIn: [QT681],Turnin,681,Northfold Manor,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=681
Accept: [QA682][O],AcceptOptional,682,Stromgarde Badges,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=682
TurnIn: [QT651],Turnin,651,Stones of Binding,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=651
(Whenever you can)Do: [QC684],DoOptional,684,Wanted! Marez Cowl,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=684
(Whenever you can)Do: [QC685],DoOptional,685,Wanted! Otto and Falconcrest,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=685
(Whenever you can)Do: [QC682],DoOptional,682,Stromgarde Badges,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=682
(Whenever you can)Do: [QC694],DoOptional,694,Trelane's Defenses,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=694
TurnIn: [QT684][O],TurninOptional,684,Wanted! Marez Cowl,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=684
TurnIn: [QT685][O],TurninOptional,685,Wanted! Otto and Falconcrest,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=685
TurnIn: [QT682][O],TurninOptional,682,Stromgarde Badges,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=682
TurnIn: [QT694][O],TurninOptional,694,Trelane's Defenses,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=694
Accept: [QA695][O],AcceptOptional,695,An Apprentice's Enchantment,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=695
TurnIn: [QT695][O],TurninOptional,695,An Apprentice's Enchantment,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=695
Accept: [QA696][O],AcceptOptional,696,Attack on the Tower,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=696
TurnIn: [QT658],Turnin,658,Hints of a New Plague?,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=658
Accept: [QA567],Accept,567,Dangerous!,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=567
TurnIn: [QT567],Turnin,567,Dangerous!,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=567
Accept: [QA660],Accept,660,Hints of a New Plague?,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=660
Do: [QC660],Do,660,Hints of a New Plague?,Arathi Highlands,,,,,,https://classic.wowhead.com/quest=660
