Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N38-39Dustwallow Marsh,STV]",,,,,,,,,,
"[NX40-43Badlands,Uldaman]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Accept: [QA595],Accept,595,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=595
Accept: [QA606],Accept,606,Scaring Shaky,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=606
"Set your [H] to Stranglethorn Vale at [G27,77Stranglethorn Vale]",Hearthstone,,,Stranglethorn Vale,"27,77",,,,,https://classic.wowhead.com/quest=
TurnIn: [QT1115],Turnin,1115,The Rumormonger,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=1115
Accept: [QA1116],Accept,1116,Dream Dust in the Swamp,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=1116
Accept: [QA601],Accept,601,Water Elementals,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=601
Accept: [QA577],Accept,577,Some Assembly Required,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=577
TurnIn: [QT595],Turnin,595,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=595
Accept: [QA597],Accept,597,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=597
Do: [QC606],Do,606,Scaring Shaky,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=606
"Run to [G30.5,53.9Stranglethorn Vale]",Run,,,Stranglethorn Vale,"30.5,53.9",,,,,https://classic.wowhead.com/quest=
Do: [QC192],Do,192,Panther Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=192
"Grind till [XP39] at [G42.9,36Stranglethorn Vale]",Text,,,Stranglethorn Vale,,,,,"Grind till [XP39] at [G42.9,36Stranglethorn Vale]",https://classic.wowhead.com/quest=
Do: [QC196],Do,196,Raptor Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=196
Do: [QC577],Do,577,Some Assembly Required,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=577
TurnIn: [QT192],Turnin,192,Panther Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=192
TurnIn: [QT196],Turnin,196,Raptor Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=196
Accept: [QA197][O],AcceptOptional,197,Raptor Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=197
Accept: [QA193][O],AcceptOptional,193,Panther Mastery,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=193
Do: [QC601],Do,601,Water Elementals,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=601
Use your [H] Hearthstone.,UseHearthstone,,,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT606],Turnin,606,Scaring Shaky,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=606
Accept: [QA609],Accept,609,,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=609
TurnIn: [QT597],Turnin,597,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=597
Accept: [QA599],Accept,599,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=599
TurnIn: [QT609],Turnin,609,,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=609
TurnIn: [QT577],Turnin,577,Some Assembly Required,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=577
Accept: [QA628],Accept,628,,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=628
TurnIn: [QT599],Turnin,599,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=599
TurnIn: [QT601],Turnin,601,Water Elementals,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=601
Fly to [F Stormwind City],Fly,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=
