Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N40-43Badlands,Uldaman]",,,,,,,,,,
"[NX41-44Tanaris,STV]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
TurnIn: [QT697][O],TurnInOptional,697,Malin's Request,Stormwind City,,,,,,https://classic.wowhead.com/quest=697
TurnIn: [QT543][O],TurnInOptional,543,The Perenolde Tiara,Stormwind City,,,,,,https://classic.wowhead.com/quest=543
Fly to [F Loch Modan],Fly,,,Loch Modan,,,,,,https://classic.wowhead.com/quest=
Accept: [QA2500],Accept,2500,Badlands Reagent Run,Loch Modan,,,,,,https://classic.wowhead.com/quest=2500
TurnIn: [QT707],TurnIn,707,Ironband Wants You!,Loch Modan,,,,,,https://classic.wowhead.com/quest=707
Accept: [QA738],Accept,738,Find Agmond,Loch Modan,,,,,,https://classic.wowhead.com/quest=738
Kill all Vultures & wolves from now on,Text,,,Badlands,,,,,Kill all Vultures & wolves from now on,https://classic.wowhead.com/quest=
Accept: [QA719],Accept,719,A Dwarf and His Tools,Badlands,,,,,,https://classic.wowhead.com/quest=719
Accept: [QA718],Accept,718,Mirages,Badlands,,,,,,https://classic.wowhead.com/quest=718
TurnIn: [QT1106],TurnIn,1106,Martek the Exiled,Badlands,,,,,,https://classic.wowhead.com/quest=1106
Accept: [QA1108],Accept,1108,Indurium,Badlands,,,,,,https://classic.wowhead.com/quest=1108
Accept: [QA703],Accept,703,Barbecued Buzzard Wings,Badlands,,,,,,https://classic.wowhead.com/quest=703
Accept: [QA710],Accept,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710
Do: [QC710],Do,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710
Grind on the elementals for 6-10 bars,Text,,,Badlands,,,,,Grind on the elementals for 6-10 bars,https://classic.wowhead.com/quest=
TurnIn: [QT710],TurnIn,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710
Accept: [QA711],Accept,711,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=711
Do: [QC711],Do,711,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=711
TurnIn: [QT711],TurnIn,711,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=711
Accept: [QA712],Accept,712,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=712
Do: [QC718],Do,718,Mirages,Badlands,,,,,,https://classic.wowhead.com/quest=718
Do: [QC719],Do,719,A Dwarf and His Tools,Badlands,,,,,,https://classic.wowhead.com/quest=719
Accept: [QA720],Accept,720,A Sign of Hope,Badlands,,,,,,https://classic.wowhead.com/quest=720
TurnIn: [QT719],TurnIn,719,A Dwarf and His Tools,Badlands,,,,,,https://classic.wowhead.com/quest=719
TurnIn: [QT720],TurnIn,720,A Sign of Hope,Badlands,,,,,,https://classic.wowhead.com/quest=720
TurnIn: [QT718],TurnIn,718,Mirages,Badlands,,,,,,https://classic.wowhead.com/quest=718
Accept: [QA733],Accept,733,Scrounging,Badlands,,,,,,https://classic.wowhead.com/quest=733
Farm more if youre not [XP40] yet,Text,,,Badlands,,,,,Farm more if youre not [XP40] yet,https://classic.wowhead.com/quest=
Accept: [QA732],Accept,732,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=732
Keep an eye out for Boss Tho'grun,Text,,,Badlands,,,,,Keep an eye out for Boss Tho'grun,https://classic.wowhead.com/quest=
TurnIn: [QT738],TurnIn,738,Find Agmond,Badlands,,,,,,https://classic.wowhead.com/quest=738
Accept: [QA739],Accept,739,Murdaloc,Badlands,,,,,,https://classic.wowhead.com/quest=739
Do: [QC739],Do,739,Murdaloc,Badlands,,,,,,https://classic.wowhead.com/quest=739
Do: [QC1108],Do,1108,Indurium,Badlands,,,,,,https://classic.wowhead.com/quest=1108
"The next quest can be hard for melees, do it later if necessary",Text,,,Badlands,,,,,"The next quest can be hard for melees, do it later if necessary",https://classic.wowhead.com/quest=
Do: [QC712],Do,712,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=712
Do: [QC732],Do,732,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=732
Do: [QC733],Do,733,Scrounging,Badlands,,,,,,https://classic.wowhead.com/quest=733
TurnIn: [QT712],TurnIn,712,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=712
Grind on the elementals for 6-10 bars,Text,,,Badlands,,,,,Grind on the elementals for 6-10 bars,https://classic.wowhead.com/quest=
Do: [QC2500],Do,2500,Badlands Reagent Run,Badlands,,,,,,https://classic.wowhead.com/quest=2500
TurnIn: [QT703],TurnIn,703,Barbecued Buzzard Wings,Badlands,,,,,,https://classic.wowhead.com/quest=703
TurnIn: [QT1108],TurnIn,1108,Indurium,Badlands,,,,,,https://classic.wowhead.com/quest=1108
Accept: [QA1137],Accept,1137,News for Fizzle,Badlands,,,,,,https://classic.wowhead.com/quest=1137
TurnIn: [QT732],TurnIn,732,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=732
TurnIn: [QT733],TurnIn,733,Scrounging,Badlands,,,,,,https://classic.wowhead.com/quest=733
TurnIn: [QT739],TurnIn,739,Murdaloc,Badlands,,,,,,https://classic.wowhead.com/quest=739
TurnIn: [QT2500],TurnIn,2500,Badlands Reagent Run,Badlands,,,,,,https://classic.wowhead.com/quest=2500
"If you dont intent to do Uldaman, Grind till 41 and skip to the next guide after",Text,,,Badlands,,,,,"If you dont intent to do Uldaman, Grind till 41 and skip to the next guide after",https://classic.wowhead.com/quest=
