Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N40-43Badlands,Uldaman]",,,,,,,,,,
"[NX41-44Tanaris,STV]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",Text,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",Text,,,,,,,,,
"Now do Uldaman quests, this will require MULTIPLE travels from Uldaman to IF and back I will explain this in the next couple of steps, the loot quest markers will be all OUTSIDE of Uldaman allthough some stuff is inside!",Text,,,Uldaman,,,,,"Now do Uldaman quests, this will require MULTIPLE travels from Uldaman to IF and back I will explain this in the next couple of steps, the loot quest markers will be all OUTSIDE of Uldaman allthough some stuff is inside!",https://classic.wowhead.com/quest=
Do: [QC2418],Do,2418,Power Stones,Uldaman,,,,,,https://classic.wowhead.com/quest=2418
Do: [QC17],Do,17,Uldaman Reagent Run,Uldaman,,,,,,https://classic.wowhead.com/quest=17
TurnIn: [QT721],TurnIn,721,A Sign of Hope,Uldaman,,,,,,https://classic.wowhead.com/quest=721
Accept: [QA722],Accept,722,Amulet of Secrets,Uldaman,,,,,,https://classic.wowhead.com/quest=722
"Go further into Uldaman whilst keeping left, go up the small ramp and take the FIRST to the rest.The Room is round-ish and kill Magregan Deepshadow, down in the pit loot Ancient Chest->Go Back and take the first to the left(Area is filled with Troggs) At the end there is a chest to loot.",Text,,,Uldaman,,,,,"Go further into Uldaman whilst keeping left, go up the small ramp and take the FIRST to the rest.The Room is round-ish and kill Magregan Deepshadow, down in the pit loot Ancient Chest->Go Back and take the first to the left(Area is filled with Troggs) At the end there is a chest to loot.",https://classic.wowhead.com/quest=
Do: [QC722],Do,722,Amulet of Secrets,Uldaman,,,,,,https://classic.wowhead.com/quest=722
Do: [QC709],Do,709,Solution to Doom,Uldaman,,,,,,https://classic.wowhead.com/quest=709
Do: [QC1360],Do,1360,Reclaimed Treasures,Uldaman,,,,,,https://classic.wowhead.com/quest=1360
TurnIn: [QT722],TurnIn,722,Amulet of Secrets,Uldaman,,,,,,https://classic.wowhead.com/quest=722
Accept: [QA724],Accept,724,Prospect of Faith,Uldaman,,,,,,https://classic.wowhead.com/quest=724
"If you havent found Shattered Necklace yet, go into the dungeon and grind Troggs untill you do so. Run outside",Text,,,Uldaman,,,,,"If you havent found Shattered Necklace yet, go into the dungeon and grind Troggs untill you do so. Run outside",https://classic.wowhead.com/quest=
TurnIn: [QT2418],TurnIn,2418,Power Stones,Uldaman,,,,,,https://classic.wowhead.com/quest=2418
TurnIn: [QT709],TurnIn,709,Solution to Doom,Uldaman,,,,,,https://classic.wowhead.com/quest=709
Accept: [QA727],Accept,727,To Ironforge for Yagyin's Digest,Uldaman,,,,,,https://classic.wowhead.com/quest=727
TurnIn: [QT724],TurnIn,724,Prospect of Faith,Uldaman,,,,,,https://classic.wowhead.com/quest=724
Accept: [QA723],Accept,723,Prospect of Faith,Uldaman,,,,,,https://classic.wowhead.com/quest=723
TurnIn: [QT704],TurnIn,704,Agmond's Fate,Loch Modan,,,,,,https://classic.wowhead.com/quest=704
TurnIn: [QT17],TurnIn,17,Uldaman Reagent Run,Loch Modan,,,,,,https://classic.wowhead.com/quest=17
Fly to [F Ironforge],Fly,,,Ironforge,,,,,,https://classic.wowhead.com/quest=
BUY: 5 Silver Bars,Text,,,Ironforge,,,,,BUY: 5 Silver Bars,https://classic.wowhead.com/quest=
"Set your [H] to Ironforge at [G18.6,51.6Ironforge]",Hearthstone,,,Ironforge,"18.6,51.6",,,,,https://classic.wowhead.com/quest=
Accept: [QA2198],Accept,2198,The Shattered Necklace,Ironforge,,,,,,https://classic.wowhead.com/quest=2198
TurnIn: [QT2198],TurnIn,2198,The Shattered Necklace,Ironforge,,,,,,https://classic.wowhead.com/quest=2198
Accept: [QA2199],Accept,2199,Lore for a Price,Ironforge,,,,,,https://classic.wowhead.com/quest=2199
TurnIn: [QT2199],TurnIn,2199,Lore for a Price,Ironforge,,,,,,https://classic.wowhead.com/quest=2199
Accept: [QA2200],Accept,2200,Back to Uldaman,Ironforge,,,,,,https://classic.wowhead.com/quest=2200
TurnIn: [QT727],TurnIn,727,To Ironforge for Yagyin's Digest,Ironforge,,,,,,https://classic.wowhead.com/quest=727
TurnIn: [QT1360],TurnIn,1360,Reclaimed Treasures,Ironforge,,,,,,https://classic.wowhead.com/quest=1360
TurnIn: [QT723],TurnIn,723,Prospect of Faith,Ironforge,,,,,,https://classic.wowhead.com/quest=723
Accept: [QA725],Accept,725,Passing Word of a Threat,Ironforge,,,,,,https://classic.wowhead.com/quest=725
TurnIn: [QT725],TurnIn,725,Passing Word of a Threat,Ironforge,,,,,,https://classic.wowhead.com/quest=725
Accept: [QA726],Accept,726,Passing Word of a Threat,Ironforge,,,,,,https://classic.wowhead.com/quest=726
TurnIn: [QT726],TurnIn,726,Passing Word of a Threat,Ironforge,,,,,,https://classic.wowhead.com/quest=726
Accept: [QA762],Accept,762,An Ambassador of Evil,Ironforge,,,,,,https://classic.wowhead.com/quest=762
Fly to [F Loch Modan],Fly,,,Loch Modan,,,,,,https://classic.wowhead.com/quest=
Do: [QC762],Do,762,An Ambassador of Evil,Badlands,,,,,,https://classic.wowhead.com/quest=762
Use your [H] Hearthstone.,UseHearthstone,,,Badlands,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT762],TurnIn,762,An Ambassador of Evil,Ironforge,,,,,,https://classic.wowhead.com/quest=762
Accept: [QA1139],Accept,1139,The Lost Tablets of Will,Loch Modan,,,,,,https://classic.wowhead.com/quest=1139
Fly to [F Loch Modan],Fly,,,Loch Modan,,,,,,https://classic.wowhead.com/quest=
Do a full run of Uldaman up to Grimlok,Text,,,Uldaman,,,,,Do a full run of Uldaman up to Grimlok,https://classic.wowhead.com/quest=
TurnIn: [QT2200],TurnIn,2200,Back to Uldaman,Uldaman,,,,,,https://classic.wowhead.com/quest=2200
Accept: [QA2201],Accept,2201,Find the Gems,Uldaman,,,,,,https://classic.wowhead.com/quest=2201
TurnIn: [QT2398],TurnIn,2398,The Lost Dwarves,Uldaman,,,,,,https://classic.wowhead.com/quest=2398
Accept: [QA2240],Accept,2240,The Hidden Chamber,Uldaman,,,,,,https://classic.wowhead.com/quest=2240
Take the Gni'kiv Medallion from the chest on the table,Text,,,Uldaman,,,,,Take the Gni'kiv Medallion from the chest on the table,https://classic.wowhead.com/quest=
In the same Room as the dwarves there is an Urn for the Topaz,Text,,,Uldaman,,,,,In the same Room as the dwarves there is an Urn for the Topaz,https://classic.wowhead.com/quest=
Run into the room with Ironaya to finish The Hidden Chamber,Text,,,Uldaman,,,,,Run into the room with Ironaya to finish The Hidden Chamber,https://classic.wowhead.com/quest=
In the Room with Galgann Firehammer open the cache to get the Ruby and Tablet of Will from the Tablet,Text,,,Uldaman,,,,,In the Room with Galgann Firehammer open the cache to get the Ruby and Tablet of Will from the Tablet,https://classic.wowhead.com/quest=
"Kill Grimlok, loot the Sapphire and use [Talvash's Phial of Scrying] to turnin",Text,,,Uldaman,,,,,"Kill Grimlok, loot the Sapphire and use [Talvash's Phial of Scrying] to turnin",https://classic.wowhead.com/quest=
TurnIn: [QT2201],TurnIn,2201,Find the Gems,Uldaman,,,,,,https://classic.wowhead.com/quest=2201
Accept: [QA2204],Accept,2204,Restoring the Necklace,Uldaman,,,,,,https://classic.wowhead.com/quest=2204
Accept: [QA2278],Accept,2278,The Platinum Discs,Uldaman,,,,,,https://classic.wowhead.com/quest=2278
TurnIn: [QT2278],TurnIn,2278,The Platinum Discs,Uldaman,,,,,,https://classic.wowhead.com/quest=2278
Accept: [QA2279],Accept,2279,The Platinum Discs,Uldaman,,,,,,https://classic.wowhead.com/quest=2279
Use your [H] Hearthstone.,UseHearthstone,,,Uldaman,,,,,,https://classic.wowhead.com/quest=
If the Hearthstone isnt ready....Run to Loch Modan and Fly to IF,Text,,,Uldaman,,,,,If the Hearthstone isnt ready....Run to Loch Modan and Fly to IF,https://classic.wowhead.com/quest=
TurnIn: [QT2279],TurnIn,2279,The Platinum Discs,Ironforge,,,,,,https://classic.wowhead.com/quest=2279
Accept: [QA2439],Accept,2439,The Platinum Discs,Ironforge,,,,,,https://classic.wowhead.com/quest=2439
TurnIn: [QT2240],TurnIn,2240,The Hidden Chamber,Ironforge,,,,,,https://classic.wowhead.com/quest=2240
TurnIn: [QT1139],TurnIn,1139,The Lost Tablets of Will,Ironforge,,,,,,https://classic.wowhead.com/quest=1139
TurnIn: [QT2204],TurnIn,2204,Restoring the Necklace,Ironforge,,,,,,https://classic.wowhead.com/quest=2204
Accept: [QA2361],Accept,2361,Restoring the Necklace,Ironforge,,,,,,https://classic.wowhead.com/quest=2361
TurnIn: [QT2361],TurnIn,2361,Restoring the Necklace,Ironforge,,,,,,https://classic.wowhead.com/quest=2361
TurnIn: [QT2439],TurnIn,2439,The Platinum Discs,Ironforge,,,,,,https://classic.wowhead.com/quest=2439
