Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N41-44Tanaris,STV]",,,,,,,,,,
[NX44-45Feralas],,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",Text,,,,,,,,,
Fly to [F Stormwind City],Fly,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=
Accept: [QA1448],Accept,1448,In Search of The Temple,Stormwind City,,,,,,https://classic.wowhead.com/quest=1448
Accept: [QA1477],Accept,1477,Vital Supplies,Stormwind City,,,,,,https://classic.wowhead.com/quest=1477
Fly to [F Duskwood],Fly,,,Duskwood,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT1477],TurnIn,1477,Vital Supplies,Duskwood,,,,,,https://classic.wowhead.com/quest=1477
Accept: [QA1396],Accept,1396,Encroaching Wildlife,Duskwood,,,,,,https://classic.wowhead.com/quest=1396
Do: [QC1116],Do,1116,Dream Dust in the Swamp,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1116
Do: [QC1396],Do,1396,Encroaching Wildlife,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1396
TurnIn: [QT1396],TurnIn,1396,Encroaching Wildlife,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1396
Accept: [QA1421],Accept,1421,The Lost Caravan,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1421
"Kill Noboru the Cudgel to get Noboru's Cudgel. This is a grey item,but if you rightclick it, it starts a quest. Its only an OPTIONAL quest though",Text,,,Swamp of Sorrows,,,,,"Kill Noboru the Cudgel to get Noboru's Cudgel. This is a grey item,but if you rightclick it, it starts a quest. Its only an OPTIONAL quest though",https://classic.wowhead.com/quest=
Accept: [QA1392],Accept,1392,Noboru the Cudgel,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1392
TurnIn: [QT1392],TurnIn,1392,Noboru the Cudgel,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1392
Accept: [QA1389],Accept,1389,Draenethyst Crystals,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1389
Do: [QC1389],Do,1389,Draenethyst Crystals,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1389
Do: [QC1373],Do,1373,Ongeku,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1373
Do: [QC1421],Do,1421,The Lost Caravan,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1421
Accept: [QA1393],Accept,1393,Galen's Escape,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1393
Do: [QC1393],Do,1393,Galen's Escape,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1393
TurnIn: [QT1393],TurnIn,1393,Galen's Escape,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1393
TurnIn: [QT1389],TurnIn,1389,Draenethyst Crystals,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1389
TurnIn: [QT1421],TurnIn,1421,The Lost Caravan,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1421
Accept: [QA1398],Accept,1398,Driftwood,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1398
"Run to [G56.2,76.6Swamp of Sorrows]",Run,,,Swamp of Sorrows,"56.2,76.6",,,,,https://classic.wowhead.com/quest=
Do: [QC1398],Do,1398,Driftwood,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1398
"After done with the wood, farm 3-4 bars on the murlocs",Text,,,Swamp of Sorrows,,,,,"After done with the wood, farm 3-4 bars on the murlocs",https://classic.wowhead.com/quest=
TurnIn: [QT1398],TurnIn,1398,Driftwood,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1398
