Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N41-44Tanaris,STV]",,,,,,,,,,
[NX44-45Feralas],,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Accept: [QA600],Accept,600,Venture Company Mining,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=600
Accept: [QA621],Accept,621,Zanzil's Secret,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=621
Accept: [QA587],Accept,587,Up to Snuff,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=587
Accept: [QA2864],Accept,2864,Tran'rek,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=2864
Accept: [QA209],Accept,209,Skullsplitter Tusks,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=209
Accept: [QA604],Accept,604,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=604
Accept: [QA617],Accept,617,Akiris by the Bundle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=617
Accept: [QA609],Accept,609,Voodoo Dues,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=609
Accept: [QA2872],Accept,2872,Stoley's Debt,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=2872
Accept: [QA576],Accept,576,Keep An Eye Out,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=576
Keep an eye out for the Bottle Quest(along the beach),Text,,,Stranglethorn Vale,,,,,Keep an eye out for the Bottle Quest(along the beach),https://classic.wowhead.com/quest=
Do: [QC604],Do,604,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=604
Do: [QC587],Do,587,Up to Snuff,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=587
Do: [QC576],Do,576,Keep An Eye Out,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=576
Farm 4-10 Bars on the non casting pirates here,Text,,,Stranglethorn Vale,,,,,Farm 4-10 Bars on the non casting pirates here,https://classic.wowhead.com/quest=
Do: [QC617],Do,617,Akiris by the Bundle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=617
Farm 3-4 Bars on the naga,Text,,,Stranglethorn Vale,,,,,Farm 3-4 Bars on the naga,https://classic.wowhead.com/quest=
TurnIn: [QT617],TurnIn,617,Akiris by the Bundle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=617
Accept: [QA623],Accept,623,Akiris by the Bundle,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=623
Accept: [QA580],Accept,580,Whiskey Slim's Lost Grog,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=580
TurnIn: [QT587],TurnIn,587,Up to Snuff,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=587
TurnIn: [QT604],TurnIn,604,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=604
Accept: [QA608],Accept,608,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=608
"Buy all missing pages of Stranglethorn 1,4,6,8,10,11,14,16,18,20,21,24,25,26,27",Text,,,Stranglethorn Vale,,,,,"Buy all missing pages of Stranglethorn 1,4,6,8,10,11,14,16,18,20,21,24,25,26,27",https://classic.wowhead.com/quest=
TurnIn: [QT576],TurnIn,576,Keep An Eye Out,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=576
Grind till [XP43] on the pirates then kill all captains on the boats nearby,Text,,,Stranglethorn Vale,,,,,Grind till [XP43] on the pirates then kill all captains on the boats nearby,https://classic.wowhead.com/quest=
