Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N41-44Tanaris,STV]",,,,,,,,,,
[NX44-45Feralas],,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
TurnIn: [QT2864],Turnin,2864,Tran'rek,Tanaris,,,,,,https://classic.wowhead.com/quest=2864
TurnIn: [QT1188],Turnin,1188,Safety First,Tanaris,,,,,,https://classic.wowhead.com/quest=1188
Accept: [QA1189],Accept,1189,Safety First,Tanaris,,,,,,https://classic.wowhead.com/quest=1189
Accept: [QA2781],Accept,2781,WANTED: Caliph Scorpidsting,Tanaris,,,,,,https://classic.wowhead.com/quest=2781
Accept: [QA2875],Accept,2875,WANTED: Andre Firebeard,Tanaris,,,,,,https://classic.wowhead.com/quest=2875
Accept: [QA1707],Accept,1707,Water Pouch Bounty,Tanaris,,,,,,https://classic.wowhead.com/quest=1707
Accept: [QA1690],Accept,1690,Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1690
Do: [QC1690],Do,1690,Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1690
Grind till [XP44],Text,,,Tanaris,,,,,Grind till [XP44],https://classic.wowhead.com/quest=
Accept: [QA8365],Accept,8365,Pirate Hats Ahoy!,Tanaris,,,,,,https://classic.wowhead.com/quest=8365
Accept: [QA3520],Accept,3520,Screecher Spirits,Tanaris,,,,,,https://classic.wowhead.com/quest=3520
Accept: [QA8360],Accept,8360,Dancing for Marzipan,Tanaris,,,,,,https://classic.wowhead.com/quest=8360
TurnIn: [QT2872],Turnin,2872,Stoley's Debt,Tanaris,,,,,,https://classic.wowhead.com/quest=2872
Accept: [QA2873],Accept,2873,Stoley's Shipment,Tanaris,,,,,,https://classic.wowhead.com/quest=2873
Do: [QC2875],Do,2875,WANTED: Andre Firebeard,Tanaris,,,,,,https://classic.wowhead.com/quest=2875
Do: [QC8365],Do,8365,Pirate Hats Ahoy!,Tanaris,,,,,,https://classic.wowhead.com/quest=8365
Do: [QC8360],Do,8360,Dancing for Marzipan,Tanaris,,,,,,https://classic.wowhead.com/quest=8360
Do: [QC2873],Do,2873,Stoley's Shipment,Tanaris,,,,,,https://classic.wowhead.com/quest=2873
Grind 4-10 Bars unless those pesky AoE farming mages are here :D,Text,,,Tanaris,,,,,Grind 4-10 Bars unless those pesky AoE farming mages are here :D,https://classic.wowhead.com/quest=
TurnIn: [QT1690],Turnin,1690,Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1690
Accept: [QA1691],Accept,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691
TurnIn: [QT1707],Turnin,1707,Water Pouch Bounty,Tanaris,,,,,,https://classic.wowhead.com/quest=1707
Do: [QC1691],Do,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691
Do: [QC2781],Do,2781,WANTED: Caliph Scorpidsting,Tanaris,,,,,,https://classic.wowhead.com/quest=2781
TurnIn: [QT2873],Turnin,2873,Stoley's Shipment,Tanaris,,,,,,https://classic.wowhead.com/quest=2873
Accept: [QA2874],Accept,2874,Deliver to MacKinley,Tanaris,,,,,,https://classic.wowhead.com/quest=2874
TurnIn: [QT2875],Turnin,2875,WANTED: Andre Firebeard,Tanaris,,,,,,https://classic.wowhead.com/quest=2875
TurnIn: [QT8360],Turnin,8360,Dancing for Marzipan,Tanaris,,,,,,https://classic.wowhead.com/quest=8360
TurnIn: [QT8365],Turnin,8365,Pirate Hats Ahoy!,Tanaris,,,,,,https://classic.wowhead.com/quest=8365
TurnIn: [QT1691],Turnin,1691,More Wastewander Justice,Tanaris,,,,,,https://classic.wowhead.com/quest=1691
TurnIn: [QT2781],Turnin,2781,WANTED: Caliph Scorpidsting,Tanaris,,,,,,https://classic.wowhead.com/quest=2781
Accept: [QA3022],Accept,3022,Handle With Care,Tanaris,,,,,,https://classic.wowhead.com/quest=3022
