Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
[N44-45Feralas],,,,,,,,,,
"[NX45-47Tanaris,Hinterlands]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Fly to [F Feralas],Fly,,,Feralas,,,,,,https://classic.wowhead.com/quest=
Accept: [QA2821],Accept,2821,The Mark of Quality,Feralas,,,,,,https://classic.wowhead.com/quest=2821
"Set your [H] to Feralas at [G31,43.2Feralas]",Hearthstone,,,Feralas,"31,43.2",,,,,https://classic.wowhead.com/quest=
Accept: [QA3787],Accept,3787,Jonespyre's Request,Feralas,,,,,,https://classic.wowhead.com/quest=3787
Accept: [QA2866],Accept,2866,The Ruins of Solarsal,Feralas,,,,,,https://classic.wowhead.com/quest=2866
Accept: [QA4124],Accept,4124,The Missing Courier,Feralas,,,,,,https://classic.wowhead.com/quest=4124
Accept: [QA2939],Accept,2939,In Search of Knowledge,Feralas,,,,,,https://classic.wowhead.com/quest=2939
Accept: [QA2982],Accept,2982,The High Wilderness,Feralas,,,,,,https://classic.wowhead.com/quest=2982
TurnIn: [QT4124],Turnin,4124,The Missing Courier,Feralas,,,,,,https://classic.wowhead.com/quest=4124
Accept: [QA4125],Accept,4125,The Missing Courier,Feralas,,,,,,https://classic.wowhead.com/quest=4125
TurnIn: [QT2866],Turnin,2866,The Ruins of Solarsal,Feralas,,,,,,https://classic.wowhead.com/quest=2866
Accept: [QA2867],Accept,2867,Return to Feathermoon Stronghold,Feralas,,,,,,https://classic.wowhead.com/quest=2867
TurnIn: [QT2867],Turnin,2867,Return to Feathermoon Stronghold,Feralas,,,,,,https://classic.wowhead.com/quest=2867
Accept: [QA3130],Accept,3130,Against the Hatecrest,Feralas,,,,,,https://classic.wowhead.com/quest=3130
TurnIn: [QT3130],Turnin,3130,Against the Hatecrest,Feralas,,,,,,https://classic.wowhead.com/quest=3130
Accept: [QA2869],Accept,2869,Against the Hatecrest,Feralas,,,,,,https://classic.wowhead.com/quest=2869
TurnIn: [QT2869],Turnin,2869,Against the Hatecrest,Feralas,,,,,,https://classic.wowhead.com/quest=2869
Accept: [QA2870],Accept,2870,Against Lord Shalzaru,Feralas,,,,,,https://classic.wowhead.com/quest=2870
Do: [QC2870],Do,2870,Against Lord Shalzaru,Feralas,,,,,,https://classic.wowhead.com/quest=2870
TurnIn: [QT4125],Turnin,4125,The Missing Courier,Feralas,,,,,,https://classic.wowhead.com/quest=4125
Accept: [QA4127],Accept,4127,Boat Wreckage,Feralas,,,,,,https://classic.wowhead.com/quest=4127
Do: [QC3520],Do,3520,Screecher Spirits,Feralas,,,,,,https://classic.wowhead.com/quest=3520
Use your [H] Hearthstone.,UseHearthstone,,,Feralas,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT4127],Turnin,4127,Boat Wreckage,Feralas,,,,,,https://classic.wowhead.com/quest=4127
