Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
[N52-53Felwood],,,,,,,,,,
"[NX55-56BS,WPL]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Accept: [QA4101],Accept,4101,Cleansing Felwood,Felwood,,,,,,https://classic.wowhead.com/quest=4101
Accept: [QA8460],Accept,8460,Timbermaw Ally,Felwood,,,,,,https://classic.wowhead.com/quest=8460
Accept: [QA5155],Accept,5155,Forces of Jaedenar,Felwood,,,,,,https://classic.wowhead.com/quest=5155
Accept: [QA4421],Accept,4421,The Corruption of the Jadefire,Felwood,,,,,,https://classic.wowhead.com/quest=4421
Accept: [QA5156],Accept,5156,Verifying the Corruption,Felwood,,,,,,https://classic.wowhead.com/quest=5156
Do: [QC8460],Do,8460,Timbermaw Ally,Felwood,,,,,,https://classic.wowhead.com/quest=8460
Grind 4-5 Bars on the Furbolgs here,Text,,,Felwood,,,,,Grind 4-5 Bars on the Furbolgs here,https://classic.wowhead.com/quest=
TurnIn: [QT8460],TurnIn,8460,Timbermaw Ally,Felwood,,,,,,https://classic.wowhead.com/quest=8460
Accept: [QA8462],Accept,8462,Speak to Nafien,Felwood,,,,,,https://classic.wowhead.com/quest=8462
Do: [QC4421],Do,4421,The Corruption of the Jadefire,Felwood,,,,,,https://classic.wowhead.com/quest=4421
Grind 4-5 Bars on the Satyrs or the slimes around the nearby pond,Text,,,Felwood,,,,,Grind 4-5 Bars on the Satyrs or the slimes around the nearby pond,https://classic.wowhead.com/quest=
Do: [QC5155],Do,5155,Forces of Jaedenar,Felwood,,,,,,https://classic.wowhead.com/quest=5155
Grind 4-5 Bars on the Jaedenar or the slimes around the nearby pond,Text,,,Felwood,,,,,Grind 4-5 Bars on the Jaedenar or the slimes around the nearby pond,https://classic.wowhead.com/quest=
TurnIn: [QT4421],TurnIn,4421,The Corruption of the Jadefire,Felwood,,,,,,https://classic.wowhead.com/quest=4421
Accept: [QA4906],Accept,4906,Further Corruption,Felwood,,,,,,https://classic.wowhead.com/quest=4906
TurnIn: [QT5155],TurnIn,5155,Forces of Jaedenar,Felwood,,,,,,https://classic.wowhead.com/quest=5155
Accept: [QA5157],Accept,5157,Collection of the Corrupt Water,Felwood,,,,,,https://classic.wowhead.com/quest=5157
Do: [QC5157],Do,5157,Collection of the Corrupt Water,Felwood,,,,,,https://classic.wowhead.com/quest=5157
Grind till [XP52],Text,,,Felwood,,,,,Grind till [XP52],https://classic.wowhead.com/quest=
Do: [QC5156],Do,5156,Verifying the Corruption,Felwood,,,,,,https://classic.wowhead.com/quest=5156
Do: [QC4906],Do,4906,Further Corruption,Felwood,,,,,,https://classic.wowhead.com/quest=4906
Accept: [QA939],Accept,939,Flute of Xavaric,Felwood,,,,,,https://classic.wowhead.com/quest=939
Do: [QC939],Do,939,Flute of Xavaric,Felwood,,,,,,https://classic.wowhead.com/quest=939
Do: [QC4101],Do,4101,Cleansing Felwood,Felwood,,,,,,https://classic.wowhead.com/quest=4101
"Get the [P] flightpath at: [G62.5,24.2Felwood]",Flightpath,,,Felwood,"62.5,24.2",,,,,https://classic.wowhead.com/quest=
TurnIn: [QT8462],TurnIn,8462,Speak to Nafien,Felwood,,,,,,https://classic.wowhead.com/quest=8462
Accept: [QA6221],Accept,6221,Deadwood of the North,Felwood,,,,,,https://classic.wowhead.com/quest=6221
Do: [QC6221],Do,6221,Deadwood of the North,Felwood,,,,,,https://classic.wowhead.com/quest=6221
TurnIn: [QT6221],TurnIn,6221,Deadwood of the North,Felwood,,,,,,https://classic.wowhead.com/quest=6221
"Run to [G66.3,2.9Felwood]",Run,,,Felwood,"66.3,2.9",,,,,https://classic.wowhead.com/quest=
Accept: [QA6241],Accept,6241,Winterfall Activity,Winterspring,,,,,,https://classic.wowhead.com/quest=6241
TurnIn: [QT3908],TurnIn,3908,It's a Secret to Everybody,Winterspring,,,,,,https://classic.wowhead.com/quest=3908
Accept: [QA3909],Accept,3909,The Videre Elixir,Winterspring,,,,,,https://classic.wowhead.com/quest=3909
Accept: [QA6603],Accept,6603,Trouble in Winterspring!,Winterspring,,,,,,https://classic.wowhead.com/quest=6603
Accept: [QA5601],Accept,5601,Sister Pamela,Winterspring,,,,,,https://classic.wowhead.com/quest=5601
"Get the [P] flightpath at: [G61.4,38.8Winterspring]",Flightpath,,,Winterspring,"61.4,38.8",,,,,https://classic.wowhead.com/quest=
