Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N55-56BS,WPL]",,,,,,,,,,
"[NX56-60WPL,EPL,BS]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Fly to [F Western Plaguelands],Fly,,,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT5066],TurnIn,5066,A Call to Arms: The Plaguelands!,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5066
Accept: [QA5092],Accept,5092,Clear the Way,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5092
TurnIn: [QT6028],TurnIn,6028,The Everlook Report,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=6028
TurnIn: [QT5401],TurnIn,5401,Argent Dawn Commission,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5401
TurnIn: [QT6184],TurnIn,6184,Flint Shadowmore,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=6184
Accept: [QA6185],Accept,6185,The Eastern Plagues,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=6185
Do: [QC5092],Do,5092,Clear the Way,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5092
TurnIn: [QT5092],TurnIn,5092,Clear the Way,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5092
Accept: [QA5097],Accept,5097,All Along the Watchtowers,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097
Accept: [QA5215],Accept,5215,The Scourge Cauldrons,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5215
TurnIn: [QT5215],TurnIn,5215,The Scourge Cauldrons,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5215
Accept: [QA5216],Accept,5216,Target: Felstone Field,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5216
Do: [QC5097],Do,5097,All Along the Watchtowers,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097
Do: [QC5097],Do,5097,TODO: Add specific questparts,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097
TurnIn: [QT5216],TurnIn,5216,Target: Felstone Field,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5216
Accept: [QA5217],Accept,5217,Return to Chillwind Camp,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5217
Accept: [QA5021],Accept,5021,Better Late Than Never,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5021
TurnIn: [QT5021],TurnIn,5021,Better Late Than Never,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5021
Accept: [QA5022],Accept,5022,Better Late Than Never,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5022
Do: [QC5097],Do,5097,TODO: Add specific questparts,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097
Do: [QC5097],Do,5097,TODO: Add specific questparts,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097
TurnIn: [QT5097],TurnIn,5097,All Along the Watchtowers,Western Plaguelands,,,,,,https://classic.wowhead.com/quest=5097
