Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
"[N56-60WPL,EPL,BS]",,,,,,,,,,
[NX1-12Human TUGs Leveling Guide],,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
TurnIn: [QT3701],TurnIn,3701,The Smoldering Ruins of Thaurissan,Ironforge,,,,,,https://classic.wowhead.com/quest=3701
Accept: [QA4341],Accept,4341,Kharan Mighthammer,Ironforge,,,,,,https://classic.wowhead.com/quest=4341
TurnIn: [QT4128],TurnIn,4128,Ragnar Thunderbrew,Kharanos,,,,,,https://classic.wowhead.com/quest=4128
Accept: [QA4126],Accept,4126,Hurley Blackbreath,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=4126
Fly to [F Stormwind City],Fly,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT5022],TurnIn,5022,Better Late Than Never,Stormwind City,,,,,,https://classic.wowhead.com/quest=5022
Accept: [QA5048],Accept,5048,Good Natured Emma,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5048
TurnIn: [QT5048],TurnIn,5048,Good Natured Emma,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5048
Accept: [QA5050],Accept,5050,Good Luck Charm,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=5050
Fly to [F Redridge],Fly,,,Redridge,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT4186][O],TurnInOptional,4186,The True Masters,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=4186
Accept: [QA4223][O],AcceptOptional,4223,The True Masters,Eastern Plaguelands,,,,,,https://classic.wowhead.com/quest=4223
Fly to [F Burning Steppes],Fly,,,Burning Steppes,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT4223][O],TurnInOptional,4223,The True Masters,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4223
Accept: [QA4224][O],AcceptOptional,4224,The True Masters,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4224
Accept: [QA4286],Accept,4286,The Good Stuff,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4286
Do: [QC4224],Do,4224,The True Masters,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4224
Accept: [QA4123],Accept,4123,The Heart of the Mountain,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4123
Accept: [QA3825],Accept,3825,Ogre Head On A Stick = Party,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3825
Do: [QC3825],Do,3825,Ogre Head On A Stick = Party,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3825
Accept: [QA4024],Accept,4024,A Taste of Flame,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4024
TurnIn: [QT4224][O],TurnInOptional,4224,The True Masters,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4224
Accept: [QA4241][O],AcceptOptional,4241,Marshal Windsor,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4241
TurnIn: [QT3825],TurnIn,3825,Ogre Head On A Stick = Party,Burning Steppes,,,,,,https://classic.wowhead.com/quest=3825
Accept: [QA4262],Accept,4262,Overmaster Pyron,Burning Steppes,,,,,,https://classic.wowhead.com/quest=4262
If youre not 60 by now there are basically 2 options: Finish the Winterspring quests or do a Full BRD run (and Stratholme/Scholo if thats still not enough),Text,,,Burning Steppes,,,,,If youre not 60 by now there are basically 2 options: Finish the Winterspring quests or do a Full BRD run (and Stratholme/Scholo if thats still not enough),https://classic.wowhead.com/quest=
