Name,Action,ID,Questname,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
"[N9-11 Dun Morogh, Loch Modan]",,,,,,,,,,,,,
[NX11-14 Darkshore],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,,,,
Accept: [QA314][O],AcceptOptional,314,Protecting the Herd,Dun Morogh,,,,,,https://classic.wowhead.com/quest=314,,,
Do(this is an optional quest!): [QC314],DoOptional,314,Protecting the Herd,Dun Morogh,,,,,,https://classic.wowhead.com/quest=314,,,
TurnIn: [QT314][O],TurnInOptional,314,Protecting the Herd,Dun Morogh,,,,,,https://classic.wowhead.com/quest=314,,,
Accept: [QA433],Accept,433,The Public Servant,Dun Morogh,,,,,,https://classic.wowhead.com/quest=433,,,
Accept: [QA432],Accept,432,Those Blasted Troggs!,Dun Morogh,,,,,,https://classic.wowhead.com/quest=432,,,
Do [QC433- ][QC432],Text,433,The Public Servant,Dun Morogh,,,,,Do [QC433- ][QC432],https://classic.wowhead.com/quest=433,,,
Farm till youre level[XP9+4500],Text,,,Dun Morogh,,,,,Farm till youre level[XP9+4500],https://classic.wowhead.com/quest=,,,
TurnIn: [QT432],TurnIn,432,Those Blasted Troggs!,Dun Morogh,,,,,,https://classic.wowhead.com/quest=432,,,
TurnIn: [QT433],TurnIn,433,The Public Servant,Dun Morogh,,,,,,https://classic.wowhead.com/quest=433,,,
Accept: [QA419],Accept,419,The Lost Pilot,Dun Morogh,,,,,,https://classic.wowhead.com/quest=419,,,
TurnIn: [QT419],TurnIn,419,The Lost Pilot,Dun Morogh,,,,,,https://classic.wowhead.com/quest=419,,,
Accept: [QA417],Accept,417,A Pilot's Revenge,Dun Morogh,,,,,,https://classic.wowhead.com/quest=417,,,
Do: [QC417],Do,417,A Pilot's Revenge,Dun Morogh,,,,,,https://classic.wowhead.com/quest=417,,,
TurnIn: [QT417],TurnIn,417,A Pilot's Revenge,Dun Morogh,,,,,,https://classic.wowhead.com/quest=417,,,
"Run to [G79.4, 49.9Dun Morogh]",Run,,,Dun Morogh,"79.4, 49.9",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G80.4, 49.7Dun Morogh]",Run,,,Dun Morogh,"80.4, 49.7",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G81.5, 50.1Dun Morogh]",Run,,,Dun Morogh,"81.5, 50.1",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G83.1, 49.5Dun Morogh]",Run,,,Dun Morogh,"83.1, 49.5",,,,,https://classic.wowhead.com/quest=,,,
"Slowly fall to the ledge infront of you, and then to the ground. Pass the Bunker on the left and kill the 2-3 boars on the way.",Text,,,,,,,,"Slowly fall to the ledge infront of you, and then to the ground. Pass the Bunker on the left and kill the 2-3 boars on the way.",https://classic.wowhead.com/quest=,,,
Accept: [QA224],Accept,224,In Defense of the King's Lands,Loch Modan,,,,,,https://classic.wowhead.com/quest=224,,,
Accept: [QA267],Accept,267,The Trogg Threat,Loch Modan,,,,,,https://classic.wowhead.com/quest=267,,,
"Get the [P] flightpath at: [G33.9,51Loch Modan][A Hunter]",Flightpath,,,Loch Modan,"33.9,51",,,Hunter,,https://classic.wowhead.com/quest=,,,
Fly to [F Ironforge][A Hunter],Fly,,,Ironforge,,,,Hunter,,https://classic.wowhead.com/quest=,,,
Accept: [QA6064][A Hunter],Accept,6064,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6064,,,
Do: [QC6064][A Hunter],Do,6064,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6064,,,
TurnIn: [QT6064][A Hunter],TurnIn,6064,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6064,,,
Accept: [QA6084][A Hunter],Accept,6084,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6084,,,
Do: [QC6084][A Hunter],Do,6084,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6084,,,
TurnIn: [QT6084][A Hunter],TurnIn,6084,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6084,,,
Accept: [QA6085][A Hunter],Accept,6085,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6085,,,
Do: [QC6085][A Hunter],Do,6085,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6085,,,
TurnIn: [QT6085][A Hunter],TurnIn,6085,Taming the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6085,,,
Accept: [QA6086][A Hunter],Accept,6086,Training the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6086,,,
[A Hunter]Tame a pet you like.I highly recommend a boar. Charge that deals more dmg and roots and as its a charge it can attack earlier->More aggro!,Text,,,,,,,Hunter,[A Hunter]Tame a pet you like.I highly recommend a boar. Charge that deals more dmg and roots and as its a charge it can attack earlier->More aggro!,https://classic.wowhead.com/quest=,,,
TurnIn: [QT6086][A Hunter],TurnIn,6086,Training the Beast,,,,,Hunter,,https://classic.wowhead.com/quest=6086,,,
[A Hunter]Feed your pet and [T] Train your own and your pets skills.,Text,,,,,,,Hunter,[A Hunter]Feed your pet and [T] Train your own and your pets skills.,https://classic.wowhead.com/quest=,,,
Fly to [F Loch Modan][A Hunter],Fly,,,Loch Modan,,,,Hunter,,https://classic.wowhead.com/quest=,,,
Do: [QC224],Do,224,In Defense of the King's Lands,Loch Modan,,,,,,https://classic.wowhead.com/quest=224,,,
Do: [QC267],Do,267,The Trogg Threat,Loch Modan,,,,,,https://classic.wowhead.com/quest=267,,,
TurnIn: [QT224],TurnIn,224,In Defense of the King's Lands,Loch Modan,,,,,,https://classic.wowhead.com/quest=224,,,
Accept: [QA237],Accept,237,In Defense of the King's Lands,Loch Modan,,,,,,https://classic.wowhead.com/quest=237,,,
TurnIn: [QT267],TurnIn,267,The Trogg Threat,Loch Modan,,,,,,https://classic.wowhead.com/quest=267,,,
"Get the [P] flightpath at: [G33.9,51Loch Modan]",Flightpath,,,Loch Modan,"33.9,51",,,,,https://classic.wowhead.com/quest=,,,
"Set your [S] to Loch Modan at [G35.4,48.4Loch Modan][A Dwarf]",Hearthstone,,,Loch Modan,"35.4,48.4",,,Dwarf,,https://classic.wowhead.com/quest=,,,
"Accept: [QA6387][A Dwarf, Gnome]",Accept,6387,Honor Students,Loch Modan,,,,"Dwarf, Gnome",,https://classic.wowhead.com/quest=6387,,,
Accept: [QA1339],Accept,1339,Mountaineer Stormpike's Task,Loch Modan,,,,,,https://classic.wowhead.com/quest=1339,,,
TurnIn: [QT353][A Human],TurnIn,353,Stormpike's Delivery,Loch Modan,,,,Human,,https://classic.wowhead.com/quest=353,,,
TurnIn: [QT1339],TurnIn,1339,Mountaineer Stormpike's Task,Loch Modan,,,,,,https://classic.wowhead.com/quest=1339,,,
Accept: [QA307],Accept,307,Filthy Paws,Loch Modan,,,,,,https://classic.wowhead.com/quest=307,,,
Do: [QC307],Do,307,Filthy Paws,Loch Modan,,,,,,https://classic.wowhead.com/quest=307,,,
"Buy: [CI4778,1 Heavy Spiked Mace] from [G42.8,10Loch Modan]Nillen Andemar - Its a limited supply weapon,so it might not be available[A Warrior,Paladin]",Buy,,,Loch Modan,,,,"Warrior,Paladin","from [G42.8,10Loch Modan]Nillen Andemar - Its a limited supply weapon,so it might not be available",https://classic.wowhead.com/quest=,4778,Heavy Spiked Mace,1
TurnIn: [QT307],TurnIn,307,Filthy Paws,Loch Modan,,,,,,https://classic.wowhead.com/quest=307,,,
Accept: [QA1338],Accept,1338,Stormpike's Order,Loch Modan,,,,,,https://classic.wowhead.com/quest=1338,,,
Use your [H] Hearthstone.,Usehearthstone,,,Loch Modan,,,,,,https://classic.wowhead.com/quest=,,,
"TurnIn: [QT6387][A Dwarf, Gnome]",TurnIn,6387,Honor Students,Loch Modan,,,,"Dwarf, Gnome",,https://classic.wowhead.com/quest=6387,,,
"Accept: [QA6391][A Dwarf, Gnome]",Accept,6391,Ride to Ironforge,Loch Modan,,,,"Dwarf, Gnome",,https://classic.wowhead.com/quest=6391,,,
"Fly to [F Ironforge][A Dwarf, Gnome]",Fly,,,Ironforge,,,,"Dwarf, Gnome",,https://classic.wowhead.com/quest=,,,
"TurnIn: [QT6391][A Dwarf, Gnome]",TurnIn,6391,Ride to Ironforge,Loch Modan,,,,"Dwarf, Gnome",,https://classic.wowhead.com/quest=6391,,,
"Accept: [QA6388][A Dwarf, Gnome]",Accept,6388,Gryth Thurden,Ironforge,,,,"Dwarf, Gnome",,https://classic.wowhead.com/quest=6388,,,
"[A Warlock,Warrior,Hunter,Mage,Rogue] [T] Get your Level 10 skills at your trainer.",Text,,,Ironforge,,,,Warlock,"[A Warlock,Warrior,Hunter,Mage,Rogue] [T] Get your Level 10 skills at your trainer.",https://classic.wowhead.com/quest=,,,
"[A Paladin] [T] Get your Level 10 skills at your trainer. Run to [G24.6,4.5Ironforge]",Text,,,Ironforge,,,,Paladin,"[A Paladin] [T] Get your Level 10 skills at your trainer. Run to [G24.6,4.5Ironforge]",https://classic.wowhead.com/quest=,,,
Accept: [QA1715][A Warlock],Accept,1715,The Slaughtered Lamb,,,,,Warlock,,https://classic.wowhead.com/quest=1715,,,
