Name,Action,ID,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount,,,,,,,
[GA Alliance],,,,,,,,,,,,,,,,,,,
[N1-10Nightelf Starting Zone],,,,,,,,,,,,,,,,,,,
[NX11-18 Darkshore],,,,,,,,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,,,,,,,"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV"
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,,,,,,,"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV"
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,,,,,,,,,,
Accept: [QA456],Accept,456,Teldrassil,,,,,,https://classic.wowhead.com/quest=456,,,,,,,,,,
Do: [QC456],Do,456,Teldrassil,,,,,,https://classic.wowhead.com/quest=456,,,,,,,,,,
Grind  this area till level [XP2+500 2+500],Grind,,this area,,,2+500,,,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT456],TurnIn,456,Teldrassil,,,,,,https://classic.wowhead.com/quest=456,,,,,,,,,,
Accept: [QA3120][A Druid],Accept,3120,Teldrassil,,,,Druid,,https://classic.wowhead.com/quest=3120,,,,,,,,,,
Accept: [QA3117][A Hunter],Accept,3117,Teldrassil,,,,Hunter,,https://classic.wowhead.com/quest=3117,,,,,,,,,,
Accept: [QA457],Accept,457,Teldrassil,,,,,,https://classic.wowhead.com/quest=457,,,,,,,,,,
Accept: [QA458],Accept,458,Teldrassil,,,,,,https://classic.wowhead.com/quest=458,,,,,,,,,,
Accept: [QA4495],Accept,4495,Teldrassil,,,,,,https://classic.wowhead.com/quest=4495,,,,,,,,,,
Do: [QC457],Do,457,Teldrassil,,,,,,https://classic.wowhead.com/quest=457,,,,,,,,,,
TurnIn: [QT4495],TurnIn,4495,Teldrassil,,,,,,https://classic.wowhead.com/quest=4495,,,,,,,,,,
Accept: [QA3519],Accept,3519,Teldrassil,,,,,,https://classic.wowhead.com/quest=3519,,,,,,,,,,
Use your [H] Hearthstone.,UseHearthstone,,Teldrassil,,,,,,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT457],TurnIn,457,Teldrassil,,,,,,https://classic.wowhead.com/quest=457,,,,,,,,,,
TurnIn: [QT458],TurnIn,458,Teldrassil,,,,,,https://classic.wowhead.com/quest=458,,,,,,,,,,
Accept: [QA459],Accept,459,Teldrassil,,,,,,https://classic.wowhead.com/quest=459,,,,,,,,,,
TurnIn: [QT3519],TurnIn,3519,Teldrassil,,,,,,https://classic.wowhead.com/quest=3519,,,,,,,,,,
Accept: [QA3521],Accept,3521,Teldrassil,,,,,,https://classic.wowhead.com/quest=3521,,,,,,,,,,
"Buy: [CI2512,400 Rough Arrow][A Hunter] from [G59.3, 41.1 Teldrassil] Keina.",Text,,Teldrassil,,,,,"Buy: [CI2512,400 Rough Arrow][A Hunter] from [G59.3, 41.1 Teldrassil] Keina.",https://classic.wowhead.com/quest=,,,,,,,,,,
"Sell [V] at[G59.3, 41.1 Teldrassil] Keina.",Text,,Teldrassil,,,,,"Sell [V] at[G59.3, 41.1 Teldrassil] Keina.",https://classic.wowhead.com/quest=,,,,,,,,,,
Accept: [QA916],Accept,916,Teldrassil,,,,,,https://classic.wowhead.com/quest=916,,,,,,,,,,
TurnIn: [QT3120][A Druid],TurnIn,3120,Teldrassil,,,,Druid,,https://classic.wowhead.com/quest=3120,,,,,,,,,,
Do [QC3521- ][QC459],Text,3521,Teldrassil,,,,,Do [QC3521- ][QC459],https://classic.wowhead.com/quest=3521,,,,,,,,,,
Do: [QC916],Do,916,Teldrassil,,,,,,https://classic.wowhead.com/quest=916,,,,,,,,,,
[A Hunter] Make sure you got 2s 71c ("Bag Money"+ Sellable Grey items). Equipment is usually worth just 2-4 copper and stackables like "Snapped Spider Limb" and "Snapped Spider Limb"30c+.,Text,,Teldrassil,,,,Hunter,[A Hunter] Make sure you got 2s 71c ("Bag Money"+ Sellable Grey items). Equipment is usually worth just 2-4 copper and stackables like "Snapped Spider Limb" and "Snapped Spider Limb"30c+.,https://classic.wowhead.com/quest=,,,,,,,,,,
Die and Rezz,Text,,Teldrassil,,,,,Die and Rezz,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT459],TurnIn,459,Teldrassil,,,,,,https://classic.wowhead.com/quest=459,,,,,,,,,,
TurnIn: [QT916],TurnIn,916,Teldrassil,,,,,,https://classic.wowhead.com/quest=916,,,,,,,,,,
Accept: [QA917],Accept,917,Teldrassil,,,,,,https://classic.wowhead.com/quest=917,,,,,,,,,,
"Buy: [CI2506,1 Hornwood Recurve Bow][A Hunter] from [G59.3, 41.1 Teldrassil] Keina. If you cant efford it yet, just buy it later.",Text,,Teldrassil,,,,Hunter,"Buy: [CI2506,1 Hornwood Recurve Bow][A Hunter] from [G59.3, 41.1 Teldrassil] Keina. If you cant efford it yet, just buy it later.",https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT3521],TurnIn,3521,Teldrassil,,,,,,https://classic.wowhead.com/quest=3521,,,,,,,,,,
Accept: [QA3522],Accept,3522,Teldrassil,,,,,,https://classic.wowhead.com/quest=3522,,,,,,,,,,
"Run to [G57.5, 41.6Teldrassil][A Hunter]",Run,,Teldrassil,"57.5, 41.6",,,Hunter,,https://classic.wowhead.com/quest=,,,,,,,,,,
[A Hunter] Run up the tree.,Text,,Teldrassil,,,,Hunter,[A Hunter] Run up the tree.,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT3117],TurnIn,3117,Teldrassil,,,,,,https://classic.wowhead.com/quest=3117,,,,,,,,,,
[T] [A Hunter] Train "Serpent Sting".,Text,,Teldrassil,,,,,[T] [A Hunter] Train "Serpent Sting".,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT3522],TurnIn,3522,Teldrassil,,,,,,https://classic.wowhead.com/quest=3522,,,,,,,,,,
Do: [QC917],Do,917,Teldrassil,,,,,,https://classic.wowhead.com/quest=917,,,,,,,,,,
Grind  the spider cave till level [XP6 6],Grind,,the spider cave,,,6,,,https://classic.wowhead.com/quest=,,,,,,,,,,
Die and Rezz,Text,,Teldrassil,,,,,Die and Rezz,https://classic.wowhead.com/quest=,,,,,,,,,,
"Sell [V] at[G59.3, 41.1 Teldrassil] Keina.",Text,,Teldrassil,,,,,"Sell [V] at[G59.3, 41.1 Teldrassil] Keina.",https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT917],TurnIn,917,Teldrassil,,,,,,https://classic.wowhead.com/quest=917,,,,,,,,,,
Accept: [QA920],Accept,920,Teldrassil,,,,,,https://classic.wowhead.com/quest=920,,,,,,,,,,
[T] [A Hunter] Train "Arcane Shot".,Text,,Teldrassil,,,,,[T] [A Hunter] Train "Arcane Shot".,https://classic.wowhead.com/quest=,,,,,,,,,,
TurnIn: [QT920],TurnIn,920,Teldrassil,,,,,,https://classic.wowhead.com/quest=920,,,,,,,,,,
Accept: [QA921],Accept,921,Teldrassil,,,,,,https://classic.wowhead.com/quest=921,,,,,,,,,,
Do: [QC921],Do,921,Teldrassil,,,,,,https://classic.wowhead.com/quest=921,,,,,,,,,,
TurnIn: [QT921],TurnIn,921,Teldrassil,,,,,,https://classic.wowhead.com/quest=921,,,,,,,,,,
Accept: [QA928],Accept,928,Teldrassil,,,,,,https://classic.wowhead.com/quest=928,,,,,,,,,,
Accept: [QA2159],Accept,2159,Teldrassil,,,,,,https://classic.wowhead.com/quest=2159,,,,,,,,,,
"Kill all spiders you see now, we need 7 small Spider Legs!",Text,,Teldrassil,,,,,"Kill all spiders you see now, we need 7 small Spider Legs!",https://classic.wowhead.com/quest=,,,,,,,,,,
Accept: [QA488],Accept,488,Teldrassil,,,,,,https://classic.wowhead.com/quest=488,,,,,,,,,,
Do: [QC488],Do,488,Teldrassil,,,,,,https://classic.wowhead.com/quest=488,,,,,,,,,,
"Collect [CI5465,7 Small Spider Leg] now.",Text,,Teldrassil,,,,,"Collect [CI5465,7 Small Spider Leg] now.",https://classic.wowhead.com/quest=,,,,,,,,,,
"Learn cooking at [G57.0, 61.2 Teldrassil] at Zarrin.",Text,,Teldrassil,,,,,"Learn cooking at [G57.0, 61.2 Teldrassil] at Zarrin.",https://classic.wowhead.com/quest=,,,,,,,,,,
Accept: [QA4161],Accept,4161,Teldrassil,,,,,,https://classic.wowhead.com/quest=4161,,,,,,,,,,
TurnIn: [QT4161],TurnIn,4161,Teldrassil,,,,,,https://classic.wowhead.com/quest=4161,,,,,,,,,,
TurnIn: [QT928],TurnIn,928,Teldrassil,,,,,,https://classic.wowhead.com/quest=928,,,,,,,,,,
