Name,Action,ID,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,Do [QC3904- ][QC6],
[N1-12Draenei],,,,,,,,,
[NX12-20Draenei],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,#REF!,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,#REF!,
If you play a draenei on release i HIGHLY recommend getting teleported away via a warlock to ANY other starting zone!!!,Text,,,,,,,If you play a draenei on release i HIGHLY recommend getting teleported away via a warlock to ANY other starting zone!!!,https://tbc.wowhead.com/quest=
Accept: [QA9279],Accept,9279,,,,,,,https://tbc.wowhead.com/quest=9279
TurnIn: [QT9279],TurnIn,9279,,,,,,,https://tbc.wowhead.com/quest=9279
Accept: [QA9280],Accept,9280,,,,,,,https://tbc.wowhead.com/quest=9280
Accept: [QA10302],Accept,10302,,,,,,,https://tbc.wowhead.com/quest=10302
Do [QC10302- ][QC9280],Text,10302,,,,,,Do [QC10302- ][QC9280],https://tbc.wowhead.com/quest=10302
Grind in this area till level [XP3 3],Grind,,this area,,,3,,,https://tbc.wowhead.com/quest=
TurnIn: [QT10302],TurnIn,10302,,,,,,,https://tbc.wowhead.com/quest=10302
Accept: [QA9293],Accept,9293,,,,,,,https://tbc.wowhead.com/quest=9293
Accept: [QA9799],Accept,9799,,,,,,,https://tbc.wowhead.com/quest=9799
TurnIn: [QT9280],TurnIn,9280,,,,,,,https://tbc.wowhead.com/quest=9280
Accept: [QA9409],Accept,9409,,,,,,,https://tbc.wowhead.com/quest=9409
TurnIn: [QT9409],TurnIn,9409,,,,,,,https://tbc.wowhead.com/quest=9409
Accept: [QA9283],Accept,9283,,,,,,,https://tbc.wowhead.com/quest=9283
TurnIn: [QT9288][A Hunter],TurnIn,9288,,,,,Hunter,,https://tbc.wowhead.com/quest=9288
Accept: [QA9305],Accept,9305,,,,,,,https://tbc.wowhead.com/quest=9305
Accept: [QA9303],Accept,9303,,,,,,,https://tbc.wowhead.com/quest=9303
