Name,Action,ID,Location,Coords,XP,Level,Class,Text,WowHead
[GA Horde],,,,,,,,,
[N1-13Bloodelf],,,,,,,,,
[NX13-20Bloodelf],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,#REF!,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,#REF!,
If you play a bloodelf on release i HIGHLY recommend getting teleported away via a warlock to ANY other starting zone!!!,Text,,,,,,,If you play a bloodelf on release i HIGHLY recommend getting teleported away via a warlock to ANY other starting zone!!!,
Accept: [QA8325],Accept,8325,,,,,,,https://tbc.wowhead.com/quest=8325
Do: [QC8325],Do,8325,,,,,,,https://tbc.wowhead.com/quest=8325
TurnIn: [QT8325],Turnin,8325,,,,,,,https://tbc.wowhead.com/quest=8325
Accept: [QA8326],Accept,8326,,,,,,,https://tbc.wowhead.com/quest=8326
Accept: [QA9676][A Paladin],Accept,9676,,,,,Paladin,,https://tbc.wowhead.com/quest=9676
TurnIn: [QT9676][A Paladin],Turnin,9676,,,,,Paladin,,https://tbc.wowhead.com/quest=9676
Accept: [QA9393][A Hunter],Accept,9393,,,,,Hunter,,https://tbc.wowhead.com/quest=9393
TurnIn: [QT9393][A Hunter],Turnin,9393,,,,,Hunter,,https://tbc.wowhead.com/quest=9393
Accept: [QA10070][A Hunter],Accept,10070,,,,,Hunter,,https://tbc.wowhead.com/quest=10070
TurnIn: [QT10070][A Hunter],Turnin,10070,,,,,Hunter,,https://tbc.wowhead.com/quest=10070
Accept your class quest and turn it in immediately,Text,,,,,,,Accept your class quest and turn it in immediately,https://tbc.wowhead.com/quest=
Accept: [QA10069][A Paladin],Accept,10069,,,,,Paladin,,https://tbc.wowhead.com/quest=10069
TurnIn: [QT10069][A Paladin],Turnin,10069,,,,,Paladin,,https://tbc.wowhead.com/quest=10069
Accept: [QA8345],Accept,8345,,,,,,,https://tbc.wowhead.com/quest=8345
Accept: [QA8330],Accept,8330,,,,,,,https://tbc.wowhead.com/quest=8330
Accept: [QA8336],Accept,8336,,,,,,,https://tbc.wowhead.com/quest=8336
Accept: [QA8346],Accept,8346,,,,,,,https://tbc.wowhead.com/quest=8346
Kill all Lynx you see whilst doing the next quests.,Text,,,,,,,Kill all Lynx you see whilst doing the next quests.,https://tbc.wowhead.com/quest=
Do [QC8346- ][QC8336],Text,,,,,,,Do [QC8346- ][QC8336],https://tbc.wowhead.com/quest=
Do: [QC8345],Do,8345,,,,,,,https://tbc.wowhead.com/quest=8345
"Do: [QC8330,2]",Do,"8330,2",,,,,,,"https://tbc.wowhead.com/quest=8330,2"
"Do: [QC8330,1]",Do,"8330,1",,,,,,,"https://tbc.wowhead.com/quest=8330,1"
"Do: [QC8330,3]",Do,"8330,3",,,,,,,"https://tbc.wowhead.com/quest=8330,3"
Do: [QC8326],Do,8326,,,,,,,https://tbc.wowhead.com/quest=8326
TurnIn: [QT8346],Turnin,8346,,,,,,,https://tbc.wowhead.com/quest=8346
TurnIn: [QT8336],Turnin,8336,,,,,,,https://tbc.wowhead.com/quest=8336
TurnIn: [QT8326],Turnin,8326,,,,,,,https://tbc.wowhead.com/quest=8326
Accept: [QA8327],Accept,8327,,,,,,,https://tbc.wowhead.com/quest=8327
TurnIn: [QT8330],Turnin,8330,,,,,,,https://tbc.wowhead.com/quest=8330
TurnIn: [QT8345],Turnin,8345,,,,,,,https://tbc.wowhead.com/quest=8345
TurnIn: [QT8327],Turnin,8327,,,,,,,https://tbc.wowhead.com/quest=8327
Accept: [QA8334],Accept,8334,,,,,,,https://tbc.wowhead.com/quest=8334
Do: [QC8334],Do,8334,,,,,,,https://tbc.wowhead.com/quest=8334
TurnIn: [QT8334],Turnin,8334,,,,,,,https://tbc.wowhead.com/quest=8334
Accept: [QA8335],Accept,8335,,,,,,,https://tbc.wowhead.com/quest=8335
Do: [QC8335],Do,8335,,,,,,,https://tbc.wowhead.com/quest=8335
"You should have gotten a QuestItem, accept it.",Text,,,,,,,"You should have gotten a QuestItem, accept it.",https://tbc.wowhead.com/quest=
Accept: [QA8338],Accept,8338,,,,,,,https://tbc.wowhead.com/quest=8338
TurnIn: [QT8335],Turnin,8335,,,,,,,https://tbc.wowhead.com/quest=8335
Accept: [QA8347],Accept,8347,,,,,,,https://tbc.wowhead.com/quest=8347
TurnIn: [QT8338],Turnin,8338,,,,,,,https://tbc.wowhead.com/quest=8338
TurnIn: [QT8347],Turnin,8347,,,,,,,https://tbc.wowhead.com/quest=8347
Accept: [QA9704],Accept,9704,,,,,,,https://tbc.wowhead.com/quest=9704
TurnIn: [QT9704],Turnin,9704,,,,,,,https://tbc.wowhead.com/quest=9704
Accept: [QA9705],Accept,9705,,,,,,,https://tbc.wowhead.com/quest=9705
TurnIn: [QT9705],Turnin,9705,,,,,,,https://tbc.wowhead.com/quest=9705
Accept: [QA8350],Accept,8350,,,,,,,https://tbc.wowhead.com/quest=8350
Accept: [QA8472],Accept,8472,,,,,,,https://tbc.wowhead.com/quest=8472
Accept: [QA8463],Accept,8463,,,,,,,https://tbc.wowhead.com/quest=8463
Accept: [QA8468],Accept,8468,,,,,,,https://tbc.wowhead.com/quest=8468
TurnIn: [QT8350],Turnin,8350,,,,,,,https://tbc.wowhead.com/quest=8350
"Set your [H] to Eversong Woods at [G48.0, 47.6Eversong Woods]",Hearthstone,,Eversong Woods,"48.0, 47.6",,,,,https://tbc.wowhead.com/quest=
Do: [QC8468],Do,8468,,,,,,,https://tbc.wowhead.com/quest=8468
Do [QC8472- ][QC8463],Text,,,,,,,Do [QC8472- ][QC8463],https://tbc.wowhead.com/quest=
Use your [H] Hearthstone.,UseHearthstone,,,,,,,,https://tbc.wowhead.com/quest=
"[A Warlock,Mage,Priest][T] Get new skills at your trainer",Text,,,,,,,"[A Warlock,Mage,Priest][T] Get new skills at your trainer",https://tbc.wowhead.com/quest=
TurnIn: [QT8468],Turnin,8468,,,,,,,https://tbc.wowhead.com/quest=8468
TurnIn: [QT8463],Turnin,8463,,,,,,,https://tbc.wowhead.com/quest=8463
Accept: [QA9352],Accept,9352,,,,,,,https://tbc.wowhead.com/quest=9352
"[A Paladin,Hunter,Rogue][T] Get new skills at your trainer",Text,,,,,,,"[A Paladin,Hunter,Rogue][T] Get new skills at your trainer",https://tbc.wowhead.com/quest=
TurnIn: [QT8472],Turnin,8472,,,,,,,https://tbc.wowhead.com/quest=8472
Accept: [QA8895],Accept,8895,,,,,,,https://tbc.wowhead.com/quest=8895
"[A Paladin]Run to [G47,47.5Eversong Woods]",Text,,,,,,,"[A Paladin]Run to [G47,47.5Eversong Woods]",https://tbc.wowhead.com/quest=
[A Paladin]Buy "Wooden Mallet",Text,,,,,,,[A Paladin]Buy "Wooden Mallet",https://tbc.wowhead.com/quest=
TurnIn: [QT8895],Turnin,8895,,,,,,,https://tbc.wowhead.com/quest=8895
Accept: [QA9119],Accept,9119,,,,,,,https://tbc.wowhead.com/quest=9119
Accept: [QA9035],Accept,9035,,,,,,,https://tbc.wowhead.com/quest=9035
TurnIn: [QT9119],Turnin,9119,,,,,,,https://tbc.wowhead.com/quest=9119
Accept: [QA8486],Accept,8486,,,,,,,https://tbc.wowhead.com/quest=8486
Do: [QC8486],Do,8486,,,,,,Do [QC8486- ][QC9352],https://tbc.wowhead.com/quest=8486
"You should have gotten a QuestItem, accept it.",Text,,,,,,,"You should have gotten a QuestItem, accept it.",https://tbc.wowhead.com/quest=
Accept: [QA8482],Accept,8482,,,,,,,https://tbc.wowhead.com/quest=8482
TurnIn: [QT8486],Turnin,8486,,,,,,,https://tbc.wowhead.com/quest=8486
TurnIn: [QT9352],Turnin,9352,,,,,,,https://tbc.wowhead.com/quest=9352
Accept: [QA8884],Accept,8884,,,,,,,https://tbc.wowhead.com/quest=8884
