Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N1-6 Northshire],,,,,,,,,,,,,
[NX6-9 Elwynn Forest],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",Text,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,,,,
Accept: [QA783],Accept,783,A Threat Within,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=783,,,
TurnIn: [QT783],TurnIn,783,A Threat Within,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=783,,,
Accept: [QA7],Accept,7,Kobold Camp Cleanup,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=7,,,
Accept: [QA5261],Accept,5261,Eagan Peltskinner,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=5261,,,
TurnIn: [QT5261],TurnIn,5261,Eagan Peltskinner,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=5261,,,
Accept: [QA33],Accept,33,Wolves Across the Border,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=33,,,
Do [QC33- ][QC7],Text,33,Wolves Across the Border,Elwynn Forest,,,,,Do [QC33- ][QC7],https://classic.wowhead.com/quest=33,,,
TurnIn: [QT33],TurnIn,33,Wolves Across the Border,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=33,,,
"Sell your items at Brother Danil [G47.6, 41.6 Elwynn Forest].",Text,,,Elwynn Forest,,,,,"Sell your items at Brother Danil [G47.6, 41.6 Elwynn Forest].",https://classic.wowhead.com/quest=,,,
"[A Warlock,Mage] Buy 10 Water",Text,,,Elwynn Forest,,,,,"[A Warlock,Mage] Buy 10 Water",https://classic.wowhead.com/quest=,,,
TurnIn: [QT7],TurnIn,7,Kobold Camp Cleanup,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=7,,,
Accept: [QA15],Accept,15,Investigate Echo Ridge,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=15,,,
Accept: [QA3100][A Warrior],Accept,3100,Simple Letter,Elwynn Forest,,,,Warrior,,https://classic.wowhead.com/quest=3100,,,
Accept: [QA3101][A Paladin],Accept,3101,Consecrated Letter,Elwynn Forest,,,,Paladin,,https://classic.wowhead.com/quest=3101,,,
Accept: [QA3105][A Warlock],Accept,3105,Tainted Letter,Elwynn Forest,,,,Warlock,,https://classic.wowhead.com/quest=3105,,,
Accept: [QA3104][A Mage],Accept,3104,Glyphic Letter,Elwynn Forest,,,,Mage,,https://classic.wowhead.com/quest=3104,,,
Accept: [QA18],Accept,18,Brotherhood of Thieves,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=18,,,
Accept: [QA1598][A Warlock],Accept,1598,The Stolen Tome,Elwynn Forest,,,,Warlock,,https://classic.wowhead.com/quest=1598,,,
TurnIn: [QT3105][A Warlock],TurnIn,3105,Tainted Letter,Elwynn Forest,,,,Warlock,,https://classic.wowhead.com/quest=3105,,,
Do: [QC1598][A Warlock],Do,1598,The Stolen Tome,Elwynn Forest,,,,Warlock,,https://classic.wowhead.com/quest=1598,,,
Do: [QC18],Do,18,Brotherhood of Thieves,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=18,,,
TurnIn: [QT18],TurnIn,18,Brotherhood of Thieves,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=18,,,
Accept: [QA3903],Accept,3903,Milly Osworth,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=3903,,,
Accept: [QA6],Accept,6,Bounty on Garrick Padfoot,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=6,,,
"Sell your items at Brother Danil [G47.6, 41.6 Elwynn Forest].",Text,,,Elwynn Forest,,,,,"Sell your items at Brother Danil [G47.6, 41.6 Elwynn Forest].",https://classic.wowhead.com/quest=,,,
TurnIn: [QT3101][A Paladin],TurnIn,3101,Consecrated Letter,Elwynn Forest,,,,Paladin,,https://classic.wowhead.com/quest=3101,,,
TurnIn: [QT1598][A Warlock],TurnIn,1598,The Stolen Tome,Elwynn Forest,,,,Warlock,,https://classic.wowhead.com/quest=1598,,,
TurnIn: [QT3104][A Mage],TurnIn,3104,Glyphic Letter,Elwynn Forest,,,,Mage,,https://classic.wowhead.com/quest=3104,,,
TurnIn: [QT3100][A Warrior],TurnIn,3100,Simple Letter,Elwynn Forest,,,,Warrior,,https://classic.wowhead.com/quest=3100,,,
[T] Get your Level 4 skills at your trainer.,Learn,,,Elwynn Forest,,,4,,,https://classic.wowhead.com/quest=,,,
Do: [QC15],Do,15,Investigate Echo Ridge,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=15,,,
TurnIn: [QT3903],TurnIn,3903,Milly Osworth,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=3903,,,
Accept: [QA3904],Accept,3904,Milly's Harvest,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=3904,,,
Do [QC3904- ][QC6],Text,3904,Milly's Harvest,Elwynn Forest,,,,,Do [QC3904- ][QC6],https://classic.wowhead.com/quest=3904,,,
Grind Defias in this area till level [XP5 5],Grind,,,this area,,,5,,Defias in,https://classic.wowhead.com/quest=,,,
Use your [H] Hearthstone.,UseHearthstone,,,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT6],TurnIn,6,Bounty on Garrick Padfoot,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=6,,,
TurnIn: [QT15],TurnIn,15,Investigate Echo Ridge,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=15,,,
Accept: [QA21],Accept,21,Skirmish at Echo Ridge,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=21,,,
Do: [QC21],Do,21,Skirmish at Echo Ridge,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=21,,,
TurnIn: [QT3904],TurnIn,3904,Milly's Harvest,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=3904,,,
Accept: [QA3905],Accept,3905,Grape Manifest,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=3905,,,
TurnIn: [QT21],TurnIn,21,Skirmish at Echo Ridge,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=21,,,
Accept: [QA54],Accept,54,Report to Goldshire,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=54,,,
TurnIn: [QT3905],TurnIn,3905,Grape Manifest,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=3905,,,
Accept: [QA2158],Accept,2158,Rest and Relaxation,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=2158,,,
Thanks for using my guide. If it helped you and you "want to give back a little": There is a Paypal-Link on curseforge. Thanks <3,Text,,,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=,,,
