Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N21-22 Ashenvale],,,,,,,,,,,,,
[NX22-23 Duskwood],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,,,,
TurnIn: [QT3765],TurnIn,3765,The Corruption Abroad,Darkshore,,,,,,https://classic.wowhead.com/quest=3765,,,
TurnIn: [QT951],TurnIn,951,Mathystra Relics,Darkshore,,,,,,https://classic.wowhead.com/quest=951,,,
"ESCORT QUEST INCOMING,make sure all group members are on the same questprogress.",Text,,,Darkshore,,,,,"ESCORT QUEST INCOMING,make sure all group members are on the same questprogress.",https://classic.wowhead.com/quest=,,,
TurnIn: [QT993],TurnIn,993,A Lost Master,Darkshore,,,,,,https://classic.wowhead.com/quest=993,,,
Accept: [QA994],Accept,994,Escape Through Force,Darkshore,,,,,,https://classic.wowhead.com/quest=994,,,
Do: [QC994],Do,994,Escape Through Force,Darkshore,,,,,,https://classic.wowhead.com/quest=994,,,
TurnIn: [QT5713],TurnIn,5713,One Shot. One Kill.,Ashenvale,,,,,,https://classic.wowhead.com/quest=5713,,,
TurnIn: [QT967],TurnIn,967,The Tower of Althalaxx,Ashenvale,,,,,,https://classic.wowhead.com/quest=967,,,
Accept: [QA970],Accept,970,The Tower of Althalaxx,Ashenvale,,,,,,https://classic.wowhead.com/quest=970,,,
Accept: [QA1010],Accept,1010,Bathran's Hair,Ashenvale,,,,,,https://classic.wowhead.com/quest=1010,,,
Do: [QC970],Do,970,The Tower of Althalaxx,Ashenvale,,,,,,https://classic.wowhead.com/quest=970,,,
Do: [QC1010],Do,1010,Bathran's Hair,Ashenvale,,,,,,https://classic.wowhead.com/quest=1010,,,
TurnIn: [QT1010],TurnIn,1010,Bathran's Hair,Ashenvale,,,,,,https://classic.wowhead.com/quest=1010,,,
Accept: [QA1020],Accept,1020,Orendil's Cure,Ashenvale,,,,,,https://classic.wowhead.com/quest=1020,,,
TurnIn: [QT970],TurnIn,970,The Tower of Althalaxx,Ashenvale,,,,,,https://classic.wowhead.com/quest=970,,,
Accept: [QA973],Accept,973,The Tower of Althalaxx,Ashenvale,,,,,,https://classic.wowhead.com/quest=973,,,
TurnIn: [QT945],TurnIn,945,Therylune's Escape,,,,,,,https://classic.wowhead.com/quest=945,,,
"Get the [P] flightpath at: [G34.59,48.01Ashenvale]",Flightpath,,,Ashenvale,"34.59,48.01",,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA1008],Accept,1008,The Zoram Strand,Ashenvale,,,,,,https://classic.wowhead.com/quest=1008,,,
Accept: [QA1070],Accept,1070,On Guard in Stonetalon,Ashenvale,,,,,,https://classic.wowhead.com/quest=1070,,,
Accept: [QA991],Accept,991,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=991,,,
TurnIn: [QT1020],TurnIn,1020,Orendil's Cure,Ashenvale,,,,,,https://classic.wowhead.com/quest=1020,,,
Accept: [QA1033],Accept,1033,Elune's Tear,Ashenvale,,,,,,https://classic.wowhead.com/quest=1033,,,
TurnIn: [QT991],TurnIn,991,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=991,,,
Accept: [QA1023],Accept,1023,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1023,,,
Do: [QC1023],Do,1023,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1023,,,
Accept: [QA1007],Accept,1007,The Ancient Statuette,Ashenvale,,,,,,https://classic.wowhead.com/quest=1007,,,
