Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N23-24 Redridge Mountains],,,,,,,,,,,,,
[NX24-25 Ashenvale],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
Use your [H] Hearthstone.,UseHearthstone,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,,,
"Search for people to do the Elite quests with, they are NOT included in the guide, but they are:Tharil'zun,Shadow Magic & WANTED: Gath'llzogg",Text,,,,,,,,"Search for people to do the Elite quests with, they are NOT included in the guide, but they are:Tharil'zun,Shadow Magic & WANTED: Gath'llzogg",https://classic.wowhead.com/quest=,,,
TurnIn: [QT65],TurnIn,65,The Defias Brotherhood,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=65,,,
TurnIn: [QT386][O],TurnInOptional,386,What Comes Around...,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=386,,,
Accept: [QA180],Accept,180,Wanted: Lieutenant Fangore,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=180,,,
Accept: [QA150],Accept,150,Murloc Poachers,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=150,,,
TurnIn: [QT150],TurnIn,150,Murloc Poachers,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=150,,,
Accept: [QA127],Accept,127,Selling Fish,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=127,,,
TurnIn: [QT144],TurnIn,144,Messenger to Westfall,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=144,,,
Accept: [QA145],Accept,145,Messenger to Darkshire,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=145,,,
Accept: [QA91],Accept,91,Solomon's Law,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=91,,,
Accept: [QA126],Accept,126,Howling in the Hills,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=126,,,
Accept: [QA92],Accept,92,Redridge Goulash,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=92,,,
TurnIn: [QT92],TurnIn,92,Redridge Goulash,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=92,,,
Accept: [QA34],Accept,34,An Unwelcome Guest,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=34,,,
Do: [QC34],Do,34,An Unwelcome Guest,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=34,,,
TurnIn: [QT74],TurnIn,74,The Legend of Stalvan,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=74,,,
Accept: [QA75],Accept,75,The Legend of Stalvan,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=75,,,
Go upstairs and loot the Box,Text,,,Elwynn Forest,,,,,Go upstairs and loot the Box,https://classic.wowhead.com/quest=,,,
TurnIn: [QT75],TurnIn,75,The Legend of Stalvan,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=75,,,
Accept: [QA78],Accept,78,The Legend of Stalvan,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=78,,,
Accept: [QA94],Accept,94,A Watchful Eye,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=94,,,
Accept: [QA128],Accept,128,Blackrock Bounty,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=128,,,
TurnIn: [QT94],TurnIn,94,A Watchful Eye,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=94,,,
Do: [QC91],Do,91,Solomon's Law,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=91,,,
"Wanted: Lieutenant Fangore,Blackrock Bounty and Howling in the Hills are pretty hard quests solo. I usually skip them and grind 6.650XP instead. You can try them solo or find a group, if not grind the mentioned XP.",Text,,,,,,,,"Wanted: Lieutenant Fangore,Blackrock Bounty and Howling in the Hills are pretty hard quests solo. I usually skip them and grind 6.650XP instead. You can try them solo or find a group, if not grind the mentioned XP.",https://classic.wowhead.com/quest=,,,
Do: [QC180],Do,180,Wanted: Lieutenant Fangore,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=180,,,
"There is a Drop-Quest-Item Glowing Shadowhide Pendant. You have to turn it in in Elwynn Forest, wich I think is a waste of time for 1.400xp. I will NOT include it in this guide, do it if you want though.",Text,,,,,,,,"There is a Drop-Quest-Item Glowing Shadowhide Pendant. You have to turn it in in Elwynn Forest, wich I think is a waste of time for 1.400xp. I will NOT include it in this guide, do it if you want though.",https://classic.wowhead.com/quest=,,,
"The next area is pretty dangerous even for good players. Additionally you might wanna do the escort quest that is in the cave(follow the left side). I usually dont do it,so this guide skips it.",Text,,,,,,,,"The next area is pretty dangerous even for good players. Additionally you might wanna do the escort quest that is in the cave(follow the left side). I usually dont do it,so this guide skips it.",https://classic.wowhead.com/quest=,,,
Do: [QC128],Do,128,Blackrock Bounty,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=128,,,
"Yowler is pretty hard too, as he has 2-3 adds. Do it if you can, grind 2000xp if you dont",Text,,,,,,,,"Yowler is pretty hard too, as he has 2-3 adds. Do it if you can, grind 2000xp if you dont",https://classic.wowhead.com/quest=,,,
