Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N23-24 Stockades],,,,,,,,,,,,,
[NX23-24 Redridge Mountains],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
Accept: [QA387],Accept,387,Quell The Uprising,Stormwind City,,,,,,https://classic.wowhead.com/quest=387,,,
Accept: [QA391],Accept,391,The Stockade Riots,,,,,,,https://classic.wowhead.com/quest=391,,,
Accept: [QA388],Accept,388,The Color of Blood,Stormwind City,,,,,,https://classic.wowhead.com/quest=388,,,
Fly to [F Duskwood],Fly,,,Duskwood,,,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA377],Accept,377,Crime and Punishment,,,,,,,https://classic.wowhead.com/quest=377,,,
Fly to [F Redridge Mountains],Fly,,,Redridge Mountains,,,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA386],Accept,386,What Comes Around...,,,,,,,https://classic.wowhead.com/quest=386,,,
Do the dungeon,Text,,,,,,,,Do the dungeon,https://classic.wowhead.com/quest=,,,
Do: [QC387],Do,387,Quell The Uprising,,,,,,,https://classic.wowhead.com/quest=387,,,
Do: [QC391],Do,391,The Stockade Riots,,,,,,,https://classic.wowhead.com/quest=391,,,
Do: [QC388],Do,388,The Color of Blood,,,,,,,https://classic.wowhead.com/quest=388,,,
Do: [QC377],Do,377,Crime and Punishment,,,,,,,https://classic.wowhead.com/quest=377,,,
Do: [QC386],Do,386,What Comes Around...,,,,,,,https://classic.wowhead.com/quest=386,,,
TurnIn: [QT387],TurnIn,387,Quell The Uprising,,,,,,,https://classic.wowhead.com/quest=387,,,
TurnIn: [QT391],TurnIn,391,The Stockade Riots,,,,,,,https://classic.wowhead.com/quest=391,,,
Accept: [QA392],Accept,392,The Curious Visitor,Stormwind City,,,,,,https://classic.wowhead.com/quest=392,,,
TurnIn: [QT392],TurnIn,392,The Curious Visitor,Stormwind City,,,,,,https://classic.wowhead.com/quest=392,,,
Accept: [QA393],Accept,393,Shadow of the Past,Stormwind City,,,,,,https://classic.wowhead.com/quest=393,,,
TurnIn: [QT388],TurnIn,388,The Color of Blood,Stormwind City,,,,,,https://classic.wowhead.com/quest=388,,,
TurnIn: [QT393],TurnIn,393,Shadow of the Past,Stormwind City,,,,,,https://classic.wowhead.com/quest=393,,,
Accept: [QA350],Accept,350,Look to an Old Friend,Stormwind City,,,,,,https://classic.wowhead.com/quest=350,,,
TurnIn: [QT350],TurnIn,350,Look to an Old Friend,Stormwind City,,,,,,https://classic.wowhead.com/quest=350,,,
Accept: [QA2745],Accept,2745,Infiltrating the Castle,Stormwind City,,,,,,https://classic.wowhead.com/quest=2745,,,
TurnIn: [QT2745],TurnIn,2745,Infiltrating the Castle,Stormwind City,,,,,,https://classic.wowhead.com/quest=2745,,,
Accept: [QA2746],Accept,2746,Items of Some Consequence,Stormwind City,,,,,,https://classic.wowhead.com/quest=2746,,,
We will turn in the other 2 dungeons quests in the next guide.,Text,,,,,,,,We will turn in the other 2 dungeons quests in the next guide.,https://classic.wowhead.com/quest=,,,
Thanks for using my guide. If it helped you and you "want to give back a little": There is a Paypal-Link on curseforge. Thanks <3,,,,,,,,,,,,,
