Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N27-28 Duskwood],,,,,,,,,,,,,
[NX28-30 Ashenvale],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
Fly to [F Stormwind City],Fly,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=,,,
"[T] Get your Level 26 skills at your trainer.[A Warrior,Hunter,Rogue]",Learn,,,Stormwind City,,,26,"Warrior,Hunter,Rogue",,https://classic.wowhead.com/quest=,,,
Accept: [QA2923],Accept,2923,Tinkmaster Overspark,Stormwind City,,,,,,https://classic.wowhead.com/quest=2923,,,
"[T] Get your Level 26 skills at your trainer.[A Paladin,Priest,Druid,Warlock]",Learn,,,Stormwind City,,,26,"Paladin,Priest,Druid,Warlock",,https://classic.wowhead.com/quest=,,,
Accept: [QA335],Accept,335,A Noble Brew,Stormwind City,,,,,,https://classic.wowhead.com/quest=335,,,
[T] Get your Level 26 skills at your trainer.[A Mage],Learn,,,Stormwind City,,,26,Mage,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT1075],TurnIn,1075,A Scroll from Mauren,Stormwind City,,,,,,https://classic.wowhead.com/quest=1075,,,
TurnIn: [QT7791],TurnIn,7791,A Donation of Wool,Stormwind City,,,,,,https://classic.wowhead.com/quest=7791,,,
Fly to [F Duskwood],Fly,,,Duskwood,,,,,,https://classic.wowhead.com/quest=,,,
"Do: [QC335,1]",Do,"335,1",A Noble Brew,Duskwood,,,,,,"https://classic.wowhead.com/quest=335,1",,,
Buy Food&Water and repair.,Text,,,Duskwood,,,,,Buy Food&Water and repair.,https://classic.wowhead.com/quest=,,,
Accept: [QA57],Accept,57,The Night Watch,Duskwood,,,,,,https://classic.wowhead.com/quest=57,,,
Accept: [QA173],Accept,173,Worgen in the Woods,Duskwood,,,,,,https://classic.wowhead.com/quest=173,,,
Accept: [QA174],Accept,174,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=174,,,
TurnIn: [QT174],TurnIn,174,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=174,,,
Accept: [QA175],Accept,175,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=175,,,
TurnIn: [QT175],TurnIn,175,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=175,,,
Accept: [QA177],Accept,177,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=177,,,
Do: [QC177],Do,177,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=177,,,
"Run to [G65.0, 46.3Duskwood]",Run,,,Duskwood,"65.0, 46.3",,,,,https://classic.wowhead.com/quest=,,,
Do: [QC173],Do,173,Worgen in the Woods,Duskwood,,,,,,https://classic.wowhead.com/quest=173,,,
TurnIn: [QT173],TurnIn,173,Worgen in the Woods,Duskwood,,,,,,https://classic.wowhead.com/quest=173,,,
Accept: [QA221],Accept,221,Worgen in the Woods,Duskwood,,,,,,https://classic.wowhead.com/quest=221,,,
TurnIn: [QT177],TurnIn,177,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=177,,,
Accept: [QA181],Accept,181,Look To The Stars,Duskwood,,,,,,https://classic.wowhead.com/quest=181,,,
Do: [QC221],Do,221,Worgen in the Woods,Duskwood,,,,,,https://classic.wowhead.com/quest=221,,,
Grind the worgen at this farm till level [XP28 28],Grind,,,at this farm,,,28,,the worgen,https://classic.wowhead.com/quest=,,,
TurnIn: [QT95],TurnIn,95,Sven's Revenge,Duskwood,,,,,,https://classic.wowhead.com/quest=95,,,
Accept: [QA230],Accept,230,Sven's Camp,Duskwood,,,,,,https://classic.wowhead.com/quest=230,,,
TurnIn: [QT245],TurnIn,245,Eight-Legged Menaces,,,,,,,https://classic.wowhead.com/quest=245,,,
