Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N28-30 Ashenvale],,,,,,,,,,,,,
[NX30-31 Hillsbrad Foothills],,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
TurnIn: [QT270],Turnin,270,The Doomed Fleet,Wetlands,,,,,,https://classic.wowhead.com/quest=270,,,
Accept: [QA321],Accept,321,Lightforge Iron,Wetlands,,,,,,https://classic.wowhead.com/quest=321,,,
TurnIn: [QT321],Turnin,321,Lightforge Iron,Wetlands,,,,,,https://classic.wowhead.com/quest=321,,,
Accept: [QA324],Accept,324,The Lost Ingots,Wetlands,,,,,,https://classic.wowhead.com/quest=324,,,
Do: [QC324],Do,324,The Lost Ingots,Wetlands,,,,,,https://classic.wowhead.com/quest=324,,,
TurnIn: [QT324],Turnin,324,The Lost Ingots,Wetlands,,,,,,https://classic.wowhead.com/quest=324,,,
Accept: [QA322],Accept,322,Blessed Arm,Wetlands,,,,,,https://classic.wowhead.com/quest=322,,,
Take the boat to Auberdine.,Text,,,,,,,,Take the boat to Auberdine.,https://classic.wowhead.com/quest=,,,
Fly to [F Ashenvale],Fly,,,Ashenvale,,,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA1022],Accept,1022,The Howling Vale,Ashenvale,,,,,,https://classic.wowhead.com/quest=1022,,,
Accept: [QA1021],Accept,1021,Vile Satyr! Dryads in Danger!,Ashenvale,,,,,,https://classic.wowhead.com/quest=1021,,,
Accept: [QA4581],Accept,4581,Kayneth Stillwind,Ashenvale,,,,,,https://classic.wowhead.com/quest=4581,,,
Accept: [QA1035],Accept,1035,Fallen Sky Lake,Ashenvale,,,,,,https://classic.wowhead.com/quest=1035,,,
"Run to [G58.6, 55.3Ashenvale]",Run,,,Ashenvale,"58.6, 55.3",,,,,https://classic.wowhead.com/quest=,,,
Do: [QC1026],Do,1026,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1026,,,
"Run to [G54.3, 32.8Ashenvale]",Run,,,Ashenvale,"54.3, 32.8",,,,,https://classic.wowhead.com/quest=,,,
Grind the worgen till youre level[XP29+10000],Text,,,Ashenvale,,,,,Grind the worgen till youre level[XP29+10000],https://classic.wowhead.com/quest=,,,
"Do: [QC1022] Go through the cave at[G53,37.58Ashenvale] and loot the tome. (Careful,easy to overpull here,if the Rare it will be pretty hard. But it is doable even as a warrior(Retalition, Intimidating Shout+Bandage etc.).",Text,1022,The Howling Vale,Ashenvale,,,,,"Do: [QC1022] Go through the cave at[G53,37.58Ashenvale] and loot the tome. (Careful,easy to overpull here,if the Rare it will be pretty hard. But it is doable even as a warrior(Retalition, Intimidating Shout+Bandage etc.).",https://classic.wowhead.com/quest=1022,,,
"Run to [G60.4, 52.5Ashenvale]",Run,,,Ashenvale,"60.4, 52.5",,,,,https://classic.wowhead.com/quest=,,,
"Run to [G50.1, 48.4Ashenvale]",Run,,,Ashenvale,"50.1, 48.4",,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT1026],TurnIn,1026,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1026,,,
Accept: [QA1027],Accept,1027,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1027,,,
Do: [QC1027],Do,1027,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1027,,,
Do: [QC1035],Do,1035,Fallen Sky Lake,Ashenvale,,,,,,https://classic.wowhead.com/quest=1035,,,
TurnIn: [QT1027],TurnIn,1027,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1027,,,
Accept: [QA1028],Accept,1028,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1028,,,
TurnIn: [QT1028],TurnIn,1028,Raene's Cleansing,Ashenvale,,,,,,https://classic.wowhead.com/quest=1028,,,
"Run to [G64.4, 43.8Ashenvale]",Run,,,Ashenvale,"64.4, 43.8",,,,,https://classic.wowhead.com/quest=,,,
"Do: [QC1140,1]",Do,"1140,1",The Tower of Althalaxx,Ashenvale,,,,,,"https://classic.wowhead.com/quest=1140,1",,,
TurnIn: [QT1021],TurnIn,1021,Vile Satyr! Dryads in Danger!,Ashenvale,,,,,,https://classic.wowhead.com/quest=1021,,,
Accept: [QA1031],Accept,1031,The Branch of Cenarius,Ashenvale,,,,,,https://classic.wowhead.com/quest=1031,,,
"The next quest is not as hard as the worgen quest but you are level 29 and the mob is 32. I am able to do it as warrir without Retaliation,Bandage or healthpot. Just pool rage on the previous mob, eat up and kill it fast(I pull from the right through the tree.",Text,,,Ashenvale,,,,,"The next quest is not as hard as the worgen quest but you are level 29 and the mob is 32. I am able to do it as warrir without Retaliation,Bandage or healthpot. Just pool rage on the previous mob, eat up and kill it fast(I pull from the right through the tree.",https://classic.wowhead.com/quest=,,,
Do: [QC1031],Do,1031,The Branch of Cenarius,Ashenvale,,,,,,https://classic.wowhead.com/quest=1031,,,
"Do: [QC1140,2]",Do,"1140,2",The Tower of Althalaxx,Ashenvale,,,,,,"https://classic.wowhead.com/quest=1140,2",,,
Grind the worgen till youre level[XP29+30000],Text,,,,,,,,Grind the worgen till youre level[XP29+30000],https://classic.wowhead.com/quest=,,,
TurnIn: [QT4581],TurnIn,4581,Kayneth Stillwind,Ashenvale,,,,,,https://classic.wowhead.com/quest=4581,,,
"Get the [P] flightpath at: [G11.9,77.6Azshara]",Flightpath,,,Azshara,"11.9,77.6",,,,,https://classic.wowhead.com/quest=,,,
Fly to [F Astranaar],Fly,,,Astranaar,,,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT1035],TurnIn,1035,Fallen Sky Lake,Ashenvale,,,,,,https://classic.wowhead.com/quest=1035,,,
TurnIn: [QT1022],TurnIn,1022,The Howling Vale,Ashenvale,,,,,,https://classic.wowhead.com/quest=1022,,,
Accept: [QA1037],Accept,1037,Velinde Starsong,Ashenvale,,,,,,https://classic.wowhead.com/quest=1037,,,
TurnIn: [QT1031],TurnIn,1031,The Branch of Cenarius,Ashenvale,,,,,,https://classic.wowhead.com/quest=1031,,,
TurnIn: [QT1140],TurnIn,1140,The Tower of Althalaxx,Ashenvale,,,,,,https://classic.wowhead.com/quest=1140,,,
Fly to [F Rut'Theran],Fly,,,Rut'Theran,,,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA2925],Accept,2925,Klockmort's Essentials,Darnassus,,,,,,https://classic.wowhead.com/quest=2925,,,
TurnIn: [QT1037],TurnIn,1037,Velinde Starsong,Darnassus,,,,,,https://classic.wowhead.com/quest=1037,,,
Accept: [QA1038],Accept,1038,Velinde's Effects,Darnassus,,,,,,https://classic.wowhead.com/quest=1038,,,
Do: [QC1038],Do,1038,Velinde's Effects,Darnassus,,,,,,https://classic.wowhead.com/quest=1038,,,
TurnIn: [QT1038],TurnIn,1038,Velinde's Effects,Darnassus,,,,,,https://classic.wowhead.com/quest=1038,,,
Accept: [QA1039],Accept,1039,The Barrens Port,Darnassus,,,,,,https://classic.wowhead.com/quest=1039,,,
Use your [H] Hearthstone.,UseHearthstone,,,Auberdine,,,,,,https://classic.wowhead.com/quest=,,,
Accept: [QA290],Accept,290,Lifting the Curse,Wetlands,,,,,,https://classic.wowhead.com/quest=290,,,
Accept: [QA472],Accept,472,Fall of Dun Modr,Wetlands,,,,,,https://classic.wowhead.com/quest=472,,,
Do: [QC290],Do,290,Lifting the Curse,Wetlands,,,,,,https://classic.wowhead.com/quest=290,,,
TurnIn: [QT290],Turnin,290,Lifting the Curse,Wetlands,,,,,,https://classic.wowhead.com/quest=290,,,
Accept: [QA292],Accept,292,The Eye of Paleth,Wetlands,,,,,,https://classic.wowhead.com/quest=292,,,
TurnIn: [QT465],Turnin,465,Nek'rosh's Gambit,Wetlands,,,,,,https://classic.wowhead.com/quest=465,,,
"If you're in a group, do the follow up ELITE quest "Defeat Nek'rosh" otherwise skip it.",Text,,,Wetlands,,,,,"If you're in a group, do the follow up ELITE quest "Defeat Nek'rosh" otherwise skip it.",https://classic.wowhead.com/quest=,,,
Accept: [QA474][O],AcceptOptional,474,Defeat Nek'rosh,Wetlands,,,,,,https://classic.wowhead.com/quest=474,,,
Do(this is an optional quest!): [QC474],DoOptional,474,Defeat Nek'rosh,Wetlands,,,,,,https://classic.wowhead.com/quest=474,,,
