,Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
,[GA Alliance],,,,,,,,,,
,"[N38-39Dustwallow Marsh,STV]",,,,,,,,,,
,"[NX40-43Badlands,Uldaman]",,,,,,,,,,
"[1] = { str = "39-39 Stranglethorn Valley" },","[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"[2] = { str = "This guide was written by TUGs and is totally free, but if you want to support my work use:  https://www.paypal.me/Tugstv1337" },","This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"[3] = { str = "Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!" },","Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
"[4] = { str = "Accept: #ACCEPTThe Bloodsail Buccaneers#" },",Accept: [QA595],Accept,595,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=595
"[5] = { str = "Accept: #ACCEPTScaring Shaky#" },",Accept: [QA606],Accept,606,Scaring Shaky,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=606
"[6] = { str = "Set your [H] to Stranglethorn Vale at [G27,77Stranglethorn Vale]" },","Set your [H] to Stranglethorn Vale at [G27,77Stranglethorn Vale]",Hearthstone,,,Stranglethorn Vale,"27,77",,,,,https://classic.wowhead.com/quest=
"[7] = { str = "TurnIn: #TURNINThe Rumormonger# " },",TurnIn: [QT1115],Turnin,1115,The Rumormonger,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=1115
"[8] = { str = "Accept: #ACCEPTDream Dust in the Swamp#" },",Accept: [QA1116],Accept,1116,Dream Dust in the Swamp,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=1116
"[9] = { str = "Accept: #ACCEPTWater Elementals#" },",Accept: [QA601],Accept,601,Water Elementals,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=601
"[10] = { str = "Accept: #ACCEPTSome Assembly Required#" },",Accept: [QA577],Accept,577,Some Assembly Required,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=577
"[11] = { str = "TurnIn: #TURNINThe Bloodsail Buccaneers# " },",TurnIn: [QT595],Turnin,595,The Bloodsail Buccaneers,Stranglethorn Vale,,,,,,https://classic.wowhead.com/quest=595
