,Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
,[GA Alliance],,,,,,,,,,
,"[N40-43Badlands,Uldaman]",,,,,,,,,,
,"[NX41-44Tanaris,STV]",,,,,,,,,,
"[1] = { str = "40-40 Badlands" },","[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"[2] = { str = "This guide was written by TUGs and is totally free, but if you want to support my work use:  https://www.paypal.me/Tugstv1337" },","This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"[3] = { str = "Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!" },","Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
"[4] = { str = "TurnIn: #TURNINMalin's Request# " },",TurnIn: [QT697][O],TurnInOptional,697,Malin's Request,Stormwind City,,,,,,https://classic.wowhead.com/quest=697
"[5] = { str = "TurnIn: #TURNINThe Perenolde Tiara# " },",TurnIn: [QT543][O],TurnInOptional,543,The Perenolde Tiara,Stormwind City,,,,,,https://classic.wowhead.com/quest=543
"[6] = { str = "Fly to Loch Modan" },",Fly to [F Loch Modan],Fly,,,Loch Modan,,,,,,https://classic.wowhead.com/quest=
"[7] = { str = "Accept: #ACCEPTBadlands Reagent Run#" },",Accept: [QA2500],Accept,2500,Badlands Reagent Run,Loch Modan,,,,,,https://classic.wowhead.com/quest=2500
"[8] = { str = "TurnIn: #TURNINIronband Wants You!# " },",TurnIn: [QT707],TurnIn,707,Ironband Wants You!,Loch Modan,,,,,,https://classic.wowhead.com/quest=707
"[9] = { str = "Accept: #ACCEPTFind Agmond#" },",Accept: [QA738],Accept,738,Find Agmond,Loch Modan,,,,,,https://classic.wowhead.com/quest=738
"[10] = { str = "Kill all Vultures & wolves from now on" },",Kill all Vultures & wolves from now on,Text,,,Badlands,,,,,Kill all Vultures & wolves from now on,https://classic.wowhead.com/quest=
"[11] = { str = "Accept: #ACCEPTA Dwarf and His Tools#" },",Accept: [QA719],Accept,719,A Dwarf and His Tools,Badlands,,,,,,https://classic.wowhead.com/quest=719
"[12] = { str = "Accept: #ACCEPTMirages#" },",Accept: [QA718],Accept,718,Mirages,Badlands,,,,,,https://classic.wowhead.com/quest=718
"[13] = { str = "TurnIn: #TURNINMartek the Exiled# " },",TurnIn: [QT1106],TurnIn,1106,Martek the Exiled,Badlands,,,,,,https://classic.wowhead.com/quest=1106
"[14] = { str = "Accept: #ACCEPTIndurium#" },",Accept: [QA1108],Accept,1108,Indurium,Badlands,,,,,,https://classic.wowhead.com/quest=1108
"[15] = { str = "Accept: #ACCEPTBarbecued Buzzard Wings#" },",Accept: [QA703],Accept,703,Barbecued Buzzard Wings,Badlands,,,,,,https://classic.wowhead.com/quest=703
"[16] = { str = "Accept: #ACCEPTStudy of the Elements: Rock#" },",Accept: [QA710],Accept,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710
"[17] = { str = "DoQuest: #DOQUESTStudy of the Elements: Rock# " },",Do: [QC710],Do,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710
"[18] = { str = "Grind on the elementals for 6-10 bars" },",Grind on the elementals for 6-10 bars,Text,,,Badlands,,,,,Grind on the elementals for 6-10 bars,https://classic.wowhead.com/quest=
"[19] = { str = "TurnIn: #TURNINStudy of the Elements: Rock# " },",TurnIn: [QT710],TurnIn,710,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=710
"[20] = { str = "Accept: #ACCEPTStudy of the Elements: Rock#" },",Accept: [QA711],Accept,711,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=711
"[21] = { str = "DoQuest: #DOQUESTStudy of the Elements: Rock# " },",Do: [QC711],Do,711,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=711
"[22] = { str = "TurnIn: #TURNINStudy of the Elements: Rock# " },",TurnIn: [QT711],TurnIn,711,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=711
"[23] = { str = "Accept: #ACCEPTStudy of the Elements: Rock#" },",Accept: [QA712],Accept,712,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=712
"[24] = { str = "DoQuest: #DOQUESTMirages# " },",Do: [QC718],Do,718,Mirages,Badlands,,,,,,https://classic.wowhead.com/quest=718
"[25] = { str = "DoQuest: #DOQUESTA Dwarf and His Tools# " },",Do: [QC719],Do,719,A Dwarf and His Tools,Badlands,,,,,,https://classic.wowhead.com/quest=719
"[26] = { str = "Accept: #ACCEPTA Sign of Hope#" },",Accept: [QA720],Accept,720,A Sign of Hope,Badlands,,,,,,https://classic.wowhead.com/quest=720
"[27] = { str = "TurnIn: #TURNINA Dwarf and His Tools# " },",TurnIn: [QT719],TurnIn,719,A Dwarf and His Tools,Badlands,,,,,,https://classic.wowhead.com/quest=719
"[28] = { str = "TurnIn: #TURNINA Sign of Hope# " },",TurnIn: [QT720],TurnIn,720,A Sign of Hope,Badlands,,,,,,https://classic.wowhead.com/quest=720
"[29] = { str = "TurnIn: #TURNINMirages# " },",TurnIn: [QT718],TurnIn,718,Mirages,Badlands,,,,,,https://classic.wowhead.com/quest=718
"[30] = { str = "Accept: #ACCEPTScrounging#" },",Accept: [QA733],Accept,733,Scrounging,Badlands,,,,,,https://classic.wowhead.com/quest=733
"[31] = { str = "Farm more if youre not [XP40] yet" },",Farm more if youre not [XP40] yet,Text,,,Badlands,,,,,Farm more if youre not [XP40] yet,https://classic.wowhead.com/quest=
"[32] = { str = "Accept: #ACCEPTTremors of the Earth#" },",Accept: [QA732],Accept,732,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=732
"[33] = { str = "Keep an eye out for Boss Tho'grun" },",Keep an eye out for Boss Tho'grun,Text,,,Badlands,,,,,Keep an eye out for Boss Tho'grun,https://classic.wowhead.com/quest=
"[34] = { str = "TurnIn: #TURNINFind Agmond# " },",TurnIn: [QT738],TurnIn,738,Find Agmond,Badlands,,,,,,https://classic.wowhead.com/quest=738
"[35] = { str = "Accept: #ACCEPTMurdaloc#" },",Accept: [QA739],Accept,739,Murdaloc,Badlands,,,,,,https://classic.wowhead.com/quest=739
"[36] = { str = "DoQuest: #DOQUESTMurdaloc# " },",Do: [QC739],Do,739,Murdaloc,Badlands,,,,,,https://classic.wowhead.com/quest=739
"[37] = { str = "DoQuest: #DOQUESTIndurium# " },",Do: [QC1108],Do,1108,Indurium,Badlands,,,,,,https://classic.wowhead.com/quest=1108
"[38] = { str = "The next quest can be hard for melees, do it later if necessary" },","The next quest can be hard for melees, do it later if necessary",Text,,,Badlands,,,,,"The next quest can be hard for melees, do it later if necessary",https://classic.wowhead.com/quest=
"[39] = { str = "DoQuest: #DOQUESTStudy of the Elements: Rock# " },",Do: [QC712],Do,712,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=712
"[40] = { str = "DoQuest: #DOQUESTTremors of the Earth# " },",Do: [QC732],Do,732,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=732
"[41] = { str = "DoQuest: #DOQUESTScrounging# " },",Do: [QC733],Do,733,Scrounging,Badlands,,,,,,https://classic.wowhead.com/quest=733
"[42] = { str = "TurnIn: #TURNINStudy of the Elements: Rock# " },",TurnIn: [QT712],TurnIn,712,Study of the Elements: Rock,Badlands,,,,,,https://classic.wowhead.com/quest=712
"[43] = { str = "Grind on the elementals for 6-10 bars" },",Grind on the elementals for 6-10 bars,Text,,,Badlands,,,,,Grind on the elementals for 6-10 bars,https://classic.wowhead.com/quest=
"[44] = { str = "DoQuest: #DOQUESTBadlands Reagent Run# " },",Do: [QC2500],Do,2500,Badlands Reagent Run,Badlands,,,,,,https://classic.wowhead.com/quest=2500
"[45] = { str = "TurnIn: #TURNINBarbecued Buzzard Wings# " },",TurnIn: [QT703],TurnIn,703,Barbecued Buzzard Wings,Badlands,,,,,,https://classic.wowhead.com/quest=703
"[46] = { str = "TurnIn: #TURNINIndurium# " },",TurnIn: [QT1108],TurnIn,1108,Indurium,Badlands,,,,,,https://classic.wowhead.com/quest=1108
"[47] = { str = "Accept: #ACCEPTNews for Fizzle#" },",Accept: [QA1137],Accept,1137,News for Fizzle,Badlands,,,,,,https://classic.wowhead.com/quest=1137
"[48] = { str = "TurnIn: #TURNINTremors of the Earth# " },",TurnIn: [QT732],TurnIn,732,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=732
"[49] = { str = "TurnIn: #TURNINScrounging# " },",TurnIn: [QT733],TurnIn,733,Scrounging,Badlands,,,,,,https://classic.wowhead.com/quest=733
"[50] = { str = "TurnIn: #TURNINMurdaloc# " },",TurnIn: [QT739],TurnIn,739,Murdaloc,Badlands,,,,,,https://classic.wowhead.com/quest=739
"[51] = { str = "TurnIn: #TURNINBadlands Reagent Run# " },",TurnIn: [QT2500],TurnIn,2500,Badlands Reagent Run,Badlands,,,,,,https://classic.wowhead.com/quest=2500
"[52] = { str = "If you dont intent to do Uldaman, Grind till 41 and skip to the next guide after" },","If you dont intent to do Uldaman, Grind till 41 and skip to the next guide after",Text,,,Badlands,,,,,"If you dont intent to do Uldaman, Grind till 41 and skip to the next guide after",https://classic.wowhead.com/quest=
