,Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
,[GA Alliance],,,,,,,,,,
,"[N41-44Tanaris,STV]",,,,,,,,,,
,[NX44-45Feralas],,,,,,,,,,
"[1] = { str = "41-42 Swamp of Sorrows" },","[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"[2] = { str = "This guide was written by TUGs and is totally free, but if you want to support my work use:  https://www.paypal.me/Tugstv1337" },","This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"[3] = { str = "Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!" },","Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",Text,,,,,,,,,
"[4] = { str = "Fly to Stormwind City" },",Fly to [F Stormwind City],Fly,,,Stormwind City,,,,,,https://classic.wowhead.com/quest=
"[5] = { str = "Accept: #ACCEPTIn Search of The Temple#" },",Accept: [QA1448],Accept,1448,In Search of The Temple,Stormwind City,,,,,,https://classic.wowhead.com/quest=1448
"[6] = { str = "Accept: #ACCEPTVital Supplies#" },",Accept: [QA1477],Accept,1477,Vital Supplies,Stormwind City,,,,,,https://classic.wowhead.com/quest=1477
"[7] = { str = "Fly to Duskwood" },",Fly to [F Duskwood],Fly,,,Duskwood,,,,,,https://classic.wowhead.com/quest=
"[8] = { str = "TurnIn: #TURNINVital Supplies# " },",TurnIn: [QT1477],TurnIn,1477,Vital Supplies,Duskwood,,,,,,https://classic.wowhead.com/quest=1477
"[9] = { str = "Accept: #ACCEPTEncroaching Wildlife#" },",Accept: [QA1396],Accept,1396,Encroaching Wildlife,Duskwood,,,,,,https://classic.wowhead.com/quest=1396
"[10] = { str = "DoQuest: #DOQUESTDream Dust in the Swamp# " },",Do: [QC1116],Do,1116,Dream Dust in the Swamp,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1116
"[11] = { str = "DoQuest: #DOQUESTEncroaching Wildlife# " },",Do: [QC1396],Do,1396,Encroaching Wildlife,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1396
"[12] = { str = "TurnIn: #TURNINEncroaching Wildlife# " },",TurnIn: [QT1396],TurnIn,1396,Encroaching Wildlife,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1396
"[13] = { str = "Accept: #ACCEPTThe Lost Caravan#" },",Accept: [QA1421],Accept,1421,The Lost Caravan,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1421
"[14] = { str = "Kill Noboru the Cudgel to get Noboru's Cudgel. This is a grey item,but if you rightclick it, it starts a quest. Its only an OPTIONAL quest though" },","Kill Noboru the Cudgel to get Noboru's Cudgel. This is a grey item,but if you rightclick it, it starts a quest. Its only an OPTIONAL quest though",Text,,,Swamp of Sorrows,,,,,"Kill Noboru the Cudgel to get Noboru's Cudgel. This is a grey item,but if you rightclick it, it starts a quest. Its only an OPTIONAL quest though",https://classic.wowhead.com/quest=
"[15] = { str = "Accept: #ACCEPTNoboru the Cudgel#" },",Accept: [QA1392],Accept,1392,Noboru the Cudgel,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1392
"[16] = { str = "TurnIn: #TURNINNoboru the Cudgel# " },",TurnIn: [QT1392],TurnIn,1392,Noboru the Cudgel,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1392
"[17] = { str = "Accept: #ACCEPTDraenethyst Crystals#" },",Accept: [QA1389],Accept,1389,Draenethyst Crystals,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1389
"[18] = { str = "DoQuest: #DOQUESTDraenethyst Crystals# " },",Do: [QC1389],Do,1389,Draenethyst Crystals,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1389
"[19] = { str = "DoQuest: #DOQUESTOngeku# " },",Do: [QC1373],Do,1373,Ongeku,Swamp of Sorrows,,,,,,https://classic.wowhead.com/quest=1373
