Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
[N47-49Searing Gorge],,,,,,,,,,
[NX49-51Un'Goro],,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Accept: [QA706][O],AcceptOptional,706,Fiery Blaze Enchantments,Badlands,,,,,,https://classic.wowhead.com/quest=706
Accept: [QA717][O],AcceptOptional,717,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=717
"[O] You will get Fiery Blaze Enchantments along this quest usually,if not, abandon it.",Text,,,Badlands,,,,,"[O] You will get Fiery Blaze Enchantments along this quest usually,if not, abandon it.",https://classic.wowhead.com/quest=
(Whenever you can)Do: [QC717][O],DoOptional,717,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=717
TurnIn: [QT779][O],TurnInOptional,779,Seal of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=779
TurnIn: [QT717][O],TurnInOptional,717,Tremors of the Earth,Badlands,,,,,,https://classic.wowhead.com/quest=717
TurnIn: [QT706][O],TurnInOptional,706,Fiery Blaze Enchantments,Badlands,,,,,,https://classic.wowhead.com/quest=706
Accept: [QA4449],Accept,4449,Caught!,Searing Gorge,,,,,,https://classic.wowhead.com/quest=4449
Do: [QC4449],Do,4449,Caught!,Searing Gorge,,,,,,https://classic.wowhead.com/quest=4449
"[O]Allthough this is optional,I highly recommend doing this,great XP! Kill Margol the Rager at [G 73.2,76.6]",Text,,,Searing Gorge,,,,,"[O]Allthough this is optional,I highly recommend doing this,great XP! Kill Margol the Rager at [G 73.2,76.6]",https://classic.wowhead.com/quest=
Accept: [QA3181],Accept,3181,The Horn of the Beast,Searing Gorge,,,,,,https://classic.wowhead.com/quest=3181
TurnIn: [QT4449],TurnIn,4449,Caught!,Searing Gorge,,,,,,https://classic.wowhead.com/quest=4449
Accept: [QA4450],Accept,4450,Ledger from Tanaris,Searing Gorge,,,,,,https://classic.wowhead.com/quest=4450
"Do: [QC4450,1]",Do,"4450,1",Ledger from Tanaris,Searing Gorge,,,,,,"https://classic.wowhead.com/quest=4450,1"
Accept: [QA3367],Accept,3367,Suntara Stones,Searing Gorge,,,,,,https://classic.wowhead.com/quest=3367
