Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
[N52-53Felwood],,,,,,,,,,
"[NX55-56BS,WPL]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Fly to [F Feralas],Fly,,,Feralas,,,,,,https://classic.wowhead.com/quest=
Accept: [QA7733],Accept,7733,Improved Quality,Feralas,,,,,,https://classic.wowhead.com/quest=7733
Accept: [QA2879],Accept,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879
TurnIn: [QT2943],TurnIn,2943,Return to Troyas,Feralas,,,,,,https://classic.wowhead.com/quest=2943
TurnIn: [QT4142],TurnIn,4142,A Visit to Gregan,Feralas,,,,,,https://classic.wowhead.com/quest=4142
Accept: [QA2844],Accept,2844,The Giant Guardian,Feralas,,,,,,https://classic.wowhead.com/quest=2844
Do: [QC3909],Do,3909,The Videre Elixir,Feralas,,,,,,https://classic.wowhead.com/quest=3909
You can actually trick-jump in the back.,Text,,,Feralas,,,,,You can actually trick-jump in the back.,https://classic.wowhead.com/quest=
Do: [QC2879],Do,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879
Do: [QC2879],Do,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879
TurnIn: [QT2844],TurnIn,2844,The Giant Guardian,Feralas,,,,,,https://classic.wowhead.com/quest=2844
"The follow quest is a really annoying escort, I skip it usually.",Text,,,Feralas,,,,,"The follow quest is a really annoying escort, I skip it usually.",https://classic.wowhead.com/quest=
Do: [QC2879],Do,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879
Use the Stave in your Inventory,Text,2879,The Stave of Equinex,Feralas,,,,,Use the Stave in your Inventory,https://classic.wowhead.com/quest=2879
TurnIn: [QT2879],TurnIn,2879,The Stave of Equinex,Feralas,,,,,,https://classic.wowhead.com/quest=2879
