Name,Action,ID,QuestName,Location,Coords,XP,Level,Class,Text,WowHead
[GA Alliance],,,,,,,,,,
[N52-53Felwood],,,,,,,,,,
"[NX55-56BS,WPL]",,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,
Fly to [F Winterspring],Fly,,,Winterspring,,,,,,https://classic.wowhead.com/quest=
Do: [QC5082],Do,5082,Threat of the Winterfall,Winterspring,,,,,,https://classic.wowhead.com/quest=5082
Do: [QC6241],Do,6241,Winterfall Activity,Winterspring,,,,,,https://classic.wowhead.com/quest=6241
Farm on the furbolgs to the north till [XP54],Text,,,Winterspring,,,,,Farm on the furbolgs to the north till [XP54],https://classic.wowhead.com/quest=
Do: [QC5082],Do,5082,Threat of the Winterfall,Winterspring,,,,,,https://classic.wowhead.com/quest=5082
Do: [QC6241],Do,6241,Winterfall Activity,Winterspring,,,,,,https://classic.wowhead.com/quest=6241
Do: [QC5082],Do,5082,Threat of the Winterfall,Winterspring,,,,,,https://classic.wowhead.com/quest=5082
Accept: [QA5083],Accept,5083,Winterfall Firewater,Winterspring,,,,,,https://classic.wowhead.com/quest=5083
TurnIn: [QT5082],TurnIn,5082,Threat of the Winterfall,Winterspring,,,,,,https://classic.wowhead.com/quest=5082
TurnIn: [QT5083],TurnIn,5083,Winterfall Firewater,Winterspring,,,,,,https://classic.wowhead.com/quest=5083
TurnIn: [QT980],TurnIn,980,The New Springs,Winterspring,,,,,,https://classic.wowhead.com/quest=980
Accept: [QA5084],Accept,5084,Falling to Corruption,Winterspring,,,,,,https://classic.wowhead.com/quest=5084
Accept: [QA4842],Accept,4842,Strange Sources,Winterspring,,,,,,https://classic.wowhead.com/quest=4842
Do: [QC978],Do,978,Moontouched Wildkin,Winterspring,,,,,,https://classic.wowhead.com/quest=978
TurnIn: [QT6241],TurnIn,6241,Winterfall Activity,Winterspring,,,,,,https://classic.wowhead.com/quest=6241
TurnIn: [QT5084],TurnIn,5084,Falling to Corruption,Felwood,,,,,,https://classic.wowhead.com/quest=5084
