Name,Action,ID,QuestName,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,,
[N6-9 Elwynn Forest],,,,,,,,,,,,,
"[NX9-11 Dun Morogh, Loch Modan]",,,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,,
Accept: [QA60],Accept,60,Kobold Candles,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=60,,,
"Set your [S] to Elwynn Forest at [G43.8,65.8Elwynn Forest]",Hearthstone,,,Elwynn Forest,"43.8,65.8",,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT2158],TurnIn,2158,Rest and Relaxation,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=2158,,,
TurnIn: [QT54],TurnIn,54,Report to Goldshire,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=54,,,
Accept: [QA62],Accept,62,The Fargodeep Mine,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=62,,,
Accept: [QA47],Accept,47,Gold Dust Exchange,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=47,,,
Kill all Boars(especially good on the fields you will go to) for 4x Chunk of Boar Meat,Text,,,Elwynn Forest,,,,,Kill all Boars(especially good on the fields you will go to) for 4x Chunk of Boar Meat,https://classic.wowhead.com/quest=,,,
Accept: [QA106],Accept,106,Young Lovers,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=106,,,
"Well be crossing the Kobold mine 4 times now->Kill 2-3 Kobolds each time you do, to get some quest items already.",Text,,,,,,,,"Well be crossing the Kobold mine 4 times now->Kill 2-3 Kobolds each time you do, to get some quest items already.",https://classic.wowhead.com/quest=,,,
Accept: [QA88],Accept,88,Princess Must Die!,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=88,,,
Accept: [QA85],Accept,85,Lost Necklace,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=85,,,
TurnIn: [QT106],TurnIn,106,Young Lovers,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=106,,,
Accept: [QA111],Accept,111,Speak with Gramma,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=111,,,
TurnIn: [QT111],TurnIn,111,Speak with Gramma,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=111,,,
Accept: [QA107],Accept,107,Note to William,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=107,,,
TurnIn: [QT85],TurnIn,85,Lost Necklace,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=85,,,
Accept: [QA86],Accept,86,Pie for Billy,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=86,,,
TurnIn: [QT86],TurnIn,86,Pie for Billy,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=86,,,
Accept: [QA84],Accept,84,Back to Billy,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=84,,,
TurnIn: [QT84],TurnIn,84,Back to Billy,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=84,,,
Accept: [QA87],Accept,87,Goldtooth,Elwynn Forest,,,,,,https://classic.wowhead.com/quest=87,,,
Do [QC62- ][QC47- ][QC60- ][QC87],Text,62,The Fargodeep Mine,Elwynn Forest,,,,,Do [QC62- ][QC47- ][QC60- ][QC87],https://classic.wowhead.com/quest=62,,,
Die and rezz at Ghosthealer,Text,,,,,,,,Die and rezz at Ghosthealer,https://classic.wowhead.com/quest=,,,
