Name,Action,ID,Location,Coords,XP,Level,"Class,Rep",Text,WowHead,ItemID,ItemName,ItemAmount
[GA Alliance],,,,,,,,,,,,
[N6-9 Dwarf&Gnome],,,,,,,,,,,,
"[NX9-11 Dun Morogh, Loch Modan]",,,,,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,,,,
"Every Level you should grind 2-5 experience bars, this will make sure that this guide works properly!",,,,,,,,,,,,
"Go through the tunnel, afterwards kill EVERY boar on your way to the tavern!",Text,,,,,,,"Go through the tunnel, afterwards kill EVERY boar on your way to the tavern!",https://classic.wowhead.com/quest=,,,
TurnIn: [QT420],TurnIn,420,,,,,,,https://classic.wowhead.com/quest=420,,,
"Set your [S] to Dun Morogh at [G47.4,52.5Dun Morogh]",Hearthstone,,Dun Morogh,"47.4,52.5",,,,,https://classic.wowhead.com/quest=,,,
TurnIn: [QT2160],TurnIn,2160,,,,,,,https://classic.wowhead.com/quest=2160,,,
Accept: [QA400],Accept,400,Dun Morogh,,,,,,https://classic.wowhead.com/quest=400,,,
Accept: [QA317],Accept,317,Dun Morogh,,,,,,https://classic.wowhead.com/quest=317,,,
Accept: [QA313],Accept,313,Dun Morogh,,,,,,https://classic.wowhead.com/quest=313,,,
Accept: [QA5541],Accept,5541,Dun Morogh,,,,,,https://classic.wowhead.com/quest=5541,,,
TurnIn: [QT400],TurnIn,400,Dun Morogh,,,,,,https://classic.wowhead.com/quest=400,,,
"Stocking Jetsteam is your NR 1 Priority now, GO OUT OF YOUR WAY to kill bears and boars!",Text,,,,,,,"Stocking Jetsteam is your NR 1 Priority now, GO OUT OF YOUR WAY to kill bears and boars!",https://classic.wowhead.com/quest=,,,
Do: [QC313],Do,313,Dun Morogh,,,,,,https://classic.wowhead.com/quest=313,,,
Grind  the yeti cave till level [XP7 7],Grind,,the yeti cave,,,7,,,https://classic.wowhead.com/quest=,,,
Do: [QC5541],Do,5541,,,,,,,https://classic.wowhead.com/quest=5541,,,
Do: [QC317],Do,317,Dun Morogh,,,,,,https://classic.wowhead.com/quest=317,,,
TurnIn: [QT5541],TurnIn,5541,Dun Morogh,,,,,,https://classic.wowhead.com/quest=5541,,,
"Buy: [CI2509,1 Ornate Blunderbuss] [A Hunter]",Buy,,,,,,Hunter,,https://classic.wowhead.com/quest=,2509,Ornate Blunderbuss,1
"Collect: [CI2886,6 Crag Boar Rib] ",Collect,,,,,,,,https://classic.wowhead.com/quest=,2886,Crag Boar Rib,6
Accept: [QA287],Accept,287,Dun Morogh,,,,,,https://classic.wowhead.com/quest=287,,,
Accept: [QA384],Accept,384,Dun Morogh,,,,,,https://classic.wowhead.com/quest=384,,,
"Buy: [CI2894,1 Rhapsody Malt] from Innkeeper Belm",Buy,,,,,,,from Innkeeper Belm,https://classic.wowhead.com/quest=,2894,Rhapsody Malt,1
TurnIn: [QT384],TurnIn,384,,,,,,,https://classic.wowhead.com/quest=384,,,
TurnIn: [QT317],TurnIn,317,Dun Morogh,,,,,,https://classic.wowhead.com/quest=317,,,
Accept: [QA318],Accept,318,Dun Morogh,,,,,,https://classic.wowhead.com/quest=318,,,
TurnIn: [QT313],TurnIn,313,Dun Morogh,,,,,,https://classic.wowhead.com/quest=313,,,
Accept: [QA312],Accept,312,Dun Morogh,,,,,,https://classic.wowhead.com/quest=312,,,
For the next part you do NOT need to kill the yeti. Wait until he leaves - this might take up to 5minutes- the cave(if he is in there) and then loot the chest and run out immediately!,Text,,,,,,,For the next part you do NOT need to kill the yeti. Wait until he leaves - this might take up to 5minutes- the cave(if he is in there) and then loot the chest and run out immediately!,https://classic.wowhead.com/quest=,,,
Do: [QC312],Do,312,Dun Morogh,,,,,,https://classic.wowhead.com/quest=312,,,
TurnIn: [QT312],TurnIn,312,Dun Morogh,,,,,,https://classic.wowhead.com/quest=312,,,
TurnIn: [QT318],TurnIn,318,Dun Morogh,,,,,,https://classic.wowhead.com/quest=318,,,
Accept: [QA319],Accept,319,Dun Morogh,,,,,,https://classic.wowhead.com/quest=319,,,
Accept: [QA310],Accept,310,Dun Morogh,,,,,,https://classic.wowhead.com/quest=310,,,
Do: [QC319],Do,319,Dun Morogh,,,,,,https://classic.wowhead.com/quest=319,,,
