Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N61-62 Hellfire Peninsula Part II],,,,,,,,,
[NX62-63Zangarmarsh],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,#REF!,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,#REF!,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
Do: [QC9361],Do,9361,,,,,,,https://classic.wowhead.com/quest=9361
Do: [QC9351],Do,9351,,,,,,,https://classic.wowhead.com/quest=9351
Do: [QC10057],Do,10057,,,,,,,https://classic.wowhead.com/quest=10057
TurnIn: [QT9361],TurnIn,9361,,,,,,,https://classic.wowhead.com/quest=9361
Accept: [QA9356],Accept,9356,,,,,,,https://classic.wowhead.com/quest=9356
Use your [H] Hearthstone.,UseHearthstone,,,,,,,,https://classic.wowhead.com/quest=
TurnIn: [QT9430],TurnIn,9430,,,,,,,https://classic.wowhead.com/quest=9430
Accept: [QA9545],Accept,9545,,,,,,,https://classic.wowhead.com/quest=9545
Accept: [QA9383],Accept,9383,,,,,,,https://classic.wowhead.com/quest=9383
TurnIn: [QT9398],TurnIn,9398,,,,,,,https://classic.wowhead.com/quest=9398
TurnIn: [QT9399],TurnIn,9399,,,,,,,https://classic.wowhead.com/quest=9399
"Run to [G26,37Hellfire Peninsula]",Run,,Hellfire Peninsula,"26,37",,,,,https://classic.wowhead.com/quest=
Use the Seers Relic,Text,,,,,,,Use the Seers Relic,https://classic.wowhead.com/quest=
"Run to [G40,31Hellfire Peninsula]",Run,,Hellfire Peninsula,"40,31",,,,,https://classic.wowhead.com/quest=
Use the cleansing vial and Kill the Mob right after.,Text,,,,,,,Use the cleansing vial and Kill the Mob right after.,https://classic.wowhead.com/quest=
Accept: [QA10236],Accept,10236,,,,,,,https://classic.wowhead.com/quest=10236
Do: [QC10236],Do,10236,,,,,,,https://classic.wowhead.com/quest=10236
