Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N70c Howling Fjord - Alliance],,,,,,,,,
[NX70d Howling Fjord - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
"Do: [QC11484,1]",Do,"11484,1",,,,,,,"https://wotlk.wowhead.com/quest=11484,1"
Do: [QC11465],Do,11465,,,,,,,https://wotlk.wowhead.com/quest=11465
TurnIn: [QT11430],TurnIn,11430,,,,,,,https://wotlk.wowhead.com/quest=11430
Accept: [QA11421],Accept,11421,,,,,,,https://wotlk.wowhead.com/quest=11421
"Do: [QC11483,2]",Do,"11483,2",,,,,,,"https://wotlk.wowhead.com/quest=11483,2"
"Do: [QC11483,1]",Do,"11483,1",,,,,,,"https://wotlk.wowhead.com/quest=11483,1"
Do: [QC11421],Do,11421,,,,,,,https://wotlk.wowhead.com/quest=11421
TurnIn: [QT11421],TurnIn,11421,,,,,,,https://wotlk.wowhead.com/quest=11421
Accept: [QA11436],Accept,11436,,,,,,,https://wotlk.wowhead.com/quest=11436
"Do: [QC11484,2]",Do,"11484,2",,,,,,,"https://wotlk.wowhead.com/quest=11484,2"
"Run to [G65, 57Howling Fjord]",Run,,Howling Fjord,"65, 57",,,,,https://wotlk.wowhead.com/quest=
Do: [QC11436],Do,11436,,,,,,,https://wotlk.wowhead.com/quest=11436
TurnIn: [QT11344],TurnIn,11344,,,,,,,https://wotlk.wowhead.com/quest=11344
TurnIn: [QT11436],TurnIn,11436,,,,,,,https://wotlk.wowhead.com/quest=11436
"Run to [G60.8, 61.6Howling Fjord]",Run,,Howling Fjord,"60.8, 61.6",,,,,https://wotlk.wowhead.com/quest=
Talk to McGoyver. Select "Walt sent me to pick up some dark iron ingots" and then select "Yarp",Text,,,,,,,Talk to McGoyver. Select "Walt sent me to pick up some dark iron ingots" and then select "Yarp",https://wotlk.wowhead.com/quest=
TurnIn: [QT11465],TurnIn,11465,,,,,,,https://wotlk.wowhead.com/quest=11465
Accept: [QA11468],Accept,11468,,,,,,,https://wotlk.wowhead.com/quest=11468
TurnIn: [QT11483],TurnIn,11483,,,,,,,https://wotlk.wowhead.com/quest=11483
TurnIn: [QT11484],TurnIn,11484,,,,,,,https://wotlk.wowhead.com/quest=11484
Accept: [QA11485],Accept,11485,,,,,,,https://wotlk.wowhead.com/quest=11485
Do: [QC11485],Do,11485,,,,,,,https://wotlk.wowhead.com/quest=11485
TurnIn: [QT11485],TurnIn,11485,,,,,,,https://wotlk.wowhead.com/quest=11485
Accept: [QA11489],Accept,11489,,,,,,,https://wotlk.wowhead.com/quest=11489
Do: [QC11489],Do,11489,,,,,,,https://wotlk.wowhead.com/quest=11489
TurnIn: [QT11489],TurnIn,11489,,,,,,,https://wotlk.wowhead.com/quest=11489
Accept: [QA11491],Accept,11491,,,,,,,https://wotlk.wowhead.com/quest=11491
Do: [QC11491],Do,11491,,,,,,,https://wotlk.wowhead.com/quest=11491
TurnIn: [QT11491],TurnIn,11491,,,,,,,https://wotlk.wowhead.com/quest=11491
Accept: [QA11494],Accept,11494,,,,,,,https://wotlk.wowhead.com/quest=11494
Accept: [QA11495],Accept,11495,,,,,,,https://wotlk.wowhead.com/quest=11495
Do: [QC11494],Do,11494,,,,,,,https://wotlk.wowhead.com/quest=11494
Do: [QC11495],Do,11495,,,,,,,https://wotlk.wowhead.com/quest=11495
Do: [QC11468],Do,11468,,,,,,,https://wotlk.wowhead.com/quest=11468
TurnIn: [QT11494],TurnIn,11494,,,,,,,https://wotlk.wowhead.com/quest=11494
TurnIn: [QT11495],TurnIn,11495,,,,,,,https://wotlk.wowhead.com/quest=11495
Accept: [QA11501],Accept,11501,,,,,,,https://wotlk.wowhead.com/quest=11501
TurnIn: [QT11468],TurnIn,11468,,,,,,,https://wotlk.wowhead.com/quest=11468
Accept: [QA11470],Accept,11470,,,,,,,https://wotlk.wowhead.com/quest=11470
"Run to [G76.6, 67.7Howling Fjord]",Run,,Howling Fjord,"76.6, 67.7",,,,,https://wotlk.wowhead.com/quest=
Do: [QC11470],Do,11470,,,,,,,https://wotlk.wowhead.com/quest=11470
TurnIn: [QT11470],TurnIn,11470,,,,,,,https://wotlk.wowhead.com/quest=11470
Talk to Walt and fly to Westguard Keep.,Text,,,,,,,Talk to Walt and fly to Westguard Keep.,
