Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,Do [QC3904- ][QC6],,,,
[N70d Howling Fjord - Alliance],,,,,,,,,
[NX70e Howling Fjord - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
TurnIn: [QT11291],TurnIn,11291,,,,,,,https://wotlk.wowhead.com/quest=11291
TurnIn: [QT11501],TurnIn,11501,,,,,,,https://wotlk.wowhead.com/quest=11501
Accept: [QA11157],Accept,11157,,,,,,,https://wotlk.wowhead.com/quest=11157
"Set your [H] to Howling Fjord at [G31.2, 40.8Howling Fjord]",Hearthstone,,Howling Fjord,"31.2, 40.8",,,,,https://wotlk.wowhead.com/quest=
Accept: [QA11155],Accept,11155,,,,,,,https://wotlk.wowhead.com/quest=11155
Accept: [QA11190],Accept,11190,,,,,,,https://wotlk.wowhead.com/quest=11190
Do [QC11190- ][QC11155],Text,,,,,,,Do [QC11190- ][QC11155],https://wotlk.wowhead.com/quest=
Accept: [QA11182],Accept,11182,,,,,,,https://wotlk.wowhead.com/quest=11182
Do: [QC11157],Do,11157,,,,,,,https://wotlk.wowhead.com/quest=11157
Do: [QC11182],Do,11182,,,,,,,https://wotlk.wowhead.com/quest=11182
TurnIn: [QT11182],TurnIn,11182,,,,,,,https://wotlk.wowhead.com/quest=11182
TurnIn: [QT11190],TurnIn,11190,,,,,,,https://wotlk.wowhead.com/quest=11190
TurnIn: [QT11155],TurnIn,11155,,,,,,,https://wotlk.wowhead.com/quest=11155
TurnIn: [QT11157],TurnIn,11157,,,,,,,https://wotlk.wowhead.com/quest=11157
Accept: [QA11187],Accept,11187,,,,,,,https://wotlk.wowhead.com/quest=11187
TurnIn: [QT11187],TurnIn,11187,,,,,,,https://wotlk.wowhead.com/quest=11187
Accept: [QA11188],Accept,11188,,,,,,,https://wotlk.wowhead.com/quest=11188
Do: [QC11188],Do,11188,,,,,,,https://wotlk.wowhead.com/quest=11188
TurnIn: [QT11188],TurnIn,11188,,,,,,,https://wotlk.wowhead.com/quest=11188
Accept: [QA11199],Accept,11199,,,,,,,https://wotlk.wowhead.com/quest=11199
Accept: [QA11218],Accept,11218,,,,,,,https://wotlk.wowhead.com/quest=11218
Accept: [QA11224],Accept,11224,,,,,,,https://wotlk.wowhead.com/quest=11224
Accept: [QA11573],Accept,11573,,,,,,,https://wotlk.wowhead.com/quest=11573
TurnIn: [QT11199],TurnIn,11199,,,,,,,https://wotlk.wowhead.com/quest=11199
Accept: [QA11202],Accept,11202,,,,,,,https://wotlk.wowhead.com/quest=11202
"Do: [QC11202,4]",Do,"11202,4",,,,,,,"https://wotlk.wowhead.com/quest=11202,4"
"Do: [QC11202,3]",Do,"11202,3",,,,,,,"https://wotlk.wowhead.com/quest=11202,3"
"Do: [QC11202,2]",Do,"11202,2",,,,,,,"https://wotlk.wowhead.com/quest=11202,2"
"Do: [QC11202,1]",Do,"11202,1",,,,,,,"https://wotlk.wowhead.com/quest=11202,1"
TurnIn: [QT11202],TurnIn,11202,,,,,,,https://wotlk.wowhead.com/quest=11202
Accept: [QA11327],Accept,11327,,,,,,,https://wotlk.wowhead.com/quest=11327
Do: [QC11327],Do,11327,,,,,,,https://wotlk.wowhead.com/quest=11327
TurnIn: [QT11327],TurnIn,11327,,,,,,,https://wotlk.wowhead.com/quest=11327
Accept: [QA11328],Accept,11328,,,,,,,https://wotlk.wowhead.com/quest=11328
