Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N70e Howling Fjord - Alliance],,,,,,,,,
[NX70f Howling Fjord - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
TurnIn: [QT11573],TurnIn,11573,,,,,,,https://wotlk.wowhead.com/quest=11573
Accept: [QA11504],Accept,11504,,,,,,,https://wotlk.wowhead.com/quest=11504
"Do: [QC11504,1]",Do,"11504,1",,,,,,,"https://wotlk.wowhead.com/quest=11504,1"
"Do: [QC11504,2]",Do,"11504,2",,,,,,,"https://wotlk.wowhead.com/quest=11504,2"
"Do: [QC11504,3]",Do,"11504,3",,,,,,,"https://wotlk.wowhead.com/quest=11504,3"
"Do: [QC11504,4]",Do,"11504,4",,,,,,,"https://wotlk.wowhead.com/quest=11504,4"
TurnIn: [QT11504],TurnIn,11504,,,,,,,https://wotlk.wowhead.com/quest=11504
Accept: [QA11507],Accept,11507,,,,,,,https://wotlk.wowhead.com/quest=11507
"Get the [P] flightpath at: [G24.6, 57.8Howling Fjord]",Flightpath,,Howling Fjord,"24.6, 57.8",,,,,https://wotlk.wowhead.com/quest=
TurnIn: [QT11507],TurnIn,11507,,,,,,,https://wotlk.wowhead.com/quest=11507
Accept: [QA11508],Accept,11508,,,,,,,https://wotlk.wowhead.com/quest=11508
Accept: [QA11456],Accept,11456,,,,,,,https://wotlk.wowhead.com/quest=11456
Do: [QC11456],Do,11456,,,,,,,https://wotlk.wowhead.com/quest=11456
TurnIn: [QT11456],TurnIn,11456,,,,,,,https://wotlk.wowhead.com/quest=11456
Accept: [QA11457],Accept,11457,,,,,,,https://wotlk.wowhead.com/quest=11457
Do: [QC11457],Do,11457,,,,,,,https://wotlk.wowhead.com/quest=11457
TurnIn: [QT11457],TurnIn,11457,,,,,,,https://wotlk.wowhead.com/quest=11457
Accept: [QA11458],Accept,11458,,,,,,,https://wotlk.wowhead.com/quest=11458
TurnIn: [QT11508],TurnIn,11508,,,,,,,https://wotlk.wowhead.com/quest=11508
Accept: [QA11509],Accept,11509,,,,,,,https://wotlk.wowhead.com/quest=11509
Talk to Lou the Cabin Boy and have him sail you to Scalawag Isle.,Text,,,,,,,Talk to Lou the Cabin Boy and have him sail you to Scalawag Isle.,https://wotlk.wowhead.com/quest=
TurnIn: [QT11509],TurnIn,11509,,,,,,,https://wotlk.wowhead.com/quest=11509
Accept: [QA11510],Accept,11510,,,,,,,https://wotlk.wowhead.com/quest=11510
Accept: [QA11434],Accept,11434,,,,,,,https://wotlk.wowhead.com/quest=11434
Accept: [QA11469],Accept,11469,,,,,,,https://wotlk.wowhead.com/quest=11469
Use your Fish Bladder so you can breathe underwater.,Text,,,,,,,Use your Fish Bladder so you can breathe underwater.,https://wotlk.wowhead.com/quest=
Do: [QC11510],Do,11510,,,,,,,https://wotlk.wowhead.com/quest=11510
"Do: [QC11434,2]",Do,"11434,2",,,,,,,"https://wotlk.wowhead.com/quest=11434,2"
"Do: [QC11434,1]",Do,"11434,1",,,,,,,"https://wotlk.wowhead.com/quest=11434,1"
TurnIn: [QT11434],TurnIn,11434,,,,,,,https://wotlk.wowhead.com/quest=11434
Accept: [QA11455],Accept,11455,,,,,,,https://wotlk.wowhead.com/quest=11455
TurnIn: [QT11510],TurnIn,11510,,,,,,,https://wotlk.wowhead.com/quest=11510
Accept: [QA11567],Accept,11567,,,,,,,https://wotlk.wowhead.com/quest=11567
Accept: [QA11512],Accept,11512,,,,,,,https://wotlk.wowhead.com/quest=11512
Accept: [QA11519],Accept,11519,,,,,,,https://wotlk.wowhead.com/quest=11519
Accept: [QA11511],Accept,11511,,,,,,,https://wotlk.wowhead.com/quest=11511
Accept: [QA11464],Accept,11464,,,,,,,https://wotlk.wowhead.com/quest=11464
Do: [QC11464],Do,11464,,,,,,,https://wotlk.wowhead.com/quest=11464
TurnIn: [QT11464],TurnIn,11464,,,,,,,https://wotlk.wowhead.com/quest=11464
Accept: [QA11466],Accept,11466,,,,,,,https://wotlk.wowhead.com/quest=11466
Go to the tavern. Talk to Olga and give her 1 gold to get Jack Adams drunk. Collect the debt from the passed out Jack Adams.,Text,,,,,,,Go to the tavern. Talk to Olga and give her 1 gold to get Jack Adams drunk. Collect the debt from the passed out Jack Adams.,https://wotlk.wowhead.com/quest=
TurnIn: [QT11466],TurnIn,11466,,,,,,,https://wotlk.wowhead.com/quest=11466
Accept: [QA11467],Accept,11467,,,,,,,https://wotlk.wowhead.com/quest=11467
Do: [QC11455],Do,11455,,,,,,,https://wotlk.wowhead.com/quest=11455
Do: [QC11469],Do,11469,,,,,,,https://wotlk.wowhead.com/quest=11469
TurnIn: [QT11455],TurnIn,11455,,,,,,,https://wotlk.wowhead.com/quest=11455
