Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N71b Borean Tundra - Alliance],,,,,,,,,
[NX71c Borean Tundra - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
Accept: [QA11864],Accept,11864,,,,,,,https://wotlk.wowhead.com/quest=11864
TurnIn: [QT11864],TurnIn,11864,,,,,,,https://wotlk.wowhead.com/quest=11864
Accept: [QA11866],Accept,11866,,,,,,,https://wotlk.wowhead.com/quest=11866
Accept: [QA11869],Accept,11869,,,,,,,https://wotlk.wowhead.com/quest=11869
Accept: [QA11876],Accept,11876,,,,,,,https://wotlk.wowhead.com/quest=11876
Accept: [QA11884],Accept,11884,,,,,,,https://wotlk.wowhead.com/quest=11884
Accept: [QA11865],Accept,11865,,,,,,,https://wotlk.wowhead.com/quest=11865
Do: [QC11865],Do,11865,,,,,,,https://wotlk.wowhead.com/quest=11865
Do: [QC11869],Do,11869,,,,,,,https://wotlk.wowhead.com/quest=11869
Do: [QC11866],Do,11866,,,,,,,https://wotlk.wowhead.com/quest=11866
Do: [QC11884],Do,11884,,,,,,,https://wotlk.wowhead.com/quest=11884
Do: [QC11876],Do,11876,,,,,,,https://wotlk.wowhead.com/quest=11876
TurnIn: [QT11865],TurnIn,11865,,,,,,,https://wotlk.wowhead.com/quest=11865
Accept: [QA11868],Accept,11868,,,,,,,https://wotlk.wowhead.com/quest=11868
TurnIn: [QT11869],TurnIn,11869,,,,,,,https://wotlk.wowhead.com/quest=11869
Accept: [QA11870],Accept,11870,,,,,,,https://wotlk.wowhead.com/quest=11870
TurnIn: [QT11884],TurnIn,11884,,,,,,,https://wotlk.wowhead.com/quest=11884
TurnIn: [QT11876],TurnIn,11876,,,,,,,https://wotlk.wowhead.com/quest=11876
Accept: [QA11878],Accept,11878,,,,,,,https://wotlk.wowhead.com/quest=11878
TurnIn: [QT11866],TurnIn,11866,,,,,,,https://wotlk.wowhead.com/quest=11866
TurnIn: [QT11878],TurnIn,11878,,,,,,,https://wotlk.wowhead.com/quest=11878
Accept: [QA11879],Accept,11879,,,,,,,https://wotlk.wowhead.com/quest=11879
Go and mount a Wooly Mammoth Bull.,Text,,,,,,,Go and mount a Wooly Mammoth Bull.,https://wotlk.wowhead.com/quest=
Do: [QC11879],Do,11879,,,,,,,https://wotlk.wowhead.com/quest=11879
"Get the [P] flightpath at: [G56.6, 20.0Borean Tundra]",Flightpath,,Borean Tundra,"56.6, 20.0",,,,,https://wotlk.wowhead.com/quest=
"Set your [H] to Borean Tundra at [G57.0, 18.8Borean Tundra]",Hearthstone,,Borean Tundra,"57.0, 18.8",,,,,https://wotlk.wowhead.com/quest=
TurnIn: [QT11707],TurnIn,11707,,,,,,,https://wotlk.wowhead.com/quest=11707
Accept: [QA11708],Accept,11708,,,,,,,https://wotlk.wowhead.com/quest=11708
Do: [QC11708],Do,11708,,,,,,,https://wotlk.wowhead.com/quest=11708
TurnIn: [QT11708],TurnIn,11708,,,,,,,https://wotlk.wowhead.com/quest=11708
Accept: [QA11712],Accept,11712,,,,,,,https://wotlk.wowhead.com/quest=11712
Accept: [QA11645],Accept,11645,,,,,,,https://wotlk.wowhead.com/quest=11645
Accept: [QA11704],Accept,11704,,,,,,,https://wotlk.wowhead.com/quest=11704
Accept: [QA11710],Accept,11710,,,,,,,https://wotlk.wowhead.com/quest=11710
Do: [QC11645],Do,11645,,,,,,,https://wotlk.wowhead.com/quest=11645
TurnIn: [QT11645],TurnIn,11645,,,,,,,https://wotlk.wowhead.com/quest=11645
Do: [QC11712],Do,11712,,,,,,,https://wotlk.wowhead.com/quest=11712
The gnomes should have dropped a questItem by now. Accept it.,Text,,,,,,,The gnomes should have dropped a questItem by now. Accept it.,https://wotlk.wowhead.com/quest=
Accept: [QA11729],Accept,11729,,,,,,,https://wotlk.wowhead.com/quest=11729
TurnIn: [QT11712],TurnIn,11712,,,,,,,https://wotlk.wowhead.com/quest=11712
Accept: [QA11788],Accept,11788,,,,,,,https://wotlk.wowhead.com/quest=11788
TurnIn: [QT11729],TurnIn,11729,,,,,,,https://wotlk.wowhead.com/quest=11729
