Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N71c Borean Tundra - Alliance],,,,,,,,,
[NX71d Borean Tundra - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
"Run to [G56.6, 20.0Borean Tundra]",Run,,Borean Tundra,"56.6, 20.0",,,,,https://wotlk.wowhead.com/quest=
Talk to the Flight Master and fly to the search for Bixie.,Text,,,,,,,Talk to the Flight Master and fly to the search for Bixie.,https://wotlk.wowhead.com/quest=
TurnIn: [QT11692],TurnIn,11692,,,,,,,https://wotlk.wowhead.com/quest=11692
Accept: [QA11693],Accept,11693,,,,,,,https://wotlk.wowhead.com/quest=11693
Do: [QC11693],Do,11693,,,,,,,https://wotlk.wowhead.com/quest=11693
TurnIn: [QT11693],TurnIn,11693,,,,,,,https://wotlk.wowhead.com/quest=11693
Accept: [QA11694],Accept,11694,,,,,,,https://wotlk.wowhead.com/quest=11694
Do: [QC11694],Do,11694,,,,,,,https://wotlk.wowhead.com/quest=11694
TurnIn: [QT11694],TurnIn,11694,,,,,,,https://wotlk.wowhead.com/quest=11694
Accept: [QA11697],Accept,11697,,,,,,,https://wotlk.wowhead.com/quest=11697
Accept: [QA11698],Accept,11698,,,,,,,https://wotlk.wowhead.com/quest=11698
TurnIn: [QT11697],TurnIn,11697,,,,,,,https://wotlk.wowhead.com/quest=11697
Accept: [QA11699],Accept,11699,,,,,,,https://wotlk.wowhead.com/quest=11699
"Do: [QC11699,2]",Do,"11699,2",,,,,,,"https://wotlk.wowhead.com/quest=11699,2"
"Do: [QC11699,1]",Do,"11699,1",,,,,,,"https://wotlk.wowhead.com/quest=11699,1"
"Do: [QC11699,3]",Do,"11699,3",,,,,,,"https://wotlk.wowhead.com/quest=11699,3"
Do: [QC11698],Do,11698,,,,,,,https://wotlk.wowhead.com/quest=11698
TurnIn: [QT11699],TurnIn,11699,,,,,,,https://wotlk.wowhead.com/quest=11699
Accept: [QA11700],Accept,11700,,,,,,,https://wotlk.wowhead.com/quest=11700
TurnIn: [QT11698],TurnIn,11698,,,,,,,https://wotlk.wowhead.com/quest=11698
TurnIn: [QT11700],TurnIn,11700,,,,,,,https://wotlk.wowhead.com/quest=11700
Accept: [QA11701],Accept,11701,,,,,,,https://wotlk.wowhead.com/quest=11701
Use your [H] Hearthstone.,UseHearthstone,,,,,,,,https://wotlk.wowhead.com/quest=
TurnIn: [QT11701],TurnIn,11701,,,,,,,https://wotlk.wowhead.com/quest=11701
Fly to [F Valiance Keep],Fly,,Valiance Keep,,,,,,https://wotlk.wowhead.com/quest=
Do: [QC11868],Do,11868,,,,,,,https://wotlk.wowhead.com/quest=11868
TurnIn: [QT11870],TurnIn,11870,,,,,,,https://wotlk.wowhead.com/quest=11870
Accept: [QA11871],Accept,11871,,,,,,,https://wotlk.wowhead.com/quest=11871
Do: [QC11871],Do,11871,,,,,,,https://wotlk.wowhead.com/quest=11871
