Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N71d Borean Tundra - Alliance],,,,,,,,,
[NX71e Borean Tundra - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
TurnIn: [QT11733],TurnIn,11733,,,,,,,https://wotlk.wowhead.com/quest=11733
Accept: [QA11918],Accept,11918,,,,,,,https://wotlk.wowhead.com/quest=11918
Accept: [QA11912],Accept,11912,,,,,,,https://wotlk.wowhead.com/quest=11912
Accept: [QA11900],Accept,11900,,,,,,,https://wotlk.wowhead.com/quest=11900
Accept: [QA11910],Accept,11910,,,,,,,https://wotlk.wowhead.com/quest=11910
Accept: [QA13094],Accept,13094,,,,,,,https://wotlk.wowhead.com/quest=13094
Kill Coldarra Spellbinders until you loot a Scintillating Fragment. Thats a questItem. Accept it.,Text,,,,,,,Kill Coldarra Spellbinders until you loot a Scintillating Fragment. Thats a questItem. Accept it.,https://wotlk.wowhead.com/quest=
Accept: [QA11941],Accept,11941,,,,,,,https://wotlk.wowhead.com/quest=11941
TurnIn: [QT11941],TurnIn,11941,,,,,,,https://wotlk.wowhead.com/quest=11941
Accept: [QA11943],Accept,11943,,,,,,,https://wotlk.wowhead.com/quest=11943
"Do [QC11900,3- ][QC11943,2- ][QC11900,4- ][QC11943,1 ][QC11900,2]",Text,,,,,,,"Do [QC11900,3- ][QC11943,2- ][QC11900,4- ][QC11943,1 ][QC11900,2]",https://wotlk.wowhead.com/quest=
TurnIn: [QT11943],TurnIn,11943,,,,,,,https://wotlk.wowhead.com/quest=11943
Use the questItem you just got.,Text,,,,,,,Use the questItem you just got.,https://wotlk.wowhead.com/quest=
Accept: [QA11946],Accept,11946,,,,,,,https://wotlk.wowhead.com/quest=11946
TurnIn: [QT11946],TurnIn,11946,,,,,,,https://wotlk.wowhead.com/quest=11946
Accept: [QA11951],Accept,11951,,,,,,,https://wotlk.wowhead.com/quest=11951
Do: [QC11918],Do,11918,,,,,,,https://wotlk.wowhead.com/quest=11918
Do: [QC11912],Do,11912,,,,,,,https://wotlk.wowhead.com/quest=11912
Do: [QC11910],Do,11910,,,,,,,https://wotlk.wowhead.com/quest=11910
TurnIn: [QT11951],TurnIn,11951,,,,,,Use the questItem again.,https://wotlk.wowhead.com/quest=11951
Accept: [QA11957],Accept,11957,,,,,,,https://wotlk.wowhead.com/quest=11957
TurnIn: [QT11918],TurnIn,11918,,,,,,,https://wotlk.wowhead.com/quest=11918
Accept: [QA11936],Accept,11936,,,,,,,https://wotlk.wowhead.com/quest=11936
TurnIn: [QT11912],TurnIn,11912,,,,,,,https://wotlk.wowhead.com/quest=11912
Accept: [QA11914],Accept,11914,,,,,,,https://wotlk.wowhead.com/quest=11914
