Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N73a Dragonblight - Alliance],,,,,,,,,
[NX73b Dragonblight - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
TurnIn: [QT12119],TurnIn,12119,,,,,,,https://www.wowhead.com/wotlk/quest=12119
Accept: [QA12766],Accept,12766,,,,,,,https://www.wowhead.com/wotlk/quest=12766
TurnIn: [QT12766],TurnIn,12766,,,,,,,https://www.wowhead.com/wotlk/quest=12766
"Run to [G57.9, 54.2Dragonblight]",Run,,Dragonblight,"57.9, 54.2",,,,,https://www.wowhead.com/wotlk/quest=
Fly to [F the top.],Fly,,the top.,,,,,,https://www.wowhead.com/wotlk/quest=
Accept: [QA12458],Accept,12458,,,,,,,https://www.wowhead.com/wotlk/quest=12458
Accept: [QA12447],Accept,12447,,,,,,,https://www.wowhead.com/wotlk/quest=12447
Accept: [QA12470],Accept,12470,,,,,,,https://www.wowhead.com/wotlk/quest=12470
Fly to [F the bottom.],Fly,,the bottom.,,,,,,https://www.wowhead.com/wotlk/quest=
Accept: [QA12454],Accept,12454,,,,,,,https://www.wowhead.com/wotlk/quest=12454
Do: [QC12458],Do,12458,,,,,,,https://www.wowhead.com/wotlk/quest=12458
Do: [QC12454],Do,12454,,,,,,,https://www.wowhead.com/wotlk/quest=12454
TurnIn: [QT12454],TurnIn,12454,,,,,,,https://www.wowhead.com/wotlk/quest=12454
Accept: [QA12456],Accept,12456,,,,,,,https://www.wowhead.com/wotlk/quest=12456
"This is an elite quest. Try to find someone to do it with(2 people should be enough), if not do it later.",Text,,,,,,,"This is an elite quest. Try to find someone to do it with(2 people should be enough), if not do it later.",https://www.wowhead.com/wotlk/quest=
TurnIn: [QT12456],TurnIn,12456,,,,,,,https://www.wowhead.com/wotlk/quest=12456
Accept: [QA12460],Accept,12460,,,,,,,https://www.wowhead.com/wotlk/quest=12460
"Get the [P] flightpath at: [G60.2, 51.6Dragonblight]",Flightpath,,Dragonblight,"60.2, 51.6",,,,,https://www.wowhead.com/wotlk/quest=
