Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N73c Dragonblight - Alliance],,,,,,,,,
[NX75a Grizzly Hills - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
TurnIn: [QT12287],TurnIn,12287,,,,,,,https://wotlk.wowhead.com/quest=12287
Accept: [QA12290],Accept,12290,,,,,,,https://wotlk.wowhead.com/quest=12290
Accept: [QA12542],Accept,12542,,,,,,,https://wotlk.wowhead.com/quest=12542
Do: [QC12290],Do,12290,,,,,,,https://wotlk.wowhead.com/quest=12290
TurnIn: [QT12290],TurnIn,12290,,,,,,,https://wotlk.wowhead.com/quest=12290
Accept: [QA12291],Accept,12291,,,,,,,https://wotlk.wowhead.com/quest=12291
Do: [QC12291],Do,12291,,,,,,,https://wotlk.wowhead.com/quest=12291
TurnIn: [QT12291],TurnIn,12291,,,,,,,https://wotlk.wowhead.com/quest=12291
Accept: [QA12301],Accept,12301,,,,,,,https://wotlk.wowhead.com/quest=12301
Do: [QC12301],Do,12301,,,,,,,https://wotlk.wowhead.com/quest=12301
TurnIn: [QT12301],TurnIn,12301,,,,,,,https://wotlk.wowhead.com/quest=12301
Accept: [QA12305],Accept,12305,,,,,,,https://wotlk.wowhead.com/quest=12305
TurnIn: [QT12305],TurnIn,12305,,,,,,,https://wotlk.wowhead.com/quest=12305
Accept: [QA12475],Accept,12475,,,,,,,https://wotlk.wowhead.com/quest=12475
Accept: [QA12476],Accept,12476,,,,,,,https://wotlk.wowhead.com/quest=12476
Accept: [QA12477],Accept,12477,,,,,,,https://wotlk.wowhead.com/quest=12477
"Do: [QC12459,2]",Do,"12459,2",,,,,,,"https://wotlk.wowhead.com/quest=12459,2"
Do: [QC12476],Do,12476,,,,,,,https://wotlk.wowhead.com/quest=12476
Do: [QC12475],Do,12475,,,,,,,https://wotlk.wowhead.com/quest=12475
TurnIn: [QT12542],TurnIn,12542,,,,,,,https://wotlk.wowhead.com/quest=12542
Accept: [QA12545],Accept,12545,,,,,,,https://wotlk.wowhead.com/quest=12545
Do: [QC12545],Do,12545,,,,,,,https://wotlk.wowhead.com/quest=12545
"Do: [QC12459,3]",Do,"12459,3",,,,,,,"https://wotlk.wowhead.com/quest=12459,3"
TurnIn: [QT12545],TurnIn,12545,,,,,,,https://wotlk.wowhead.com/quest=12545
Accept: [QA12789],Accept,12789,,,,,,,https://wotlk.wowhead.com/quest=12789
TurnIn: [QT12476],TurnIn,12476,,,,,,,https://wotlk.wowhead.com/quest=12476
TurnIn: [QT12477],TurnIn,12477,,,,,,,https://wotlk.wowhead.com/quest=12477
TurnIn: [QT12475],TurnIn,12475,,,,,,,https://wotlk.wowhead.com/quest=12475
Accept: [QA12478],Accept,12478,,,,,,,https://wotlk.wowhead.com/quest=12478
Do: [QC12478],Do,12478,,,,,,,https://wotlk.wowhead.com/quest=12478
TurnIn: [QT12768],TurnIn,12768,,,,,,,https://wotlk.wowhead.com/quest=12768
Accept: [QA12123],Accept,12123,,,,,,,https://wotlk.wowhead.com/quest=12123
TurnIn: [QT12498],TurnIn,12498,,,,,,,https://wotlk.wowhead.com/quest=12498
Accept: [QA12499],Accept,12499,,,,,,,https://wotlk.wowhead.com/quest=12499
TurnIn: [QT12266],TurnIn,12266,,,,,,,https://wotlk.wowhead.com/quest=12266
TurnIn: [QT12459],TurnIn,12459,,,,,,,https://wotlk.wowhead.com/quest=12459
TurnIn: [QT12123],TurnIn,12123,,,,,,,https://wotlk.wowhead.com/quest=12123
Accept: [QA12435],Accept,12435,,,,,,,https://wotlk.wowhead.com/quest=12435
TurnIn: [QT12419],TurnIn,12419,,,,,,,https://wotlk.wowhead.com/quest=12419
Fly to [F to the middle.],Fly,,to the middle.,,,,,,https://wotlk.wowhead.com/quest=
TurnIn: [QT12435],TurnIn,12435,,,,,,,https://wotlk.wowhead.com/quest=12435
Accept: [QA12372],Accept,12372,,,,,,,https://wotlk.wowhead.com/quest=12372
Do: [QC12372],Do,12372,,,,,,,https://wotlk.wowhead.com/quest=12372
