Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N78a Sholazar Basin - Alliance],,,,,,,,,
[NX78b Sholazar Basin - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
Fly to [F Dalaran],Fly,,Dalaran,,,,,,https://wotlk.wowhead.com/quest=
"Set your [H] to Dalaran at [G44.6, 62.8Dalaran]",Hearthstone,,Dalaran,"44.6, 62.8",,,,,https://wotlk.wowhead.com/quest=
Learn Cold Weather Flying.(Close to the Flightmaster),Text,,,,,,,Learn Cold Weather Flying.(Close to the Flightmaster),https://wotlk.wowhead.com/quest=
Accept: [QA12521],Accept,12521,,,,,,,https://wotlk.wowhead.com/quest=12521
Do: [QC12521],Do,12521,,,,,,,https://wotlk.wowhead.com/quest=12521
TurnIn: [QT12521],TurnIn,12521,,,,,,,https://wotlk.wowhead.com/quest=12521
Accept: [QA12489],Accept,12489,,,,,,,https://wotlk.wowhead.com/quest=12489
TurnIn: [QT12489],TurnIn,12489,,,,,,,https://wotlk.wowhead.com/quest=12489
Accept: [QA12624],Accept,12624,,,,,,,https://wotlk.wowhead.com/quest=12624
"The Ring quest can be turned in whenever you found it, I will only put a "turnIn" marker at the end of Sholazar Basin, but you should turn it in as soon as you find it and are nearby the camp anyway.",Text,,,,,,,"The Ring quest can be turned in whenever you found it, I will only put a "turnIn" marker at the end of Sholazar Basin, but you should turn it in as soon as you find it and are nearby the camp anyway.",https://wotlk.wowhead.com/quest=
Accept: [QA12522],Accept,12522,,,,,,,https://wotlk.wowhead.com/quest=12522
Accept: [QA12524],Accept,12524,,,,,,,https://wotlk.wowhead.com/quest=12524
"I dont think I need to tell you, but use your flying mount from now on: Little tip: Make a macro: /use FlyingMountName /Use GroundMountName. This will make you mount up on your flying if you can fly and if you cant fly it will use the ground mount!",Text,,,,,,,"I dont think I need to tell you, but use your flying mount from now on: Little tip: Make a macro: /use FlyingMountName /Use GroundMountName. This will make you mount up on your flying if you can fly and if you cant fly it will use the ground mount!",https://wotlk.wowhead.com/quest=
Do: [QC12522],Do,12522,,,,,,,https://wotlk.wowhead.com/quest=12522
Accept: [QA12688],Accept,12688,,,,,,,https://wotlk.wowhead.com/quest=12688
Do: [QC12688],Do,12688,,,,,,,https://wotlk.wowhead.com/quest=12688
