Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N78b Sholazar Basin - Alliance],,,,,,,,,
[NX78c Sholazar Basin - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
TurnIn: [QT12803],TurnIn,12803,,,,,,,https://wotlk.wowhead.com/quest=12803
Accept: [QA12561],Accept,12561,,,,,,,https://wotlk.wowhead.com/quest=12561
Do: [QC12561],Do,12561,,,,,,,https://wotlk.wowhead.com/quest=12561
TurnIn: [QT12561],TurnIn,12561,,,,,,,https://wotlk.wowhead.com/quest=12561
Accept: [QA12611],Accept,12611,,,,,,,https://wotlk.wowhead.com/quest=12611
Do: [QC12611],Do,12611,,,,,,,https://wotlk.wowhead.com/quest=12611
TurnIn: [QT12611],TurnIn,12611,,,,,,,https://wotlk.wowhead.com/quest=12611
Accept: [QA12612],Accept,12612,,,,,,,https://wotlk.wowhead.com/quest=12612
Accept: [QA12805],Accept,12805,,,,,,,https://wotlk.wowhead.com/quest=12805
TurnIn: [QT12612],TurnIn,12612,,,,,,,https://wotlk.wowhead.com/quest=12612
Accept: [QA12608],Accept,12608,,,,,,,https://wotlk.wowhead.com/quest=12608
Do: [QC12805],Do,12805,,,,,,,https://wotlk.wowhead.com/quest=12805
TurnIn: [QT12608],TurnIn,12608,,,,,,,https://wotlk.wowhead.com/quest=12608
TurnIn: [QT12805],TurnIn,12805,,,,,,,https://wotlk.wowhead.com/quest=12805
Accept: [QA12617],Accept,12617,,,,,,,https://wotlk.wowhead.com/quest=12617
Accept: [QA12660],Accept,12660,,,,,,,https://wotlk.wowhead.com/quest=12660
Do: [QC12617],Do,12617,,,,,,,https://wotlk.wowhead.com/quest=12617
Do: [QC12660],Do,12660,,,,,,,https://wotlk.wowhead.com/quest=12660
TurnIn: [QT12617],TurnIn,12617,,,,,,,https://wotlk.wowhead.com/quest=12617
TurnIn: [QT12660],TurnIn,12660,,,,,,,https://wotlk.wowhead.com/quest=12660
Accept: [QA12620],Accept,12620,,,,,,,https://wotlk.wowhead.com/quest=12620
Do: [QC12620],Do,12620,,,,,,,https://wotlk.wowhead.com/quest=12620
TurnIn: [QT12620],TurnIn,12620,,,,,,,https://wotlk.wowhead.com/quest=12620
Accept: [QA12621],Accept,12621,,,,,,,https://wotlk.wowhead.com/quest=12621
TurnIn: [QT12621],TurnIn,12621,,,,,,,https://wotlk.wowhead.com/quest=12621
Accept: [QA12559],Accept,12559,,,,,,,https://wotlk.wowhead.com/quest=12559
Do: [QC12559],Do,12559,,,,,,,https://wotlk.wowhead.com/quest=12559
TurnIn: [QT12559],TurnIn,12559,,,,,,,https://wotlk.wowhead.com/quest=12559
Accept: [QA12613],Accept,12613,,,,,,,https://wotlk.wowhead.com/quest=12613
Accept: [QA12691],Accept,12691,,,,,,,https://wotlk.wowhead.com/quest=12691
Do: [QC12613],Do,12613,,,,,,,https://wotlk.wowhead.com/quest=12613
Do: [QC12691],Do,12691,,,,,,,https://wotlk.wowhead.com/quest=12691
TurnIn: [QT12691],TurnIn,12691,,,,,,,https://wotlk.wowhead.com/quest=12691
TurnIn: [QT12613],TurnIn,12613,,,,,,,https://wotlk.wowhead.com/quest=12613
Accept: [QA12548],Accept,12548,,,,,,,https://wotlk.wowhead.com/quest=12548
TurnIn: [QT12548],TurnIn,12548,,,,,,,https://wotlk.wowhead.com/quest=12548
Accept: [QA12547],Accept,12547,,,,,,,https://wotlk.wowhead.com/quest=12547
Do: [QC12547],Do,12547,,,,,,,https://wotlk.wowhead.com/quest=12547
TurnIn: [QT12547],TurnIn,12547,,,,,,,https://wotlk.wowhead.com/quest=12547
Accept: [QA12797],Accept,12797,,,,,,,https://wotlk.wowhead.com/quest=12797
