Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,
[N78c Sholazar Basin - Alliance],,,,,,,,,
[NX79a The Storm Peaks - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,Text,,,,,,,,
TurnIn: [QT12528],TurnIn,12528,,,,,,,https://wotlk.wowhead.com/quest=12528
Accept: [QA12529],Accept,12529,,,,,,,https://wotlk.wowhead.com/quest=12529
Use Goregek's Shackles to summon Goregek.,Text,,,,,,,Use Goregek's Shackles to summon Goregek.,https://wotlk.wowhead.com/quest=
Accept: [QA12530],Accept,12530,,,,,,,https://wotlk.wowhead.com/quest=12530
Do: [QC12530],Do,12530,,,,,,,https://wotlk.wowhead.com/quest=12530
Do: [QC12529],Do,12529,,,,,,,https://wotlk.wowhead.com/quest=12529
TurnIn: [QT12529],TurnIn,12529,,,,,,,https://wotlk.wowhead.com/quest=12529
TurnIn: [QT12530],TurnIn,12530,,,,,,,https://wotlk.wowhead.com/quest=12530
Accept: [QA12533],Accept,12533,,,,,,,https://wotlk.wowhead.com/quest=12533
Accept: [QA12534],Accept,12534,,,,,,,https://wotlk.wowhead.com/quest=12534
Do: [QC12534],Do,12534,,,,,,,https://wotlk.wowhead.com/quest=12534
Do: [QC12533],Do,12533,,,,,,,https://wotlk.wowhead.com/quest=12533
TurnIn: [QT12534],TurnIn,12534,,,,,,,https://wotlk.wowhead.com/quest=12534
TurnIn: [QT12533],TurnIn,12533,,,,,,,https://wotlk.wowhead.com/quest=12533
Accept: [QA12532],Accept,12532,,,,,,,https://wotlk.wowhead.com/quest=12532
Do: [QC12532],Do,12532,,,,,,,https://wotlk.wowhead.com/quest=12532
TurnIn: [QT12532],TurnIn,12532,,,,,,,https://wotlk.wowhead.com/quest=12532
Accept: [QA12531],Accept,12531,,,,,,,https://wotlk.wowhead.com/quest=12531
Accept: [QA12535],Accept,12535,,,,,,,https://wotlk.wowhead.com/quest=12535
Do: [QC12535],Do,12535,,,,,,,https://wotlk.wowhead.com/quest=12535
Do: [QC12531],Do,12531,,,,,,,https://wotlk.wowhead.com/quest=12531
TurnIn: [QT12531],TurnIn,12531,,,,,,,https://wotlk.wowhead.com/quest=12531
TurnIn: [QT12535],TurnIn,12535,,,,,,,https://wotlk.wowhead.com/quest=12535
Accept: [QA12536],Accept,12536,,,,,,,https://wotlk.wowhead.com/quest=12536
Do: [QC12536],Do,12536,,,,,,,https://wotlk.wowhead.com/quest=12536
Use Zepik's Hunting Horn to call Zepik,Text,,,,,,,Use Zepik's Hunting Horn to call Zepik,https://wotlk.wowhead.com/quest=
TurnIn: [QT12536],TurnIn,12536,,,,,,,https://wotlk.wowhead.com/quest=12536
Accept: [QA12537],Accept,12537,,,,,,,https://wotlk.wowhead.com/quest=12537
Accept: [QA12538],Accept,12538,,,,,,,https://wotlk.wowhead.com/quest=12538
Do: [QC12538],Do,12538,,,,,,,https://wotlk.wowhead.com/quest=12538
Do: [QC12537],Do,12537,,,,,,,https://wotlk.wowhead.com/quest=12537
Use Zepik's Hunting Horn to call Zepik,Text,,,,,,,Use Zepik's Hunting Horn to call Zepik,https://wotlk.wowhead.com/quest=
TurnIn: [QT12537],TurnIn,12537,,,,,,,https://wotlk.wowhead.com/quest=12537
TurnIn: [QT12538],TurnIn,12538,,,,,,,https://wotlk.wowhead.com/quest=12538
Accept: [QA12539],Accept,12539,,,,,,,https://wotlk.wowhead.com/quest=12539
TurnIn: [QT12539],TurnIn,12539,,,,,,,https://wotlk.wowhead.com/quest=12539
Accept: [QA12540],Accept,12540,,,,,,,https://wotlk.wowhead.com/quest=12540
TurnIn: [QT12540],TurnIn,12540,,,,,,,https://wotlk.wowhead.com/quest=12540
Accept: [QA12570],Accept,12570,,,,,,,https://wotlk.wowhead.com/quest=12570
Escort the oracle to Rainspeaker Canopy.(Talk to it),Text,,,,,,,Escort the oracle to Rainspeaker Canopy.(Talk to it),https://wotlk.wowhead.com/quest=
Do: [QC12570],Do,12570,,,,,,,https://wotlk.wowhead.com/quest=12570
TurnIn: [QT12570],TurnIn,12570,,,,,,,https://wotlk.wowhead.com/quest=12570
Accept: [QA12571],Accept,12571,,,,,,,https://wotlk.wowhead.com/quest=12571
