Name,Action,ID,Location,Coords,XP,Level,Class,Text,Wowhead
[GA Alliance],,,,,,,,,Do [QC12627- ][QC12622]
[N80c Icecrown - Alliance],,,,,,,,,
[NX80d Icecrown - Alliance],,,,,,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,,,,,,,
I am marking EVERY Elite quest and dungeons as optional in this guide. Especially on release you should do them!!! You'll easily find groups for elite quests and dungeons.,,,,,,,,,
TurnIn: [QT13300],TurnIn,13300,,,,,,,https://wotlk.wowhead.com/quest=13300
TurnIn: [QT13336],TurnIn,13336,,,,,,,https://wotlk.wowhead.com/quest=13336
TurnIn: [QT13231],TurnIn,13231,,,,,,,https://wotlk.wowhead.com/quest=13231
TurnIn: [QT13232],TurnIn,13232,,,,,,,https://wotlk.wowhead.com/quest=13232
Accept: [QA13286],Accept,13286,,,,,,,https://wotlk.wowhead.com/quest=13286
Accept: [QA13290],Accept,13290,,,,,,,https://wotlk.wowhead.com/quest=13290
TurnIn: [QT13286],TurnIn,13286,,,,,,,https://wotlk.wowhead.com/quest=13286
Accept: [QA13287],Accept,13287,,,,,,,https://wotlk.wowhead.com/quest=13287
TurnIn: [QT13290],TurnIn,13290,,,,,,,https://wotlk.wowhead.com/quest=13290
Accept: [QA13291],Accept,13291,,,,,,,https://wotlk.wowhead.com/quest=13291
TurnIn: [QT13075],TurnIn,13075,,,,,,,https://wotlk.wowhead.com/quest=13075
Accept: [QA13076],Accept,13076,,,,,,,https://wotlk.wowhead.com/quest=13076
TurnIn: [QT13284],TurnIn,13284,,,,,,,https://wotlk.wowhead.com/quest=13284
Do [QC13291- ][QC13287],Text,,,,,,,Do [QC13291- ][QC13287],https://wotlk.wowhead.com/quest=
TurnIn: [QT13076],TurnIn,13076,,,,,,,https://wotlk.wowhead.com/quest=13076
Accept: [QA13077],Accept,13077,,,,,,,https://wotlk.wowhead.com/quest=13077
TurnIn: [QT13077],TurnIn,13077,,,,,,,https://wotlk.wowhead.com/quest=13077
Accept: [QA13078],Accept,13078,,,,,,,https://wotlk.wowhead.com/quest=13078
Do: [QC13078],Do,13078,,,,,,,https://wotlk.wowhead.com/quest=13078
TurnIn: [QT13078],TurnIn,13078,,,,,,,https://wotlk.wowhead.com/quest=13078
Accept: [QA13079],Accept,13079,,,,,,,https://wotlk.wowhead.com/quest=13079
########,,,,,,,,,https://wotlk.wowhead.com/quest=
Use your [H] Hearthstone.,UseHearthstone,,,,,,,TODO: Check if HS is in Dalaran,https://wotlk.wowhead.com/quest=
TurnIn: [QT13287],TurnIn,13287,,,,,,,https://wotlk.wowhead.com/quest=13287
Accept: [QA13288],Accept,13288,,,,,,,https://wotlk.wowhead.com/quest=13288
Accept: [QA13294][O],AcceptOptional,13294,,,,,,,https://wotlk.wowhead.com/quest=13294
TurnIn: [QT13291],TurnIn,13291,,,,,,,https://wotlk.wowhead.com/quest=13291
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
########,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
########,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
#N/A,,,,,,,,,https://wotlk.wowhead.com/quest=
