Name,Action,Text,,,
[N Blacksmithing Shopping List],,,Classic,,
[NX Blacksmithing],,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,,,
Shopping List:,Text,Shopping List:,ItemID,ItemName,Amount
"Buy [CI2835, 150 Rough Stone]",Text,"Buy [CI2835, 150 Rough Stone]",2835,Rough Stone,150
"Buy [CI2840, 150 Copper Bar]",Text,"Buy [CI2840, 150 Copper Bar]",2840,Copper Bar,150
"Buy [CI2836, 95 Coarse Stone]",Text,"Buy [CI2836, 95 Coarse Stone]",2836,Coarse Stone,95
"Buy [CI2842, 5 Silver Bar]",Text,"Buy [CI2842, 5 Silver Bar]",2842,Silver Bar,5
"Buy [CI2841, 140 Bronze Bar]",Text,"Buy [CI2841, 140 Bronze Bar]",2841,Bronze Bar,140
"Buy [CI2838, 105 Heavy Stone]",Text,"Buy [CI2838, 105 Heavy Stone]",2838,Heavy Stone,105
"Buy [CI3577, 5 Gold Bar]",Text,"Buy [CI3577, 5 Gold Bar]",3577,Gold Bar,5
"Buy [CI3575, 230 Iron Bar]",Text,"Buy [CI3575, 230 Iron Bar]",3575,Iron Bar,230
"Buy [CI2605, 35 Green Dye]",Text,"Buy [CI2605, 35 Green Dye]",2605,Green Dye,35
"Buy [CI3859, 190 Steel Bar]",Text,"Buy [CI3859, 190 Steel Bar]",3859,Steel Bar,190
"Buy [CI7912, 520 Solid Stone ]",Text,"Buy [CI7912, 520 Solid Stone ]",7912,Solid Stone ,520
"Buy [CI7989, 1 Plans: Mithril Spurs]",Text,"Buy [CI7989, 1 Plans: Mithril Spurs]",7989,Plans: Mithril Spurs,1
"Buy [CI4338, 60 Mageweave Cloth]",Text,"Buy [CI4338, 60 Mageweave Cloth]",4338,Mageweave Cloth,60
"Buy [CI3860, 250 Mithril Bar]",Text,"Buy [CI3860, 250 Mithril Bar]",3860,Mithril Bar,250
"Buy [CI12365, 20 Dense Stone]",Text,"Buy [CI12365, 20 Dense Stone]",12365,Dense Stone,20
"Buy [CI12359, 730 Thorium Bar]",Text,"Buy [CI12359, 730 Thorium Bar]",12359,Thorium Bar,730
"Buy [CI7910, 30 Star Ruby]",Text,"Buy [CI7910, 30 Star Ruby]",7910,Star Ruby,30
"Buy [CI7909, 5 Aquamarine]",Text,"Buy [CI7909, 5 Aquamarine]",7909,Aquamarine,5
,,,TBC,,
"Buy [CI,  ]",Text,"Buy [CI,  ]",,,
"Buy [CI,  ]",Text,"Buy [CI,  ]",,,
"Buy [CI,  ]",Text,"Buy [CI,  ]",,,
"Buy [CI,  5317]",Text,"Buy [CI,  5317]",,5317,
"Buy [CI,  ]",Text,"Buy [CI,  ]",,,
"Buy [CI,  ]",Text,"Buy [CI,  ]",,,
"Buy [CI,  ]",Text,"Buy [CI,  ]",,,
"Buy [CI,  ]",Text,"Buy [CI,  ]",,,
#N/A,,,WOTLK,,
#N/A,,"Buy [CI,  ]",,,
#N/A,,"Buy [CI,  ]",,,
#N/A,,"Buy [CI,  ]",,,
#N/A,,"Buy [CI,  ]",,,
#N/A,,"Buy [CI,  ]",,,
#N/A,,"Buy [CI,  ]",,,
#N/A,,"Buy [CI,  ]",,,
#N/A,,"Buy [CI,  ]",,,
