Name,Action,Text,,,
[N Cooking Shopping List],,,Classic,,
[NX Cooking],,,,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,Shopping List:,ItemID,ItemName,Amount
"Buy [CI2672, 55 Stringy Wolf Meat]",Text,"Buy [CI2672, 55 Stringy Wolf Meat]",2672,Stringy Wolf Meat,55
or,Text,or,,,
"Buy [CI55x Chunk of Boar Meat,  ]",Text,"Buy [CI55x Chunk of Boar Meat,  ]",55x Chunk of Boar Meat,,
"Buy [CIBuy the "Recipe: Smoked Bear Meat" at [G43.2,40.6Silverpine Forest] [A Horde],  ]",Text,"Buy [CIBuy the "Recipe: Smoked Bear Meat" at [G43.2,40.6Silverpine Forest] [A Horde],  ]","Buy the "Recipe: Smoked Bear Meat" at [G43.2,40.6Silverpine Forest] [A Horde]",,
"Buy [CIBuy the "Recipe: Smoked Bear Meat" at [G35.6,49.0Loch Modan] [A Alliance],  ]",Text,"Buy [CIBuy the "Recipe: Smoked Bear Meat" at [G35.6,49.0Loch Modan] [A Alliance],  ]","Buy the "Recipe: Smoked Bear Meat" at [G35.6,49.0Loch Modan] [A Alliance]",,
"Buy [CIOR A mix of both with the sum of 55(e.g. 23 Wolf Meat+ 32 Boar Meat),  ]",Text,"Buy [CIOR A mix of both with the sum of 55(e.g. 23 Wolf Meat+ 32 Boar Meat),  ]",OR A mix of both with the sum of 55(e.g. 23 Wolf Meat+ 32 Boar Meat),,
"Buy [CI65-75x Bear Meat,  ]",Text,"Buy [CI65-75x Bear Meat,  ]",65-75x Bear Meat,,
"Buy [CI55x Clam Meat,  ]",Text,"Buy [CI55x Clam Meat,  ]",55x Clam Meat,,
"Buy [CIBUY: 55x Refreshing Spring Water (Vendor),  ]",Text,"Buy [CIBUY: 55x Refreshing Spring Water (Vendor),  ]",BUY: 55x Refreshing Spring Water (Vendor),,
"Buy [CI55x Coyote Meat,  ]",Text,"Buy [CI55x Coyote Meat,  ]",55x Coyote Meat,,
"Buy [CI55x Raw Longjaw Mud Snapper,  ]",Text,"Buy [CI55x Raw Longjaw Mud Snapper,  ]",55x Raw Longjaw Mud Snapper,,
"Buy [CI40x Crawler Meat,  ]",Text,"Buy [CI40x Crawler Meat,  ]",40x Crawler Meat,,
"Buy [CI35x Boar Ribs,  ]",Text,"Buy [CI35x Boar Ribs,  ]",35x Boar Ribs,,
"Buy [CI30x Raw Bristle Whisker Catfish,  ]",Text,"Buy [CI30x Raw Bristle Whisker Catfish,  ]",30x Raw Bristle Whisker Catfish,,
"Buy [CI35x Crawler Claw,  ]",Text,"Buy [CI35x Crawler Claw,  ]",35x Crawler Claw,,
"Buy [CI50x Raptor Egg,  ]",Text,"Buy [CI50x Raptor Egg,  ]",50x Raptor Egg,,
"Buy [CI50x Raptor Flesh,  ]",Text,"Buy [CI50x Raptor Flesh,  ]",50x Raptor Flesh,,
"Buy [CI12 x Giant Egg,  ]",Text,"Buy [CI12 x Giant Egg,  ]",12 x Giant Egg,,
"Buy [CI10 x Zesty Clam Meat,  ]",Text,"Buy [CI10 x Zesty Clam Meat,  ]",10 x Zesty Clam Meat,,
"Buy [CI20 x Alterac Swiss,  ]",Text,"Buy [CI20 x Alterac Swiss,  ]",20 x Alterac Swiss,,
"Buy [CI130x Zesty Clam Meat,  ]",Text,"Buy [CI130x Zesty Clam Meat,  ]",130x Zesty Clam Meat,,
"Buy [CI65 Ice Cold Milk,  ]",Text,"Buy [CI65 Ice Cold Milk,  ]",65 Ice Cold Milk,,
,Text,,,,
,Text,,,,
,Text,,,,
,Text,,,,
,Text,,,,
,Text,,TBC,,
,Text,,,,
,Text,,,,
,Text,,,,
,Text,,,,
,Text,,,,
,Text,,,,
,Text,,,,
,Text,,,,
,,,WOTLK,,
