Name,Action,Text,
[N Enchanting],,https://www.wow-professions.com/classic/enchanting-leveling-guide-classic-wow,Classic
[NX Enchanting Shopping List],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,Winterspring 2small brilliant shard recipe
1-2 1x Runed Copper Rod,Text,1-2 1x Runed Copper Rod,
2-50 Disenchant items OR:,Text,2-50 Disenchant items OR:,
X-100 ~110x Enchant Bracer: Minor Health,Text,X-100 ~110x Enchant Bracer: Minor Health,
100-101 1x Runed Silver Rod,Text,100-101 1x Runed Silver Rod,
101-110 9x Greater Magic Wand,Text,101-110 9x Greater Magic Wand,
110 - 135 Enchant Cloak: Minor Agility OR,Text,110 - 135 Enchant Cloak: Minor Agility OR,
110 - 135 Enchant 2H Weapon - Minor Impact,Text,110 - 135 Enchant 2H Weapon - Minor Impact,
"Run to [G 64.8, 70.4Elwynn Forest] [A Alliance]",Text,"Run to [G 64.8, 70.4Elwynn Forest] [A Alliance]",
"Run to [G49.2, 57.2Stonetalon Mountains] [A Horde]",Text,"Run to [G49.2, 57.2Stonetalon Mountains] [A Horde]",
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
## TBC ##,Text,## TBC ##,TBC
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
## WOTLK ##,Text,## WOTLK ##,WOTLK
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
