Name,Action,Text,
[N Engineering Shopping List],,,Classic
[NX Engineering],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",,,
"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 Ore, I rounded up to 200!)",Text,"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 Ore, I rounded up to 200!)",
Shopping List:,Text,Shopping List:,
60x Rough Stone,Text,60x Rough Stone,
66x Copper Bar,Text,66x Copper Bar,
60x Coarse Stone,Text,60x Coarse Stone,
50x Linen Cloth,Text,50x Linen Cloth,
5x Silver Bar,Text,5x Silver Bar,
110x Bronze Bar,Text,110x Bronze Bar,
30x Heavy Stone,Text,30x Heavy Stone,
10x Moss Agate or an extra 30 Heavy Stone,Text,10x Moss Agate or an extra 30 Heavy Stone,
60x Wool Cloth,Text,60x Wool Cloth,
15x Medium Leather,Text,15x Medium Leather,
4x Steel Bar,Text,4x Steel Bar,
120x Solid Stone,Text,120x Solid Stone,
170x Mithril Bar,Text,170x Mithril Bar,
20x Mageweave Cloth,Text,20x Mageweave Cloth,
60x Dense Stone,Text,60x Dense Stone,
135x Thorium Bar,Text,135x Thorium Bar,
35x Runecloth,Text,35x Runecloth,
70x Fel Iron Bar,Text,70x Fel Iron Bar,TBC
40x Mote of Earth,Text,40x Mote of Earth,
20x Mote of Fire,Text,20x Mote of Fire,
70x Netherweave Cloth,Text,70x Netherweave Cloth,
40x Adamantite Bar,Text,40x Adamantite Bar,
280x Cobalt Bar,Text,280x Cobalt Bar,WOTLK
7x Frostweave Cloth,Text,7x Frostweave Cloth,
68x Crystallized Water,Text,68x Crystallized Water,
10x Crystallized Earth,Text,10x Crystallized Earth,
15x Crystallized Fire,Text,15x Crystallized Fire,
555x Saronite Bar,Text,555x Saronite Bar,
