Name,Action,Text,
[N Engineering],,,Classic
[NX Leatherworking Shopping List],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,
1 - 30 60x Rough Blasting Powder,Text,1 - 30 60x Rough Blasting Powder,
30 - 50 30x Handful of Copper Bolts,Text,30 - 50 30x Handful of Copper Bolts,
50 - 51 1x Arclight Spanner,Text,50 - 51 1x Arclight Spanner,
51 - 75 30x Rough Copper Bomb,Text,51 - 75 30x Rough Copper Bomb,
75 - 90 60x Coarse Blasting Powder,Text,75 - 90 60x Coarse Blasting Powder,
90 - 100 20x Coarse Dynamite,Text,90 - 100 20x Coarse Dynamite,
100 - 105 5x Silver Contact,Text,100 - 105 5x Silver Contact,
105 - 125 25x Bronze Tube,Text,105 - 125 25x Bronze Tube,
125 - 135 10x Standard Scope,Text,125 - 135 10x Standard Scope,
135 - 140 30x Heavy Blasting Powder,Text,135 - 140 30x Heavy Blasting Powder,
140 - 150 15x Whirring Bronze Gizmo,Text,140 - 150 15x Whirring Bronze Gizmo,
150 - 160 15x Bronze Framework,Text,150 - 160 15x Bronze Framework,
160 -175 15x Explosive Sheep,Text,160 -175 15x Explosive Sheep,
175 -176 1x Gyromatic Micro-Adjustor,Text,175 -176 1x Gyromatic Micro-Adjustor,
176 - 195 60x Solid Blasting Powder,Text,176 - 195 60x Solid Blasting Powder,
195 - 200 7x Mithril Tube,Text,195 - 200 7x Mithril Tube,
200 - 215 20x Unstable Trigger,Text,200 - 215 20x Unstable Trigger,
215 - 238 40x Mithril Casing,Text,215 - 238 40x Mithril Casing,
238 - 250 20x Hi-Explosive Bomb,Text,238 - 250 20x Hi-Explosive Bomb,
250 - 260 30x Dense Blasting Powder,Text,250 - 260 30x Dense Blasting Powder,
260 - 285 35x Thorium Widget,Text,260 - 285 35x Thorium Widget,
285 - 300 15x Thorium Shells,Text,285 - 300 15x Thorium Shells,
## TBC ##,Text,## TBC ##,TBC
300 - 320 (All 3 next steps),Text,300 - 320 (All 3 next steps),
40x Handful of Fel Iron Bolts - 40x Fel Iron Bar,Text,40x Handful of Fel Iron Bolts - 40x Fel Iron Bar,
"20x Elemental Blasting Powder (4) - 20x Mote of Fire, 40x Mote of Earth",Text,"20x Elemental Blasting Powder (4) - 20x Mote of Fire, 40x Mote of Earth",
10x Fel Iron Casing - 30x Fel Iron Bar,Text,10x Fel Iron Casing - 30x Fel Iron Bar,
320 - 325 10x Fel Iron Bomb,Text,320 - 325 10x Fel Iron Bomb,
325 - 335 10x Adamantite Grenade,Text,325 - 335 10x Adamantite Grenade,
335 - 350 60x White Smoke Flare,Text,335 - 350 60x White Smoke Flare,
## WOTLK ##,Text,## WOTLK ##,WOTLK
350 - 375 (both),Text,350 - 375 (both),
35x Handful of Cobalt Bolts,Text,35x Handful of Cobalt Bolts,
14x Volatile Blasting Trigger,Text,14x Volatile Blasting Trigger,
375 - 385 10x Overcharged Capacitor,Text,375 - 385 10x Overcharged Capacitor,
385 - 390 7x Explosive Decoy,Text,385 - 390 7x Explosive Decoy,
390 - 400 15x Froststeel Tube,Text,390 - 400 15x Froststeel Tube,
400 - 405 5x Diamond-cut Refractor Scope,Text,400 - 405 5x Diamond-cut Refractor Scope,
405 - 410 5x Box of Bombs,Text,405 - 410 5x Box of Bombs,
410 - 415 5x Goblin Beam Welder,Text,410 - 415 5x Goblin Beam Welder,
415 - 425 12x Mana Injector Kit,Text,415 - 425 12x Mana Injector Kit,
425 - 430 7x Mechanized Snow Goggles,Text,425 - 430 7x Mechanized Snow Goggles,
430 - 435 5x Noise Machine,Text,430 - 435 5x Noise Machine,
435 - 450 30x Gnomish Army Knife,Text,435 - 450 30x Gnomish Army Knife,
