Name,Action,Text,
[N First Aid],,,Classic
[NX Enchanting Shopping List],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,TBC
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,WOTLK
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
,Text,,
