Name,Action,Text
[N#Leveling ShoppingList],,
[NXNothing],,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,#REF!
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,#REF!
This is a WORK IN PROGRESS.,Text,This is a WORK IN PROGRESS.
"If you find bugs, make sure you post them on my discord!",Text,"If you find bugs, make sure you post them on my discord!"
https://discord.gg/h4MfuVf,Text,https://discord.gg/h4MfuVf
##############,Text,##############
"This guide is NOT adjusted for any Experience Buff gains(including Heirlooms), but you can still use it with it. Just skip the "grind to level X parts" and drop quests that are really annoying",Text,"This guide is NOT adjusted for any Experience Buff gains(including Heirlooms), but you can still use it with it. Just skip the "grind to level X parts" and drop quests that are really annoying"
"This guide is NOT meant to be used in Vanilla - Hardcore. It can be used for it, but sometimes I do death-skips, so beware of those :)",Text,"This guide is NOT meant to be used in Vanilla - Hardcore. It can be used for it, but sometimes I do death-skips, so beware of those :)"
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
,Text,
