Name,Action,Text,
[N Inscription Shopping List],,,TBC
[NX Inscription],,,
#REF!,,#REF!,
#REF!,Text,#REF!,
Shopping List:,Text,Shopping List:,
62x Alabaster Pigment,Text,62x Alabaster Pigment,
40x Dusky Pigment,Text,40x Dusky Pigment,
100 – 120x Golden Pigment,Text,100 – 120x Golden Pigment,
120x Emerald Pigment,Text,120x Emerald Pigment,
20x Indigo Pigment,Text,20x Indigo Pigment,
100x Violet Pigment,Text,100x Violet Pigment,
12x Ruby Pigment,Text,12x Ruby Pigment,
50x Silvery Pigment,Text,50x Silvery Pigment,
10x Sapphire Pigment,Text,10x Sapphire Pigment,
80x Nether Pigment,Text,80x Nether Pigment,
10 – 20x Ebon Pigment (optional),Text,10 – 20x Ebon Pigment (optional),
190x Azure Pigment,Text,190x Azure Pigment,
10 – 20x Icy Pigment (optional),Text,10 – 20x Icy Pigment (optional),
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,WOTLK
