Name,Action,Text,
[N Jewelcrafting],,,TBC
[NX Alchemy],,,
#REF!,,,
#REF!,Text,#REF!,
"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 copper ore, I rounded up to 200!)",Text,"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 copper ore, I rounded up to 200!)",
1 – 20: Delicate Copper Wire,Text,1 – 20: Delicate Copper Wire,
20 – 30: Rough Stone Statue,Text,20 – 30: Rough Stone Statue,
30 – 50: Tigerseye Band,Text,30 – 50: Tigerseye Band,
50 – 75: Bronze Setting,Text,50 – 75: Bronze Setting,
75 – 80: Solid Bronze Ring,Text,75 – 80: Solid Bronze Ring,
80 – 90: Elegant Silver Ring,Text,80 – 90: Elegant Silver Ring,
90 – 110: Ring of Silver Might,Text,90 – 110: Ring of Silver Might,
110 – 120: Heavy Stone Statue,Text,110 – 120: Heavy Stone Statue,
120 – 150: Pendant of the Agate Shield,Text,120 – 150: Pendant of the Agate Shield,
150 – 180: Mithril Filigree,Text,150 – 180: Mithril Filigree,
180 – 200: Engraved Truesilver Ring,Text,180 – 200: Engraved Truesilver Ring,
200 – 210: Citrine Ring of Rapid Healing,Text,200 – 210: Citrine Ring of Rapid Healing,
210 – 225: Aquamarine Signet,Text,210 – 225: Aquamarine Signet,
225 – 250: Thorium Setting,Text,225 – 250: Thorium Setting,
250 – 255: Red Ring of Destruction,Text,250 – 255: Red Ring of Destruction,
255 – 265: Truesilver Healing Ring,Text,255 – 265: Truesilver Healing Ring,
265 – 275: Simple Opal Ring,Text,265 – 275: Simple Opal Ring,
275 – 285: Sapphire Signet,Text,275 – 285: Sapphire Signet,
285 – 290: Diamond Focus Ring,Text,285 – 290: Diamond Focus Ring,
290 – 300: Emerald Lion Ring,Text,290 – 300: Emerald Lion Ring,
"300 – 310: Any of these: Blood Garnet, Flame Spessarite, Deep Peridot, Shadow Draenite, Golden Draenite, Azure Moonstone",Text,"300 – 310: Any of these: Blood Garnet, Flame Spessarite, Deep Peridot, Shadow Draenite, Golden Draenite, Azure Moonstone",
310 - 315: Fel Iron Blood Ring,Text,310 - 315: Fel Iron Blood Ring,
315 – 320: Any Orange/Yellow Gem Pattern,Text,315 – 320: Any Orange/Yellow Gem Pattern,
,Text,,
,Text,,
,Text,,
