Name,Action,Text,
[N Jewelcrafting],,,TBC
[NX Alchemy],,,
#REF!,,,
#REF!,Text,#REF!,
"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 copper ore, I rounded up to 200!)",Text,"All amounts are ROUGH ESTIMATES (usually rounded up, so if I needed 182 copper ore, I rounded up to 200!)",
1 – 30: Delicate Copper Wire,Text,1 – 30: Delicate Copper Wire,
30 – 50: Tigerseye Band or Malachite Pendant,Text,30 – 50: Tigerseye Band or Malachite Pendant,
50 – 80: Bronze Setting,Text,50 – 80: Bronze Setting,
80 – 100: Simple Pearl Ring or Gloom Band,Text,80 – 100: Simple Pearl Ring or Gloom Band,
100 – 110: Ring of Twilight Shadows,Text,100 – 110: Ring of Twilight Shadows,
110 – 120: Heavy Stone Statue,Text,110 – 120: Heavy Stone Statue,
120 – 150: Pendant of the Agate Shield,Text,120 – 150: Pendant of the Agate Shield,
150 – 180: Mithril Filigree,Text,150 – 180: Mithril Filigree,
180 – 185: Solid Stone Statue,Text,180 – 185: Solid Stone Statue,
185 – 200: Engraved Truesilver Ring,Text,185 – 200: Engraved Truesilver Ring,
200 – 220: Citrine Ring of Rapid Healing,Text,200 – 220: Citrine Ring of Rapid Healing,
220 – 225: Aquamarine Pendant of the Warrior,Text,220 – 225: Aquamarine Pendant of the Warrior,
225 – 250: Thorium Setting,Text,225 – 250: Thorium Setting,
250 – 260: Ruby Pendant of Fire,Text,250 – 260: Ruby Pendant of Fire,
260 – 280: Simple Opal Ring,Text,260 – 280: Simple Opal Ring,
280 – 290: Sapphire Pendant of Winter Night,Text,280 – 290: Sapphire Pendant of Winter Night,
290 – 300: Emerald Lion Ring,Text,290 – 300: Emerald Lion Ring,
"300 – 320: Brilliant Golden Draenite, Glowing Shadow Draenite, Inscribed Flame Spessarite, Radiant Deep Peridot, Solid Azure Moonstone, Teardrop Blood Garnet, or Prismatic Black Diamond",Text,"300 – 320: Brilliant Golden Draenite, Glowing Shadow Draenite, Inscribed Flame Spessarite, Radiant Deep Peridot, Solid Azure Moonstone, Teardrop Blood Garnet, or Prismatic Black Diamond",
"320 – 325: Bold Blood Garnet, Bright Blood Garnet, Gleaming Golden Draenite, Jagged Deep Peridot, Luminous Flame Spessarite, Royal Shadow Draenite, Sparkling Azure Moonstone",Text,"320 – 325: Bold Blood Garnet, Bright Blood Garnet, Gleaming Golden Draenite, Jagged Deep Peridot, Luminous Flame Spessarite, Royal Shadow Draenite, Sparkling Azure Moonstone",
325 – 335: Mercurial Adamantite,Text,325 – 335: Mercurial Adamantite,
"335 – 340: Dazzling Deep Peridot, Delicate Blood Garnet, Potent Flame Spessarite, Rigid Golden Draenite, Sovereign Shadow Draenite, Smooth Golden Draenite",Text,"335 – 340: Dazzling Deep Peridot, Delicate Blood Garnet, Potent Flame Spessarite, Rigid Golden Draenite, Sovereign Shadow Draenite, Smooth Golden Draenite",
340 – 350: Heavy Adamantite Ring,Text,340 – 350: Heavy Adamantite Ring,
"350 – 395: Any cut of Bloodstone, Chalcedony, Dark Jade, Huge Citrine, Shadow Crystal, or Sun Crystal",Text,"350 – 395: Any cut of Bloodstone, Chalcedony, Dark Jade, Huge Citrine, Shadow Crystal, or Sun Crystal",WOTLK
"395 – 400: Bloodstone Band, Crystal Chalcedony Amulet, Crystal Citrine Necklace, or Sun Rock Ring",Text,"395 – 400: Bloodstone Band, Crystal Chalcedony Amulet, Crystal Citrine Necklace, or Sun Rock Ring",
400 – 420: Stoneguard Band or Shadowmight Ring,Text,400 – 420: Stoneguard Band or Shadowmight Ring,
420 – 425: Dazzling Forest Emerald,Text,420 – 425: Dazzling Forest Emerald,
425 – 450: Make Meta gems or "Icy Prisms" till 450. Dont forget your daily!,Text,425 – 450: Make Meta gems or "Icy Prisms" till 450. Dont forget your daily!,
