Name,Action,Text,
[N Jewelcrafting Shopping List],,,TBC
[NX Jewelcrafting],,,
"[D This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV]",,#REF!,
"This guide was written by TUGs and is totally free, but if you want to support my work use: https://www.youtube.com/user/HydroxXTV",Text,#REF!,
Shopping List:,Text,Shopping List:,
100x Copper Bar,Text,100x Copper Bar,
20x Tigerseye or Malachite,Text,20x Tigerseye or Malachite,
120x Bronze Bar (60x Copper Bar + 60x Tin Bar),Text,120x Bronze Bar (60x Copper Bar + 60x Tin Bar),
60x Shadowgem,Text,60x Shadowgem,
"20x Small Lustrous Pearl (Optional, only requires 20x Shadowgem)",Text,"20x Small Lustrous Pearl (Optional, only requires 20x Shadowgem)",
80x Heavy Stone,Text,80x Heavy Stone,
30x Moss Agate,Text,30x Moss Agate,
140x Mithril Bar,Text,140x Mithril Bar,
80x Solid Stone,Text,80x Solid Stone,
15x Truesilver Bar,Text,15x Truesilver Bar,
25x Citrine,Text,25x Citrine,
5x Aquamarine,Text,5x Aquamarine,
50x Thorium Bar,Text,50x Thorium Bar,
10x Star Ruby,Text,10x Star Ruby,
20x Large Opal,Text,20x Large Opal,
10x Blue Sapphire,Text,10x Blue Sapphire,
10x Essence of Undeath,Text,10x Essence of Undeath,
20x Huge Emerald,Text,20x Huge Emerald,
15x Black Diamond,Text,15x Black Diamond,
55x (Blood Garnet/Shadow Draenite/Golden Draenite/Deep Peridot/Flame Spessarite/Azure Moonstone),Text,55x (Blood Garnet/Shadow Draenite/Golden Draenite/Deep Peridot/Flame Spessarite/Azure Moonstone),
40x Adamantite Powder,Text,40x Adamantite Powder,
10x Primal Earth,Text,10x Primal Earth,
10x Adamantite Bar,Text,10x Adamantite Bar,
10x Essence of Earth,Text,10x Essence of Earth,
70x (Bloodstone/Chalcedony/Dark Jade/Huge Citrine/Shadow Crystal/Sun Crystal),Text,70x (Bloodstone/Chalcedony/Dark Jade/Huge Citrine/Shadow Crystal/Sun Crystal),WOTLK
5x Crystallized Earth,Text,5x Crystallized Earth,
46x Eternal Earth,Text,46x Eternal Earth,
"23x Eternal Shadow (Optional, only requires 23x Eternal Earth)",Text,"23x Eternal Shadow (Optional, only requires 23x Eternal Earth)",
5 – 7x Forest Emerald,Text,5 – 7x Forest Emerald,
28x Earthsiege Diamond/Skyflare Diamond,Text,28x Earthsiege Diamond/Skyflare Diamond,
1x Frozen Orb,Text,1x Frozen Orb,
